John McCain,Barack Obama
John McCain voted for the Family and Medical Leave Act of 1993 which granted workers the right to take 12 weeks of unpaid leave for family medical reasons without being penalized by their employer. McCain sponsored the Family Friendly Workplace Act which sought to allow employers to provide more flexible work schedules to help balance work and family.[74],[empty]
Chuck Baldwin,Bob Barr e
Impose a revenue tariff on all foreign goods to keep jobs in America.[32],[empty]
