Report date,Period,Into the sea (TBq),Source
direct,indirect,[added],[added]
21 May 2011,1 – 6 April 2011,4.700,[empty]
End of August 2011,March – August 2011,3.500,16.000
8 September 2011,March – April 2011,15.000,Scientist Group[36]
29 October 2011,21 March – 15 July 2011,27.100,IRSN[37]
