Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
Artillery,10.5 cm leFH 18,[empty],[empty],[empty],[empty],[empty],1942 Second Edition,[empty],[empty]
88mm Flak 36,[empty],[empty],[empty],[empty],[empty],Europe,Europe 1940,[empty],[added]
105mm Howitzer,Europe,Europe,Pacific 1940,Europe,Europe 1940,[empty],[empty],[empty],[added]
152mm Howitzer,[empty],[empty],[empty],Europe 1940 Second Edition,Europe 1940 Second Edition,[empty],[empty],[empty],[added]
BL 5.5 inch,[empty],[empty],1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Cannone da 75/32,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty],[added]
Ordnance QF 25 pounder,[empty],1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
Type 92 70mm,[empty],[empty],[empty],[empty],[empty],[empty],Anniversary,Pacific,[added]
Mechanized Infantry,M5 Half-track,Pacific 1940,Pacific 1940,Pacific 1940,[empty],[empty],[empty],[empty],[empty]
Priest,[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
Ram-Kangaroo,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Sd.Kfz. 251,[empty],[empty],[empty],[empty],[empty],Pacific 1940,Pacific 1940,Pacific 1940,[added]
SPA Dovunque 35,[empty],[empty],[empty],[empty],[empty],[empty],Pacific 1940 Second Edition,[empty],[added]
Type 1,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific 1940 Second Edition,[added]
ZIS-42,[empty],[empty],[empty],Pacific 1940,Europe 1940,[empty],[empty],[empty],[added]
Tank,AC Sentinel,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty]
IS-2,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
M14/41,[empty],[empty],[empty],[empty],[empty],[empty],Anniversary,[empty],[added]
M15/42,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty],[added]
Matilda II,[empty],Anniversary,Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
Panther,[empty],[empty],[empty],[empty],[empty],Europe,Europe 1940,[empty],[added]
Sherman,Europe,Europe,[empty],[empty],[empty],[empty],[empty],[empty],[added]
T-34,[empty],[empty],[empty],Pacific,Europe 1940,[empty],[empty],[empty],[added]
Tiger,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941,[added]
Type 95,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific,[added]
Truck,GMC 2 1/2-ton,Battle of the Bulge,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Opel 3-ton,[empty],[empty],[empty],[empty],[empty],Battle of the Bulge,[empty],[empty],[added]
Antiaircraft Gun,(Generic),Guadalcanal,[empty],[empty],[empty],[empty],[empty],[empty],Guadalcanal
3.7in QFAA,[empty],1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
