Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3[1],Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,physical media restore9,Server location(s)10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting,OpenSaaS
Egnyte,Yes,Yes,Yes,[empty],[empty],Optional[28],Optional[28],?,[empty],[empty],[empty],[empty],Egnyte,Yes[29],Yes,Yes,Yes,[empty],United States,No,No limit,[empty],?,[empty],[empty]
ElephantDrive,Yes,Yes[30],Yes,Yes[31],[empty],Yes,Optional (off by default) [32],?,Yes,No,[empty],[empty],ElephantDrive,Yes[33],Yes[34],Yes,Yes[35],[empty],United States,2 GB,[empty],Yes,?,No  Amazon AWS[36][37],[empty]
Google Drive,Yes,No  no provider-sanctioned Linux support.[38][39][40],Yes,Yes,Yes,Yes,No,?,[empty],Yes (Enterprise Only) [41],Yes,Yes,Google Drive,No,Yes,Yes,Yes,[empty],United States  Worldwide,15 GB,5 TB[42],[empty],[empty],Partial: 34%[43],No
IASO Backup,Yes,Yes,Yes,[empty],Yes[44],Yes[44],Yes,?,Yes,No,Yes,[empty],IASO Backup,No,No,No,Yes,[empty],United States  Worldwide,No,No limit,Yes,Yes,[empty],[empty]
iCloud,Yes,Yes  via Storage Made Easy client,Yes,Yes  via Storage Made Easy client,Yes,Yes,No,?,No,No,Yes,[empty],iCloud,?,Yes,?,?,[empty],unknown,1 GB (everyone) [45] 5 GB (Apple users only) [46],[empty],[empty],[empty],Yes  94%[36],No
iDrive,Yes,Yes  but you have to manually run perl scripts.[47],Yes,Yes,Yes,Yes[48],No,[empty],No,No,Yes[49],[empty],iDrive,[empty],Yes,Yes,Yes,Yes,unknown,5 GB,[empty],Yes,[empty],[empty],[empty]
Infrascale,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Optional,Yes,Yes,No,Yes,Infrascale,No,Yes,Yes,Yes,Yes,United States  Canada  United Kingdom  South Africa  Australia  New Zealand  Jamaica,No,No limit,Yes,Optional,[empty],[empty]
Iperius Online Storage,Yes,No,No,[empty],[empty],Yes[50],Optional[50],?,50  100  200  500 GB,No,No,Yes,Iperius Online Storage,[empty],Yes,Yes,No,Iperius Online Storage,[empty],[empty],No limit,[empty],[empty],[empty],[empty]
Intronis,Yes,No,Yes,Yes,Yes,Yes,Yes,configurable,Yes,No[51],Yes,Yes,Intronis,Yes,Yes[52],Yes,No,Yes[53],United States  Canada,No,No limit,Yes,Optional,Yes,[empty]
Jumpshare,Yes,No,Yes,No,Yes,Yes[54],[empty],[empty],Yes,No,No,Yes[55],Jumpshare,[empty],Yes,Yes,Yes,No,United States  Europe,2 GB,250 MB on free  Unlimited on Jumpshare Plus,[empty],[empty],Yes,[empty]
Jungle Disk,Yes,Yes,Yes,Yes,Yes,Yes[56],Yes[56],Yes,[empty],[empty],Yes,Yes,Jungle Disk,Yes[57],Yes,Yes,Yes,[empty],United States  Europe,No,No limit in Backup Vault,Yes,[empty],Partial  Amazon AWS[36][58] or Rackspace Cloud Files.,[empty]
KeepVault,Yes,No,No,[empty],[empty],Yes[59],Yes[60],?,Yes,No,Yes,[empty],KeepVault,[empty],[empty],Yes,[empty],[empty],United States,[empty],20 GB,[empty],[empty],[empty],[empty]
Livedrive,Yes,No,Yes,Yes,Yes,No,No,?,Yes,Online Backup only,No,Yes,Livedrive,Yes (paid-only)[61],Yes,Yes,Yes,Yes,United Kingdom,No,No limit,Yes,[empty],[empty],[empty]
MediaFire,Yes,Upload only [1],Yes,Yes,Yes,No,No,?,Yes,No,Yes,Yes,MediaFire,No,Yes,Yes,Yes,[empty],United States,10 GB,No Limit,No,No,[empty],[empty]
Mega,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[62],Yes,No,Yes,Yes,Mega Ltd.,No,Yes,Yes  using MEGAsync client,Yes,No,Europe  New Zealand,15 GB + 35 GB first 30 days,No limit,No,No,[empty],[empty]
MiMedia,Yes,No,No,[empty],[empty],Yes[63],No,?,Yes,No,Yes,Yes,MiMedia,No[64],No,Yes,No,No,United States,7 GB,3 GB,Yes,[empty],[empty],[empty]
OneDrive,Yes,No  see note[65],Yes,Yes[66],Yes,Yes[67],No,?,Yes,No,[empty],[empty],OneDrive,No,Yes,[empty],[empty],[empty],[empty],5 GB for new users  25 GB for older users,10 GB,[empty],[empty],Partial  29%[36],No
SpiderOak,Yes,Yes,Yes,Download Only,Download Only,Yes[68],Yes[69],?,Yes,Business only (min 10 users),Yes,Yes,SpiderOak,No[70],Yes,Yes,Yes,[empty],[empty],(2 GB free for 60 days only),No limit,Yes,Yes[71],[empty],No
SugarSync,Yes,No,Yes,Yes,Yes,Yes[72],No[73],?,Yes,No,No,[empty],SugarSync,[empty],Yes,Yes,Yes (SugarSync account needed for folders),[empty],[empty],No,100 MB (web) No limit (client app)[74],[empty],[empty],[empty],[empty]
Syncplicity,Yes,No,Yes,Yes,Yes,Yes[75],No[75],?,[empty],[empty],Yes,[empty],Syncplicity,[empty],Yes,Yes,Yes,[empty],United States,10 GB,[empty],[empty],[empty],[empty],[empty]
Tarsnap,Yes via Cygwin,Yes,Yes,No,No,Yes,Yes[76],?,No,No,Yes,[empty],Tarsnap,No,[empty],[empty],[empty],[empty],[empty],No,[empty],[empty],[empty],No  Amazon AWS[36][77],No
Trend Micro SafeSync,Yes,Partial,Yes,Yes  via Storage Made Easy client,Yes  via Storage Made Easy client,[empty],No,?,[empty],[empty],Yes,[empty],Trend Micro SafeSync,Yes[citation needed],Yes,[empty],Yes,[empty],United Kingdom,[empty],[empty],[empty],[empty],[empty],[empty]
Tresorit,Yes,Yes[78],Yes,Yes,Yes,Yes,Yes,Yes[79],Yes,No,Yes,Yes,Tresorit,Yes[80],Yes,Yes,Yes,No,Ireland  Netherlands[81],3 GB[82],0.5 GB (free)  10 GB (paid)[83],Yes,No,[empty],[empty]
Unitrends Vault2Cloud,Yes,Yes,Yes,[empty],[empty],Yes[84],No,?,No,Yes,Yes,[empty],Unitrends Vault2Cloud,Yes[citation needed],Yes,[empty],No,Yes,United States,No,[empty],[empty],[empty],[empty],[empty]
UpdateStar Online Backup,Yes,No,No,[empty],[empty],Yes[85],No[86],?,Yes[87],Yes,[empty],[empty],UpdateStar Online Backup,[empty],[empty],[empty],[empty],[empty],Europe,[empty],[empty],[empty],[empty],[empty],[empty]
Yandex.Disk,Yes,Yes[88],Yes,Yes,Yes,No[89],No,?,Yes,[empty],[empty],[empty],Yandex.Disk,Yes[90],Yes,Yes,Yes,[empty],Russia,10 GB,50 GB,[empty],[empty],[empty],[empty]
Zetta.net,Yes[91],Yes,Yes,[empty],[empty],Yes,No,?,Yes,No,Yes[92],Yes,Zetta.net,Yes[93],Yes,Yes,No,Yes,United States[94],No,No limit,Yes,Yes,[empty],[empty]
Zmanda Cloud Backup,Yes,No,No,[empty],[empty],Optional[95],Optional[95],?,[empty],[empty],Yes,[empty],Zmanda Cloud Backup,Yes[citation needed],[empty],[empty],[empty],Yes,United States  Europe  Singapore  Japan,[empty],No limit,Yes,Yes,Partial  Amazon AWS or Google Cloud Storage[36][96],[added]
