Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
FaceTime,iOS  macOS,Proprietary,Free,SIP  IETF  Signaling protocol for VoIP  STUN  TURN and ICE| IETF  technologies for traversing firewalls and NAT[disambiguation needed],H.264 Video  AAC-ELD[disambiguation needed] Audio  H.263 and VP8,RTP  SRTP IETF|standards for delivering real-time and encrypted media streams for VoIP.,20,Video  voice  conferencing  with additional tools available as "Services".,Template:Latest stable software release/FaceTime
Google+ Hangouts,Linux  Windows  macOS  Android  iOS,Proprietary (using libjingle),Free,XMPP,H.264/SVC  H.264/AVC  H.263 and VP8,SRTP,10,Video  chat  screen sharing  with additional tools available as "Hangout Apps".,Google Chrome Web Store extension 2013.626.1614.1 (July 9  2013; 6 years ago (2013-07-09)) [±] [10]
IBM Sametime,Linux  macOS  Windows  mobile,Proprietary,?,SIP-SIMPLE  T.120,H.323,TLS,Unknown,IM  File transfer  Voice  Presence  Server stored contact list  HTTP tunneling  plugins  embedable in Lotus Notes[11],8.5.2; May 8  2011; 8 years ago (2011-05-08)
iCall,Linux  macOS  Windows  iOS  Android,Proprietary,Free,SIP  AIM  ICQ  XMPP,Speex  CELT  WebM,TLS  ZRTP,No limit,Video  file transfer  PC to phone  phone to PC  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  Voicemail,7.1.522
Jitsi,Linux  macOS  Windows (all java supported). Experimental Android builds are also available.[17],Apache,Free,SIP-SIMPLE  XMPP-Jingle STUN ICE  TURN,SILK  G.722  Speex  Opus  G.711 (PCMU/PCMA)  iLBC  GSM  G.729  H.264  H.263  VP8,ZRTP  SRTP  OTR  TLS,Unknown,Text messaging  audio-video telephony  IPv6 (often broken [18] P2P not supported[19])  call recording  64-bit,2.10 (build.5550) (February 5  2017; 2 years ago (2017-02-05)) [±]
KPhone,Linux (KDE),GPL,Free,SIP  STUN  NAPTR-SRV,Unknown,SRTP,Unknown,Video  voice  IM  external Sessions  IPv6 support for UDP,1.2 (November 2008)
Librestream Onsight Connect,Windows  Android  iOS,Proprietary,?,SIP  RTP  STUN,G.711  H.264  MPEG  and others,TLS  SRTP,Unknown,Voice  video  conferencing  image sharing  incoming call/IM push notifications.,February 27  2018; 20 months ago (2018-02-27)
Linphone,Linux  Windows  macOS  Android  iPhone  BlackBerry,GPL,Free,SIP,Speex  Opus  G711  GSM  G.722  VP8 (WebM)  H263  MPEG4  Theora and H264 (plugin),TLS  SRTP  ZRTP,Unknown,Video  IM  STUN  IPv6 (disables IPv4 support when enabled  P2P supported only by version 3.5.1-2),3.11.1; March 10  2017; 2 years ago (2017-03-10)
Messages,macOS,Proprietary,Free  only macOS and iOS,SIP AIM ICQ XMPP,H263  H264,Unknown,Unknown,Integrated  PBX independent,7.0; July 25  2012; 7 years ago (2012-07-25)
MicroSIP,Windows,GPL,Free,SIP  STUN  ICE  SIMPLE,Speex  iLBC  GSM  G.711  G.722  G.729  SILK  Linear PCM,TLS  SRTP,Unknown,Video  voice  IM and Presence,3.19.15 May 2019; 6 months ago (2019-05)
Mirial Softphone (Mirial s.u.r.l.),Windows 2000-XP-2003-Vista-7 (including 64-bit versions)  macOS (x86),Proprietary,not free,SIP  RTSP,H.323,DTLS-SRTP,Unknown,H.264 Full-HD 1080p video rx/tx  Two independent lines supporting Call Control and 3-Party videoconference in Continuous Presence  G.722.1/C wideband audio  Call recording/export  DV/HDMI/Component capture  Presentation (H.239  RFC-4796)  Encryption  Far End Camera Control  GPU accel (D3D and OpenGL),7.0.24; May 26  2010; 9 years ago (2010-05-26)  discontinued
Mumble,Linux  macOS  iOS  Windows  Android,New BSD license,Free,ICE,CELT  Speex  Opus,TLS and OCB-AES128,No max (limited only by server bandwidth and memory),Chat with (limited) embedded HTML  Automatic Gain Control  very low latency  Access Control Lists for user management  Customizable In-Game Overlay for OpenGL and DirectX  Directional Audio  Plugin Support  Nested Channels  Echo cancellation for headset free use  Global Public Server List  Logitech G15 support  Push-To-Talk and Voice-Activation,1.2.19; January 27  2017; 2 years ago (2017-01-27)
Nymgo,Windows  Android  iOS,Proprietary,Free,SIP  RTP and RTCP,Unknown,Yes,No,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,4.2.9; March 2013; 6 years ago (2013-03)
oovoo,macOS  iOS  Windows  Android,Proprietary,Free,SIP  RTP and RTCP,Unknown,Yes,12,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,4.2.9; March 2013; 6 years ago (2013-03)
Phoner,Windows,Proprietary,Free,SIP  TAPI  CAPI,G.711a  G.711u  G.722  G.726  G.729  GSM  iLBC  speex  Opus,TLS  SRTP  ZRTP,8,Conferencing  call redirection  call recording,3.22 (25 October 2019; 19 days ago (2019-10-25)) [±][20]
PhonerLite,Windows,Proprietary,Free,SIP,G.711a  G.711u  G.722  G.726  G.729  GSM  iLBC  speex  Opus,TLS  SRTP  ZRTP,8,Conferencing  call redirection  call recording,2.74 (24 October 2019; 20 days ago (2019-10-24)) [±][21]
QuteCom,Linux  macOS  Windows XP-2000,GPL,Free,SIP,G.711  G.729  iLBC  AMR-NB  G.722  Speex  AMR-WB (G.722.2)  H.263  H.263+  H.264  Dirac[22],SRTP  but key exchange via Everbee key Exchange which is not a Standard,Unknown,Video  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  voicemail  wengo to phone  conferencing.,2.2.1 (22 June 2011; 8 years ago (2011-06-22)[23]) [±]
Roger Wilco GameSpy,Windows,Proprietary,?,Proprietary,?,?,?,?,2001; 18 years ago (2001)
TeamSpeak,Linux  Windows  macOS  FreeBSD  Android  iOS,Proprietary,Free,Unknown,CELT  Speex  Opus[32],Yes,32 unlicensed  512 with non-profit license  2000,Simultaneous server conferencing with tabs  3D sound effects  scalable permissions system  firewall friendly file transfers  in-game overlay for DirectX & OpenGL games  global public server list  plugin system,3.3
TeamTalk,Linux  Windows  macOS  Android  iOS  Raspbian,Proprietary,Free,Proprietary,Opus  Speex  WebM,No,1000,Video  file sharing  desktop sharing  stream media files (MP3  AVI),5.3.3; November 2018; 1 year ago (2018-11)
Telephone,macOS 10.10.2,BSD,Free,SIP  STUN  ICE,Unknown,No,Unknown,Address Book integration,1.1.4; March 6  2012; 7 years ago (2012-03-06)
Toktumi Unlimited  Line2 Pro,Windows XP-Vista-7  macOS  iOS  Android,Proprietary,Free,Proprietary with SIP core,Unknown,Unknown,20,Conferencing  voicemail  caller ID  call-waiting  address book integration; auto-attendant  call-forwarding,Windows; August 2010; 9 years ago (2010-08); macOS; October 2010; 9 years ago (2010-10)
Tox,Linux  macOS  Windows  Android  FreeBSD,GPL,Free,Tox  VP8,Opus ,NaCl,Unknown,Voice  video  instant messaging  file transfers,Unknown
Tru App,Windows 2000-XP-Vista-7  macOS  Linux iOS  Android  Symbian  BlackBerry OS ,Proprietary,Free,SIP  XMPP,Unknown,Unknown,Unknown,Chat  file transfer  voicemail  inbound numbers  integration with GTalk  Microsoft Live  Skype,[empty]
Tuenti,Android  iPhone  Windows Phone,Proprietary,Free,WebRTC  SIP  XMPP,iLBC  Opus,Yes,?,Voice  video  Instant messaging  group chat  photo and video sharing  SMS and MMS  native and social network contacts integration  incoming call/IM push notifications.,[empty]
Twinkle,Linux,GPL,Free,SIP,G.711 A-law ?-law  G.726  GSM  iLBC  Speex narrow wide ultrawide,SRTP  ZRTP,3,Conferencing  chat  file transfer  Firefox integration  call redirection  voicemail  support of VoIP-to-Phone services,1.10.2 (February 14  2019; 8 months ago (2019-02-14)) [±]
Ventrilo,macOS  Windows  iOS  Android,Proprietary,Free,Unknown,Unknown,No,8,Conferencing  chat  text-to-speech,3.0.8
Vonage,Linux  macOS  Windows  Android  iOS,Proprietary,not free,SIP  STUN  ICE  TURN,Audio: Opus  G.711 Video: VP8,SRTP,50,VoIP   video  instant messaging  presence (SIP SIMPLE)  PSTN (inbound and outbound)  call waiting  call hold  call forwarding  voicemail  message-waiting indication  3-way conferencing  contacts integration  receptionist console  video  group chat  content sharing  SMS over IP services  native and social network contacts integration  incoming call/IM push notifications  fax  file sharing  screen sharing (desktop only)  number programmability.,[added]
Wire,Linux  Windows  macOS  iOS  Android  Web,GPLv3,not free,?,Template:Opus (audio)  VP8 (video),DTLS  SRTP[50],10[51],End-to-end encryption by default for everything  instant messaging  video call  video group call  file sharing  GIF sharing  push to talk  edit message  delete message (on both side)  timed messages  doodling  identity verification  screen sharing (desktop only),?
X-Lite,macOS  Windows,Proprietary,Free,SIP  STUN  ICE  TURN,H.263  H.263+  G.711  iLBC  Speex,No,3,VoIP over WiFi  3G  4G  video  instant messaging  presence (SIP SIMPLE)  call waiting  call hold  call forwarding  voice mail  message waiting indication  3 way conferencing  contacts integration  background noise reduction (BNR)  automatic gain control (AGC),5.3.3 July 10  2018; 16 months ago (2018-07-10)
Yahoo! Messenger,Classic Mac OS (8  9)  macOS  Windows  (Linux  FreeBSD version VoIP incapable),Proprietary,Free,SIP (using TLS) and RTP (media),Unknown,Unknown,Unknown,Video  file transfer  PC to phone  phone to PC,Windows: 11.5.0.228; May 31  2012; 7 years ago (2012-05-31) Mac: 3.0.1; July 20  2011; 8 years ago (2011-07-20) Linux: 1.0.6; September 2003; 16 years ago (2003-09) SunOS 5.7: 0.99.17-1; September 2003; 16 years ago (2003-09) Solaris 8: 1.0.4; September 2003; 16 years ago (2003-09) FreeBSD 4-5: 1.0.4; September 2003; 16 years ago (2003-09) iOS: 2.2.6; July 12  2012; 7 years ago (2012-07-12)
Yate Client,Linux  macOS  Windows,GPL,Free,SIP  IAX  XMPP  H.323,G.711a  G.711u  GSM 06.10  iLBC  Speex  G.723  G.726  G.728  G.729,SRTP  maybe ZRTP?,Unknown,[empty],6.0.0; September 2017; 2 years ago (2017-09)
Zfone,Linux  macOS  Windows,Viewable source,Includes time bomb provision,SIP  RTP,Unknown,SRTP  ZRTP,Unknown,[empty],Beta 2008-09-04 (Linux 0.9.224)  (macOS 0.9.246)  (Windows 0.9.206)
Program,Operating systems,License,Open source,Protocols,Codecs,Encryption,Other abilities,Latest release
Acrobits Softphone,Android v2.2+  iOS v7.0+,Proprietary,No,SIP,G.711  G.722  iLBC  GSM  G.729,TLS  SRTP  ZRTP,VOIP over Wi-Fi or 3G iOS only: push notifications  video  number rewriting  address book matching  sms for betamax providers and pennytel,Acrobits Softphone: 3.20 (Android)  5.2 (iOS)
CounterPath Corporation Bria,Android v4.4+  iOS v10+,Proprietary,No,SIP,G.722 wideband  G.711a  G.711u  iLBC  G.729a  SILK  GSM  VP8  H.264  Opus,TLS  SRTP  ZRTP,Voice and video calling  SIP and XMPP messaging support  group chat  file  image and document sharing  contact integration  incoming call/IM push notifications.,5.3.4 July 23  2018; 15 months ago (2018-07-23)
CSipSimple,Android,GPL,Yes,SIP,Opus  AMR-WB  G.722  iSAC  iLBC  Speex  Silk  Codec2  G.726  G711 (PCMA & PCMU)  AMR  GSM,SRTP  SIP over TLS 1.0 and ZRTP,?,1.02.02
iCall Mobile,iOS v4.3+,Proprietary  freeware,No,SIP AIM ICQ XMPP  Facebook  Yahoo! Messenger  Windows Live,Speex  CELT  WebM,TLS  ZRTP,VoIP over Wi-Fi or 3G  SMS  voicemail,2.0.1; April 2012; 7 years ago (2012-04)
Jajah Mobile Web,Symbian  Windows Mobile (version unknown),Proprietary,No,?,?,?,web based service  Call back no download[54],?
JusTex by Juphoon,Android  iOS v5.1+,Proprietary,No,SIP,PCMA  PCMU  G.722  iLBC  iSAC  Opus  H.264  VP8  H.263,TLS  TCP  UDP  SRTP,JusTex Softphone over Wi-Fi or 3G  HD voice and video call  Multiparty call  conference.,3.0.1 (iOS); July 13  2014; 5 years ago (2014-07-13); 3.0 (Android); July 9  2014; 5 years ago (2014-07-09)
Line,Android  iOS,Proprietary,No,?,?,?,?,[empty]
Line2,Android  iOS,Proprietary  freeware,No,Proprietary with SIP core,?,?,Tri-mode calling (cellular  3G/4G data  Wi-Fi)  SMS over IP  visual voicemail  20-person conference calls  auto-attendant  call-forwarding,1.0.4 Android  3.2.1 iOS
Media5-fone,iOS  Android,Proprietary,No,SIP,PCMA  PCMU  G.722*  iLBC  iSAC*  G.729*,TLS*  SRTP*,Wi-Fi and 3G/4G data  second call*  conference calls*  HD Voice  Bluetooth* (* Additional fees),?
Sipdroid,Android,GPL,Yes,SIP,?,?,Uses Wi-Fi  3G or EDGE,2.7
Tango by TangoME Inc.,iOS  Android  Microsoft Windows  macOS  Windows Phone,Proprietary  freeware,?,?,?,?,VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  instant messaging  videoconferencing,?
Truphone,Nokia-Symbian  iOS  Android  BlackBerry,Proprietary  freeware,No,SIP,?,?,VoIP  Wi-Fi out & in  SMS over IP  call-through & call-back  connection management  provisioning,Symbian 4.0  iOS 1.11.1
Vopium,Symbian  Java ME  Android  BlackBerry RIM  iOS  Windows Mobile 2003 SE and higher,Proprietary  freeware,No,SIP  MSN  Skype  Yahoo  AOL  ICQ  Google Talk  Facebook & Twitter,GSM,?,Wi-Fi VoIP  GSM call-through  SMS over IP  least cost routing  synchronising-backup mobile contacts and calendar,2.0
Windows Mobile 6,Windows Mobile 6 Professional/Standard,Proprietary,No,SIP to publicly and non-publicly routable servers,?,?,Wi-Fi Mobile VoIP,6.1
X-PRO for Pocket PC,Windows Mobile 2003 (earlier versions support Windows PocketPC 2002),Proprietary  discontinued in April 2007[65],No,SIP,?,?,Supported devices: AudioVox Maestro  Compaq/HP iPAQ: 365x  37xx  385x  395x  hx4700  Dell Axim X51  X51v  Toshiba e550  e570. iPAQ 545x and Toshiba e7xx are not supported.[66],2.2
Yuilop,Android  iOS   Windows Phone  BlackBerry OS,Proprietary  freeware,No,XMPP  RTP,iLBC,TLS,VoIP over 3G-4G-LTE and Wi-fi  SMS  group chat  photo sharing  Location sharing  virtual phone numbers,iOS 2.4 (November 26  2014; 4 years ago (2014-11-26)[67]) [±] Android 2.0.2 (February 12  2014; 5 years ago (2014-02-12)) [±] Windows Phone 7.x 1.0.1.7 (September 12  2013; 6 years ago (2013-09-12)) [±] Windows Phone 8.x 1.0.0.4 (September 18  2013; 6 years ago (2013-09-18)) [±] BlackBerry OS 1.0.1 (May 31  2013; 6 years ago (2013-05-31)) [±] Kindle Fire 2.0 (December 19  2013; 5 years ago (2013-12-19)[68]) [±]
Linkus,Android V4.4+  iOS v10.0+,Proprietary  freeware,No,SIP,iLBC,TLS SRTP,HD VoIP Call  Instant Messaging  Conferencing  SRTP Secure Media  Presence information,iOS 2.7.9 Android 2.7.12
