John McCain,Barack Obama
McCain does not allow his staffers to hold positions as lobbyists.[67],Obama does not take contributions from federally registered lobbyists or PACs  though he does accept money from non-federal lobbyists and unregistered lobbyists.[67]
Chuck Baldwin,Bob Barr
[empty],[empty]
