Name,Developer,First release date,Last release,Last release date,License
Apache MINA SSHD,Apache Software Foundation,2009,2.3.0,2019-07-15[1],Apache License v2
CopSSH,Itefix,2003-08-12,6.4.0,2018-10-20[2],Proprietary  Free for non-commercial use
CrushFTP Server,CrushFTP  LLC,2003-01-01,9.0.0,2018-10-30,Proprietary  shareware
Dropbear,Matt Johnston,2003-04-06[3],2019.78,2019-03-27[4],MIT
lsh,Niels Möller,1999-05-23[5],2.1,2013-06-26,GPL
OpenSSH (OpenBSD Secure Shell),The OpenBSD project,1999-12-01,8.0,2019-04-18[6],BSD
Name,Mac OS X,Mac OS classic,Windows,Cygwin,BSD,Linux,Solaris,Java,OpenVMS,z/OS,AmigaOS,AIX,HPUX,iOS: iPhone [Note 1] iPod Touch,webOS,Android
Apache MINA SSHD,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
CopSSH,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
CrushFTP Server,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No
Dropbear,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes[Note 2],Yes
lsh,Yes,No,No,No,Partial[Note 3],Yes,Yes,No,No,No,No,No,No,No,No,??
OpenSSH (OpenBSD Secure Shell),Included,No,Optional[Note 4],Included,Included,Included[Note 5],Yes,No,Yes,Yes,Yes,Yes[Note 6],Included,Yes[Note 7],Yes[Note 2],Partial
Name,SSH1,SSH2,Port forwarding,SFTP,SCP,Supports IPv6,Supports OpenSSH authorized keys,Privilege separation,FIPS 140-2 certified
Apache MINA SSHD,No,Yes,Yes,Yes,Yes,Yes,Yes,No,?
CopSSH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[7],?
CrushFTP Server,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?
Dropbear,No,Yes,Yes,Partial,Yes,Yes,Yes,No,?
Lsh,No,Yes,Yes,Yes,Yes,?,?,?,?
OpenSSH (OpenBSD Secure Shell),No[8],Yes,Yes,Yes,Yes,Yes,Yes,Yes[7],Yes[Note 8]
