Syncdocs,Windows  web app,Beta versions only,Yes,[empty],Yes,No,Yes,Yes,Yes,Yes,Microsoft Word only[30],Yes,[empty],[empty],[empty]
Synchronize It!,Windows,No,[empty],[empty],No,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Syncplicity,Windows  OS X  Android  iPhone  Windows Mobile,Yes,[empty],[empty],Yes,[empty],[empty],Yes,[empty],[empty],Yes,Yes,[empty],No[31],No
Tonido,Windows  OS X  Linux  Android  BlackBerry  iPhone  Windows Phone,Yes,Yes,[empty],Yes,No,Yes,No,Yes,Yes,Yes,Yes,[empty],[empty],[empty]
Tresorit,Windows  OS X  Linux  Android  BlackBerry  iOS  Windows Phone,Limited,Yes,Yes,Yes,[empty],Yes  for Windows,Yes,[empty],[empty],[empty],Yes,Yes,No,[empty]
Ubuntu One (discontinued 2 April 2014),Windows  OS X  Ubuntu  iOS  Android[32],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Wuala (discontinued),Windows  OS X  Debian  Ubuntu  Android  iOS,Yes,[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZumoDrive (discontinued),Windows  OS X  Linux  Android  iPhone  Palm webOS,Yes,[empty],[empty],Yes,[empty],[empty],Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zetta.net,Windows  OS X  Linux,No,[empty],[empty],Yes,[empty],Yes,Yes,Yes,Yes,[empty],Yes,Yes  Preserve file name case & file metadata,Yes,Yes
Name,Operating system,Freeware version,Portable,Encrypts files,Detect conflict,File lock,Open file support,Revision control,Detect rename,Detect move,Full duplex transfer,Propagate deletes,Case sensitive,Delta copying (block level transfer),LAN Sync
