HTML
Dynamic HTML HTML5 audio canvas video XHTML Basic Mobile Profile C-HTML HTML element span and div HTML attribute HTML frame HTML editor Character encodings Unicode Language code Document Object Model Browser Object Model Style sheets CSS Font family Web colors HTML scripting JavaScript WebGL WebCL W3C Validator WHATWG Quirks mode Web storage Rendering engine
Comparisons
Document markup languages HTML support XHTML 1.1
Value,Meaning
Yes,Fully supported
No,Has never been supported
Partial,Only some values are supported
Incorrect,Not implemented correctly in all cases
Experimental,May be incomplete or buggy
Nightly build,Currently in development; full support is expected
Depends,Only supported for the specified conditions
Dropped,No longer supported
