John McCain,Barack Obama
McCain voted in favor of the Nunn-Lugar Cooperative Threat Reduction in 1991.[109] He voted to ratify the START II strategic arms limitation treaty in 1996.[110] McCain voted against the Comprehensive Nuclear-Test-Ban Treaty in 1999.[111] In March 2008  McCain said that United States should reduce its nuclear arsenal to encourage other nations to reduce their arsenals.,Obama has spoken out against nuclear proliferation. According to his campaign website  Obama will "crack down on nuclear proliferation by strengthening the Nuclear Non-Proliferation Treaty."[112] Obama has also vowed to stop the development of new American nuclear arms  pursuing an ultimate goal of "a world without nuclear weapons."[112]
Chuck Baldwin,Bob Barr
[empty],[empty]
