John McCain,Barack Obama
McCain indicated that he supported the use of the death penalty  mandatory prison terms for selling illegal drugs  and stronger restrictions on the purchase and possession of guns.[186][187][188] McCain is a proponent of mandatory sentencing in general.[189],Obama favors the death penalty for cases in which "the community is justified in expressing the full measure of its outrage."[190] On June 25  2008  Obama condemned United States Supreme Court decision Kennedy v. Louisiana  which outlawed the death penalty for a child rapist when the victim was not killed. He said that states have the right to consider capital punishment  but cited concern about the possibility of unfairness in some sentences.[191]
Chuck Baldwin,Bob Barr
[empty],[empty]
