[empty],Creator,Latest stable version,Release date,Software license,Open source,Programming language,Plugin support
Appetizer,Laurent Cozic,1.4.6.494,February 13  2010,GPL,Yes,C++  wxWidgets,Yes
ASuite,SalvadorSoftware,1.5.1.2,May 24  2008,GPL,Yes,Delphi,No
Classic Shell,Ivo Beltchev,4.3.1,August 12  2017,MIT,Yes,C++,Yes (via shell namespace extensions inside the menu)
LiberKey,Captel SARL,5.8.1129,November 30  2015,Proprietary,No,?,No
PortableApps.com Platform,Rare Ideas  LLC,15.0.2,May 17  2018,GPL,Yes[note 1],Delphi,No
SliderDock,Dimitri Roozendaal,1.21,October 11  2010,Creative Commons,No,?,No
Wox,Many,1.3.524,February 25  2018,MIT,Yes,C#,Yes
[empty],Creator,Latest stable version,Release date,OS,Software license,Open source,Programming language,Plugin support
9menu,Arnold Robbins,1.8,June 1  2004,Linux,GPL,Yes,C,No
Avant Window Navigator,Neil J. Patel,0.4.2 [1],November 27  2013,Linux,GPL,Yes,C,Yes
dmenu,dwm developers,4.5[2],December 19  2011,Linux,MIT License,Yes,C,No
GNOME Do,GNOME Do Developers,0.95.1[3],January 23  2014,Linux,GPL,Yes,C#,Yes
Katapult,Katapult Developers,0.3.2.1,July 23  2008,Linux with KDE,GPL,Yes,C++,Yes
rofi,Dave Davenport,1.5.4[4],October 26  2019,Linux,MIT/X11 License,Yes,C,No
Unity Dash,Canonical Ltd.,7.3.0[5],June 19  2014,Ubuntu,GPLv3,Yes,Vala,Yes ("lenses" and "scopes")
[empty],Creator,Latest stable version,Release date,Software license,Open source,Programming language,Plugin support,Runs on macOS Catalina
Alfred,Running with Crayons,4.0.1,May 30  2019,Proprietary,No,Objective-C,Yes,Yes
Butler,Peter Maurer,4.3.2,April 9  2019,Proprietary,No,Objective-C,Yes,Yes
DragThing,James Thomson,5.9.11,November 16  2016,Proprietary,No,C++,Yes,No
LaunchBar,Objective Development,6.10,April 24  2019,Proprietary,No,Objective-C,Yes,Yes
Quicksilver,Blacktree Software,1.3.4,March 12  2018,Apache License,Yes,Objective-C,Yes,Yes
[empty],Creator,Latest stable version,Release date,OS,Software license,Open source,Programming language,Plugin support,Runs on macOS Catalina
Launchy,Josh Karlin,2.5.0,April 4  2010,Microsoft Windows  Linux  macOS,GPL,Yes,C++ (Qt),Yes| Yes| style="background:#F99;vertical-align:middle;text-align:center;" class="table-no"|No,[added]
