[empty],Protocol,Author  creator,First public release date,Latest stable version,Cost (USD),Software license,Programming language
BeeBEEP[1][2],BeeBEEP Protocol,Marco Mastroddi,2010,5.8.2 (November 6  2019; 3 days ago (2019-11-06)),Free,GNU GPLv3,C++ and Qt
BORGChat,?,Ionut Cioflan,2002,v1.0.0 b438 (March 31  2007; 12 years ago (2007-03-31)) [±],Free[3],Freeware,?
Briar,Bramble Protocol,Briarproject.org,2018,1.1.5 (November 13  2018; 11 months ago (2018-11-13)),Free,GNU GPLv3,Java
iChat,Bonjour IM Protocol,Apple Inc.,2003,5.0.3 (745)  (April 26  2010; 9 years ago (2010-04-26)),Non-free  bundled with OS,Proprietary,Likely Objective-C
iptux[4],Windows Messenger service,Jally  ManPT  others,2008,0.51 (November 20  2009; 9 years ago (2009-11-20)),Free[5],GNU GPL,?
Miranda IM,Windows Messenger service,Roland Rabien,2000,0.10.56 (August 12  2016; 3 years ago (2016-08-12)),Free,GNU GPL,C/C++
MyChat,MyChat protocol,Alexey Pikurov,2004,7.7.0 (August 21  2019),Paid/Free,Proprietary software,Python
Pidgin[6],Bonjour IM Protocol,Mark Spencer  others,1998,2.11.0 (June 20  2016; 3 years ago (2016-06-20)),Free,GNU GPL,C
qTox,Tox Protocol,Tux3,?,1.16.1 (July 7  2018; 16 months ago (2018-07-07)),Free,GNU GPLv3,C++ and Qt
[empty],Toolkits or SDKs,Private messages,Private chat,Public chat,Message board,Encryption,File transfer,Unicode (UTF-8),Message filtration,Graphical smileys,Message logging,Whiteboard,Terminal Service Compatibility,User base in Active Directory,Serverless (No server required)
BeeBEEP,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
BORGChat,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
Briar,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes
iChat 1,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
iptux,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
Miranda IM,?,Yes,?,?,?,?,Yes,Yes,?,Yes,Yes,?,?,?,Yes
MyChat,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,No
qTox,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
