Model[edit],Processor,Memory,FSB,Storage,RPM,Graphics,VRAM,Display resolution,MSRP
Mac Mini[1],1.4 GHz dual-core Intel Core i5,4 GB,5 GT/s,500 GB HDD,5400,Intel HD Graphics 5000,1.5 GB shared,N/A,$499 (USD) / $599 (CAD) / £479 (GBP) / €549 (EUR) / $779 (AUD)
iMac 21.5 inch[2],1.6 GHz dual-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,Intel HD Graphics 6000,1.5 GB shared,1920 × 1080,$1099 (USD) / $1399 (CAD) / £1049 (GBP) / €1249 (EUR) / $1699 (AUD)
iMac 21.5 inch with 4K Retina Display[2],3.1 GHz dual-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,Intel Iris Pro Graphics 6200,1.5 GB shared,4096 × 2304,$1499 (USD) / $1899 (CAD) / £1449 (GBP) / €1699 (EUR) / $2299 (AUD)
iMac 27 inch with 5K Retina Display[2],3.2 GHz quad-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,AMD Radeon R9 M380,2 GB,5120 × 2880,$1799 (USD) / $2299 (CAD) / £1749 (GBP) / €2099 (EUR) / $2799 (AUD)
Mac Pro Quad-Core[3],3.7 GHz Quad-core Xeon E5,16 GB,5 GT/s,256 GB PCIe-based flash storage,N/A,Dual AMD FirePro D300,2 GB each,N/A,$2999 (USD) / $3499 (CAD) / £2999 (GBP) / €3399 (EUR) / $4899 (AUD)
Mac Pro 6-Core[3],3.5 GHz 6-core Xeon E5,16 GB,5 GT/s,256 GB PCIe-based flash storage,N/A,Dual AMD FirePro D500,3 GB each,N/A,$3999 (USD) / $4699 (CAD) / £3899 (GBP) / €4599 (EUR) / $6499 (AUD)
Model,USB,Gigabit Ethernet,AirPort Extreme,Bluetooth,Video interface,SD card slot,Keyboard and mouse,iSight/Facetime Camera,Remote IR receiver
Mac mini[1],4,Yes,Yes,Yes,HDMI and Thunderbolt 2,Yes,No,No,Yes
iMac 21.5 in[2],4,Yes,Yes,Yes,Thunderbolt 3,Yes,Yes,Yes,No
iMac 21.5 in Retina Display[2],4,Yes,Yes,Yes,Thunderbolt 3,Yes,Yes,Yes,No
iMac 27 in[2],4,Yes,Yes,Yes,Thunderbolt 3,Yes,Yes,Yes,No
Mac Pro Quad-Core[3],4,2,Yes,Yes,HDMI and Thunderbolt 2,No,No,No,No
Mac Pro 6-Core[3],4,2,Yes,Yes,HDMI and Thunderbolt 2,No,No,No,No
MacBook Air[4],2,No,Yes,Yes,Thunderbolt 2,Yes,Integrated,Yes,No
MacBook Pro 13 in 2.0 GHz[6],2 USB-C,No,Yes,Yes,Thunderbolt 3,No,Integrated,Yes,No
MacBook Pro 13 in 2.9 GHz[6],4 USB-C,No,Yes,Yes,Thunderbolt 3,No,Integrated,Yes,No
MacBook Pro 15 in 2.6 GHz[6],4 USB-C,No,Yes,Yes,Thunderbolt 3,No,Integrated,Yes,No
MacBook Pro 15 in 2.7 GHz[6],4 USB-C,No,Yes,Yes,Thunderbolt 3,No,Integrated,Yes,No
MacBook Pro 13 in 2.7 GHz[6],2,No,Yes,Yes,HDMI and Thunderbolt 2,Yes,Integrated,Yes,No
MacBook Pro 15 in 2.2 GHz[6],2,No,Yes,Yes,HDMI and Thunderbolt 2,Yes,Integrated,Yes,No
Model,Memory slots,Memory Max,User-replaceable HDD/SSD?,HDD/SSD bays,Expansion slots
Mac Mini[1],No,16 GB,No,1,No
iMac[2],None (21.5")  4 (27"),16 GB (21.5")  64 GB (27"),No,1,No
Mac Pro[3],4,64 GB,No,1,No
MacBook Air[4],No,8 GB,No,1,No
MacBook,No,16 GB,No,No,No
MacBook Pro (2017)[6],No,16 GB,No,No,No
MacBook Pro (2015)[6],No,16 GB,No,1,No
Model,Announced,Released,Last revision
Mac Mini,January 11  2005 (2005-01-11)[7],January 29  2005 (2005-01-29),November 7  2018 (2018-11-07)
iMac Pro,June 5  2017 (2017-06-05),December 14  2017 (2017-12-14),[empty]
iMac,May 6  1998 (1998-05-06),August 15  1998 (1998-08-15),March 19  2019 (2019-03-19)
Mac Pro,August 7  2006 (2006-08-07),August 7  2006 (2006-08-07),December 19  2013 (2013-12-19)
MacBook Air,January 15  2008 (2008-01-15),January 29  2008 (2008-01-29),July 9  2019 (2019-07-09)
MacBook Pro 13 in with Touch Bar (4th gen),October 27  2016 (2016-10-27),November 2016 (2016-11),July 9  2019 (2019-07-09)
MacBook Pro 15 in with Touch Bar (4th gen),October 27  2016 (2016-10-27),November 2016 (2016-11),May 21  2019 (2019-05-21)
