John McCain,Barack Obama
McCain is opposed to federal funding of Amtrak. He considers it to be a "pork barrel project"  particularly as far as longer distance trains are concerned.[69][70] He has also argued for more stringent safety standards with respect to cars.[71],[empty]
Chuck Baldwin,Bob Barr
[empty],[empty]
