Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia 3600,Smartphone,Nokia,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1 version  12,[empty]
Nokia 3620,Smartphone,Nokia,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,[empty]
Nokia 3650,Smartphone,Nokia,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,[empty]
Nokia 3660,Smartphone,Nokia,[empty],Symbian OS,61,[empty],S60 1st Edition  Feature Pack 1  version 12,[empty]
Nokia 5228,Smartphone,Nokia,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5230,Smartphone,Nokia,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5233,Smartphone,Nokia,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5250,Smartphone,Nokia,2010,Symbian1,94,EKA2,S60 5th Edition  version 5[1],[empty]
Nokia 5320,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 5500 Sport,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia 5530 XpressMusic,Smartphone,Nokia,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5630 XpressMusic,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 5700 XpressMusic,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia 5730 XpressMusic,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 5800 Navigation Edition,Smartphone,Nokia,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia 5800 XpressMusic,Smartphone,Nokia,[empty],Symbian1,94,EKA2,S60 5th Edition  version 5,First S60 touchscreenFirst S60 5th
Nokia 6110 Navigator,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia 6120 classic,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia 6121 classic,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia 6124 classic,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia 6210 Navigator,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6220 classic,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6260,Smartphone,Nokia,[empty],Symbian OS,70s,[empty],S60 2nd Edition  Feature Pack 1  version 21,[empty]
Nokia 6290,Smartphone,Nokia,2007,Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia 6600,Smartphone,Nokia,[empty],Symbian OS,70s,[empty],S60 2nd Edition  version 2,[empty]
Nokia 6620,Smartphone,Nokia,[empty],Symbian OS,70s,[empty],S60 2nd Edition  Feature Pack 1  version 21,[empty]
Nokia 6630,Smartphone,Nokia,[empty],Symbian OS,80a,[empty],S60 2nd Edition  Feature Pack 2  version 26,[empty]
Nokia 6650 fold,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6670,Smartphone,Nokia,[empty],Symbian OS,70s,[empty],S60 2nd Edition  Feature Pack 1  version 21,[empty]
Nokia 6680,Smartphone,Nokia,[empty],Symbian OS,80a,[empty],S60 2nd Edition  Feature Pack 2  version 26,[empty]
Nokia 6681,Smartphone,Nokia,[empty],Symbian OS,80a,[empty],S60 2nd Edition  Feature Pack 2  version 26,[empty]
Nokia 6682,Smartphone,Nokia,[empty],Symbian OS,80a,[empty],S60 2nd Edition  Feature Pack 2  version 26,[empty]
Nokia 6700 slide,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6708,Smartphone,Nokia,[empty],Symbian OS,70,[empty],UIQ 21,[empty]
Nokia 6710 Navigator,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6720 classic,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6730 classic,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6760 slide,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6790 slide,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6790 surge,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6788,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 6788i,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia 7610,Smartphone,Nokia,[empty],Symbian OS,70s,[empty],S60 2nd Edition  Feature Pack 1  version 21,[empty]
Nokia 7650,Smartphone,Nokia,2002,Symbian OS,61,[empty],S60 1st Edition  version 09,First Nokia with Symbian OS; first Series 60 (Now S60)) platform device; first Nokia with builtin camera
Nokia 7710,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S90,only model on S90
Nokia 9210,Smartphone,Nokia,[empty],Symbian OS,60,[empty],S80 v10,[empty]
