Client,License,First stable release,Latest stable release
Date,Version,[added],[added]
Akregator,GPLlic,dunno,dunno
Amarok,GPLlic,dunno,dunno
AOL Explorer,free|Proprietary,June  2005,10
Avant,free|Proprietary,August  2004,dunno
Awasu,proprietary,February  2003,10
BlogBridge,GPLlic,dunno,dunno
Bloglines,proprietary,dunno,dunno
CakeReader,Proprietary,2015,?
Canto,GPLlic,January 14  2009,060
Claws Mail,GPLlic,January  2005,100
CommaFeed,free|Apache License,dunno,dunno
Cooliris,dunno,dunno,dunno
Digg Reader,proprietary,dunno,dunno
Feed Viewer,proprietary,April  2006,10
FeedDemon,proprietary,dunno,dunno
Feedly,proprietary,2008,dunno
Feedreader,proprietary,dunno,dunno
Flipboard,proprietary,dunno,dunno
Flock,free|Proprietary,November 2  2007,10
Gnus,GPLlic,February 1  1988[4],dunno
Google Reader,proprietary,September 17  2007,20
IBM Lotus Notes,proprietary,1989,10
Inoreader,proprietary,dunno,dunno
iTunes,proprietary freeware,dunno,dunno
Juice,GPLlic,dunno,dunno
KMeleon,GPLlic,November 26  2000,02
Kazehakase,GPLlic,January 29  2003,dunno
Liferea,GPLlic,dunno,dunno
Mail (OS X),proprietary,dunno,dunno
Maxthon,free|Proprietary,September 8  2005,100250
MediaMonkey,proprietary|Freemium,dunno,dunno
Microsoft Office Outlook,proprietary / Commercial software,1997,97
Mozilla Firefox,free|MPL,September 23  2002,01
Mozilla Thunderbird,free|MPL,December 7  2004,10
My Yahoo!,[empty],dunno,dunno
NetNewsWire,free|MIT license [10],February 11  2003,10
Netscape Browser,proprietary,May 19  2005,80
Netscape Navigator 9,proprietary,October 15  2007,90
Netvibes,proprietary,dunno,dunno
News360,proprietary,November  2010,dunno
NewsAccess,dunno,dunno,dunno
NewsBlur,free|MIT license [11],October 26  2010,10
NewsFire,proprietary,dunno,dunno
OmniWeb,proprietary,March 17  1995,10
Opera Mail,free|Proprietary,December  1996,21
Pegasus Mail,proprietary  Donationware,1990,dunno
Protopage,proprietary,May  2005,10
Pulse,dunno,dunno,dunno
QuiteRSS,GNU GPL v3,Dec  2014,0140
Rhythmbox,GPLlic,dunno,dunno
RSS Bandit,free|BSD license,March  2003,10
RSSOwl,free|EPL,December 19  2004,10
Safari,Proprietary,dunno,dunno
Sage,free|MPL,dunno,dunno
Shiira,free|BSD license,dunno,dunno
Sleipnir,proprietary,October  2005,200
Songbird,GPLlic,dunno,dunno
The Bat!,proprietary|Shareware,March  1998,100 Build 1310
The Old Reader,proprietary,June 12  2012[12],Beta
Tiny Tiny RSS,GPLlic,dunno,dunno
Winamp,proprietary|Freemium,dunno,dunno
Windows Live Mail,free|Proprietary,dunno,dunno
Zimbra,Zimbra licensing,March  2006,35
Zune,proprietary,dunno,dunno
Client,License,Date,Version
First stable release,[added],[added],[added]
