Name,TailCall Optimization,Choice Point Elimination,Environment Trimming,JustinTime Indexing
Ciao,yes|Yes,yes|Yes,yes|Yes,?
ECLiPSe,yes|Yes,yes|Yes,yes|Yes,n/a|multiargument (compile time)
GNU Prolog,yes|Yes,yes|Yes,yes|Yes,?
Jekejeke Prolog,yes|Yes (runtime),yes|Yes (runtime),yes|Yes (runtime),yes|Yes
SICStus Prolog,yes|Yes,yes|Yes,yes|Yes,[empty]
SWIProlog,yes|Yes,yes|Yes,yes|Yes,yes|Yes
Visual Prolog,yes|Yes (compile time),yes|Yes (compile time),n/a,n/a|N/A (compile time)
XSB,yes|Yes,yes|Yes,yes|Yes,?
YAPProlog,yes|Yes,yes|Yes,yes|Yes,yes|Yes
