Brand,Model name,Sensor size,Effective megapixels,Lens mount,Htitle|(% of the frame)|Viewfinder coverage,Metering zones,Focus points,Lowest ISO,Highest ISO,Htitle|(sensor) overall score|DxO score,Htitle|Noise levels what is the highest ISO level that still gives a specific print quality?|DxO ISO[1],Htitle|(fps)|Cont shtg,Htitle|(inch)|LCD size,Live view,Movie mode,Htitle|storage|Memory card,Video,Htitle|(W x H x D)|Dimensions (mm),Weight (g)[2],Announced (date),Reference
Olympus,E3,Four Thirds,101,MFT,100,49,11,100,3200,56,571,5,25,yes,no,CF  xD,[empty],142x116x75,800 (without battery),dts|Oct 2007,[92]http//wwwolympusamericacom/cpg_section/productasp?product=1323&page=specs
Olympus,E30,Four Thirds,123,MFT,98,49,11,100,3200,55,530,5,27,yes,no,CF  xD,[empty],142x116x75,730,dts|Feb 2009,[93]http//wwwolympusamericacom/cpg_section/productasp?product=1430&page=specs
Olympus,E620,Four Thirds,123,MFT,95,49,7,100,3200,55,536,4,27,yes,no,CF  xD,[empty],130x94x60,475 (without battery),dts|Feb 2009,[94]http//wwwolympusamericacom/cpg_section/productasp?product=1452&page=specs
Pentax,645D,Medium format,395,Pentax 645,98,77,11,100,1600,82,1262,1,3,no,no,SDXC (2x),[empty],156x117x119,1400,dts|Mar 2010,[95][96]
Pentax,645Z,Medium format,395,Pentax 645,98,86000,27,100,204800,101,4505,3,32,yes,yes,SDXC (2x),[empty],156x117x123,1550,dts|Apr 2014,[97][98]
Pentax,K1,Full frame,363,K mount,100,86000,33,80,204800,96,3280,44,32,yes,yes,SDXC (2x),1080p30,1365x110x855,750,dts|Sep 2016,[99][100]
Pentax,K5,APSC,163,K mount,100,77,11,80,51200,82,1162,7,3,yes,yes,SDXC,[empty],131x97x73,750,dts|Sep 2010,[101][102]
Pentax,K7,APSC,146,K mount,100,77,11,100,6400,61,536,52,3,yes,yes,SD,[empty],131x97x73,750,dts|May 2009,[103][104]
Pentax,K50,APSC,163,K mount,100,77,11,100,51200,79,1120,6,3,yes,yes,SDXC,[empty],130x97x71,650,dts|June 2013,[105][106]
Pentax,K500,APSC,163,K mount,100,77,11,100,51200,79,1087,6,3,yes,yes,SDXC,[empty],130x97x71,646,dts|June 2013,[107][108]
Pentax,K30,APSC,163,K mount,100,77,11,100,25600,79,1129,6,3,yes,yes,SDXC,[empty],131x97x73,649,dts|May 2012,[109][110]
Pentax,Kr,APSC,124,K mount,96,16,11,100,25600,72,755,60,30,yes,yes,SD,[empty],122x91x67,515 (without battery),dts|Sep 2010,[111][112]
Pentax,Kx,APSC,124,K mount,96,16,11,100,12800,72,811,47,27,yes,yes,SD,[empty],122x91x67,580,dts|Sep 2009,[113][114]
Pentax,K20D,APSC,146,K mount,96,16,11,100,6400,65,639,3,27,yes,[empty],SD,[empty],1415×101×70,800,dts|Jan 2008,[115]
Sigma,SD1 Merrill,APSC,154 x 3,SA mount,96,77,11,100,6400,N/A,N/A,6,3,no,no,CF,[empty],146x113x80,790,dts|Feb 2012,[116][117]
Sony,Alpha 900,Full frame,246,Sony �/Minolta A,100,40,9,100,6400,79,1431,5,3,no,no,CF  MS,[empty],156x117x82,895,dts|Sep 2008,[118] [119]
Sony,Alpha 850,Full frame,246,Sony �/Minolta A,98,40,9,100,6400,79,1415,3,3,no,no,CF  MS,[empty],156x117x82,895,dts|Aug 2009,[120][121]
Sony,Alpha 580,APSC,162,Sony �/Minolta A,95,[empty],15,100,12800,80,1121,7,3,yes,yes,SD  MS,[empty],137x104x84,599 (without battery),dts|Aug 2010,[122]
Brand,Model name,Sensor size,Effective megapixels,Lens mount,Viewfinder coverage (% of the frame),Metering zones,Focus points,Lowest ISO,Highest ISO,DxOMark sensor score,DxO ISO perfor mance[3],Cont shtg (fps),LCD size (in),Live view,Movie mode,Memory card type,! Dimensions (mm),Weight (g)[4],Announced (date),Reference,[added]
