[empty],Display,Resolution,Colors,Controller,Game media,Operating System
GP2X,35" Backlit TFT LCD,320 × 240,262144 colors (F100) ; 1677 million colors (F200),EightDirectional Digital Stick,Secure Digital Memory Cards,[empty]
GPD Win,55" backlit HIPS touchscreen,1280 × 720,[empty],2x analog sticks  Dpad  4 face buttons  4 shoulder buttons  67button QWERTY keyboard  touchscreen,Various  incl but not limited to Digital download  video game ROM ISO image  MicroSD card,Windows 10
GPD Win 2,6" backlit HIPS touchscreen (w/wireless Miracast and Intel WiDi support),1280 × 720 (w/4K video support  4096x2304 max),[empty],2x analog sticks  Dpad  4 face buttons  6 shoulder buttons  80button QWERTY keyboard  touchscreen,Various  incl but not limited to Digital download  video game ROM ISO image  MicroSD card,Windows 10
Pandora,43" Backlit LCD touchscreen,800 × 480,16777216 colours,Two analogue nubs  4Way Dpad  2 shoulder buttons  46 key qwerty keyboard  touchscreen,SD  SDHC and SDXC,[empty]
Game Boy Micro,2 in LCD,240 × 160,32768 colors,Dpad,Proprietary solidstate cartridge,[empty]
Gizmondo,28 in LCD,240 × 320,65536 colors,Fourdirectional digital pad,SD card or downloadable,Windows CE
PlayStation Portable,43 in LCD,480 × 272,16777216 colours,Fourdirectional digital pad  analog thumbstick,UMD or memory stick,[empty]
GCW Zero,35" Backlit TFT LCD,320 × 240,262144 colors,8directional digital pad  analog joystick  L/R shoulder buttons  ABXY action buttons  start & select buttons  power slider,micro SDHC and micro SDXC,[empty]
Nintendo DS,Two 3 in LCDs,256 × 192 (×2),262144 colors,Dpad  stylusdriven touchscreen,Proprietary matrix memory cards,[empty]
NGage QD,21 in LCD,176 × 208,4096 colors,Fourdirectional digital pad,MMC or downloadable,[empty]
Timetop Gameking 1 & 2,21 in Reflective LCD (Backlit in Gameking 2),48 × 32,4 shades of gray,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
GP32,35 in TFT,320 × 240,65536 colors,Fourdirectional digital stick,Rewritable SmartMedia,[empty]
Dingoo A320,28 in LCD,240 × 320,65536 colors,Fourdirectional digital pad  shoulder buttons  action buttons  start & select buttons,Builtin  miniSD card or downloadable,�C/uOSII Linux
Tapwave Zodiac,38 in LCD,480 × 320,65536 colors,8directional analog thumbstick  stylusdriven touchscreen,SD card or downloadable,[empty]
NGage,21 in LCD,176 × 208,4096 colors,Fourdirectional digital pad,MMC NGage Arena,Symbian OS 61 (Series 60)
Game Boy Advance SP,29 in LCD,240 × 160,32768 colors,DPad,Proprietary solidstate cartridge,[empty]
Game Boy Advance,29 in LCD,240 × 160,32768 colors,DPad,Proprietary solidstate cartridge,[empty]
Swan Crystal,28 in TFT LCD,224 × 144,4096 colors  241 simultaneous,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
WonderSwan Color,28 in FSTN reflective LCD,224 × 144,4096 colors  241 simultaneous,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
WonderSwan,249 in FSTN Reflection LCD,224 × 144,[empty],Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
Game Boy Color,TFT LCD,160 × 144,32768 colors; 10  32 or 56 simultaneous,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
Neo Geo Pocket Color,TFT LCD,160 × 152,4096 colors  146 simultaneous,8directional digital thumbstick,Proprietary solidstate cartridge,[empty]
Neo Geo Pocket,TFT LCD,160 × 152,16 palettes per plane?,8directional digital thumbstick,Proprietary solidstate cartridge,[empty]
gamecom,39 in LCD,200 × 160,4,Fourdirectional digital pad  touchscreen,Proprietary solidstate cartridge,[empty]
Game Boy Light,Backlit Reflective LCD,160 × 144,4,DPad,Proprietary solidstate cartridge,[empty]
Game Boy Pocket,Reflective LCD,160 × 144,4,DPad,Proprietary solidstate cartridge,[empty]
Sega Nomad,3 in LCD,320 × 224,512 available  64 simultaneous,Fourdirectional digital pad,Proprietary solidstate cartridge (compatible with Sega Genesis),[empty]
Mega Duck/Cougar Boy,27" (48 (h) x 51 (w) mm) STN dot matriix,160 × 144,4 monochrome green shades,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
Watara Supervision,34"  61 mm x 61 mm (237" x 237") LCD SuperVision FAQ,160 × 160 pixel display,4 monochrome green shades,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
Atari Lynx II,35" LCD,160 × 102,4096 (12bit)  16 per scanline,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
Game Gear,32 in LCD,160 × 144,4096 available  32 simultaneous,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
TurboExpress,TFT LCD,256 × 256,512,Fourdirectional digital pad,Proprietary solidstate cartridge (compatible with TurboGrafx16),[empty]
Game Boy,Reflective LCD,160 × 144,4,DPad,Proprietary solidstate cartridge,[empty]
Atari Lynx,35" LCD (diagonal); 325" x 188"[23],160 × 102,4096 (12bit)  16 per scanline,Fourdirectional digital pad,Proprietary solidstate cartridge,[empty]
Game Pocket Computer,LCD,75 × 64,2,Fourdirectional control pad,Proprietary solidstate cartridge,[empty]
Microvision,LCD,16 × 16,4,12 button keypad  one paddle,Proprietary solidstate cartridge,[empty]
Mi2 console,35 in LCD,240 × 320,"full color",Fourdirectional digital pad  shoulder buttons  action buttons  menu buttons  touchscreen  camera and motion sense,built in  SD card or downloadable,[empty]
Xperia PLAY,4",854 × 480,16M colors,Touchscreen Accelerometer Touchpad 20× buttons,Google Play,Android 237 (Unofficial 51)
