Date,Nation,Name,Asian First,World achievements
4 October 1957,USSR (now under KAZ),Baikonur Cosmodrome,Satellite launch pad,The first satellite  Sputnik 1  was launched
11 February 1970,JPN,Ohsumi,Satellite,The smallest satellite launch vehicle (L4S; 94t weight  14m diameter)
24 February 1975,JPN,Taiyo,Solar probe,[empty]
26 October 1975,CHN,FSW0,Satellite recovery[68],[empty]
26 October 1975,CHN,FSW0 Äì 10m (1975) FSW1B Äì 4m (1992)[69] Beidou Äì 05m (till 2007)[70],High resolution imaging satellite,[empty]
8 July 1976,IDN,Palapa A1,Geosynchronous satellite (launched by NASA),[empty]
23 February 1977,JPN,NI,Geosynchronous launch,[empty]
14 July 1977,JPN,GMS,Weather satellite (launched by NASA),>
21 February 1979,JPN,Hakucho,Space observatory,[empty]
23 July 1980,VNM,Ph∫°m Tu√¢n,Asian in space (Soyuz 37),[empty]
20 September 1981,CHN,FB1,Simultaneous satellite launch[71],[empty]
8 January 1985,JPN,Sakigake,Leaving Earth orbit,The first interplanetary launch by solid rocket (M3SII)
19 March 1990,JPN,Hagoromo,Reach lunar orbit (assumed),[empty]
7 April 1990,CHN,CZ3,Commercial launch (AsiaSat 1),[empty]
10 April 1993,JPN,Hiten,Intentional lunar impact,The first aerobraking test[72]
8 July 1994,JPN,Chiaki Mukai,Asian woman in space (STS65),[empty]
19 November 1997,JPN,Takao Doi,Spacework (STS87),[empty]
28 November 1997,JPN,ETSVII,Rendezvous docking,[empty]
3 July 1998,JPN,Nozomi,Martian mission (Failure),[empty]
30 October 2000,CHN,Beidou,Satellite navigation system,[empty]
10 September 2002,JPN,Kodama[73],Data relay satellite (with ESA),[empty]
15 October 2003,CHN,Yang Liwei,First man in space launched by an Asian space program,[empty]
15 October 2003,CHN,Shenzhou 5,Manned spacecraft,[empty]
19 November 2005,JPN,Hayabusa,Softlanded probe on extraterrestrial object,The first asteroid ascent  sample return from an asteroid
11 January 2007,CHN,FY1C,ASAT test,Highest in history with altitude 865 km  also the fastest with speed 18k miles
23 February 2008,JPN,WINDS,Internet satellite,The fastest internet satellite[74]
11 March 2008,JPN,Japanese Experiment Module,Manned foundations in space (STS123  STS124  STS127),The world's largest pressurized volume in space[75]
25 April 2008,CHN,Tianlian I,Indigenous Tracking & Data Relay Satellite System First TDRS system to support manned missions,[empty]
27 September 2008,CHN,Zhai Zhigang (Shenzhou 7),Indigenous EVA,[empty]
27 September 2008,CHN,BanXing,Manned spacecraftlaunched satellite,[empty]
14 November 2008,IND,Moon Impact Probe,Probe designed for Lunar impact,Discovered water on the Moon before impact[76][77]
23 January 2009,JPN,GOSAT,Greenhouse gas explorer[78],[empty]
20 May 2010,JPN,Akatsuki,First Asian Venus mission,[empty]
21 May 2010,JPN,IKAROS,Solar sail,The first spacecraft to successfully demonstrate solarsail technology in interplanetary space
25 August 2011,CHN,Chang'e 2,Lunar probe with extended deep space missions (asteroid mission to 4179 Toutatis),[empty]
29 September 2011,CHN,Tiangong1,First Asian Space station,[empty]
18 June 2012,CHN,Shenzhou 9,First manned space docking by an Asian country (with Tiangong1),[empty]
14 December 2013,CHN,Chang'e 3/Yutu,First lunar soft landing and lunar rover by an Asian country,[empty]
24 September 2014,IND,Mars Orbiter Mission,First successful Mars mission by an Asian country,First Martian mission by a country to succeed on the first attempt Third country to do so after the USSR and the USA
15 February 2017,IND,PSLVC37,First to successfully launch and deploy 104 satellites simultaneously from a single rocket (PSLV C37)[79][80],First country in the world to launch more than 100 satellites at one go
3 January 2019,CHN,Chang'e 4,First soft landing on the far side of the Moon,First soft landing on the far side of the Moon by any country Landed with Yutu2 rover
