Feature,Ace,CodeMirror,Orion,CodePress,CodeTextArea,EditArea,Helene,markItUp!,MDKEditor
Implementation,[empty],yes| nestable full parsers,some| patternbased parser,some| patternbased parser,[empty],[empty],[empty],[empty],yes| parsers
Syntax highlight,yes | Over 110 languages,yes| Over 130 languages,some| mixed mode HTML  JavaScript and CSS  PHP  EJS; single mode JavaScript  Java  JSON  CSS  Python  Ruby  XML  YAML (pluggable),some| limited mixed mode HTML  JavaScript (no CSS)  PHP  HTML (no JavaScript or CSS)  Java  Perl  SQL,no| only keywords,partial| only one language at a time Perl  PHP  CSS  Javascript  Python  HTML  XML  VB  C  CPP  SQL  Pascal  Basic  Brainf*ck,PHP,no,yes| mixed mode PHP  HTML  JavaScript  CSS  singlemode PHP  Javascript  CSS  XML; extensible
Syntax checking,yes| HTML  CSS  JavaScript (using JSHint),some,some| JavaScript (using JSLint),no,[empty],[empty],no,[empty],yes| HTML  JavaScript (using JSLint)
Tab support,yes,yes,yes,some,[empty],yes,[empty],[empty],yes
Indent  new line keeps level,yes| optional setting that is on by default,yes,yes,partial| very limited,no,yes,no| N/A (can't press Enter),no,yes
Indent  syntax,yes,yes,yes,[empty],[empty],no,[empty],[empty],no
Indent  selected block,yes| yes  including ShiftTab,yes|either automatically  or blocklevel indent/unindent,yes| yes  including ShiftTab,no,[empty],yes|yes  including ShiftTab,[empty],[empty],yes| yes  including ShiftTab and using context menu
Bracket matching,yes,yes,yes,some| an implementation exists with mousehover bracket matching Citation needed|date=February 2009,partial|CtrlB; no angle bracket matching,[empty],[empty],no,yes|matching bracket ([<>]) always highlighted
XML matching tag highlight,yes,yes,no,no,[empty],[empty],[empty],[empty],yes
Code folding,yes,yes[5],Some[6],no,no,no,no,no,no
Code snippets,yes,some| through API/addon,some,yes| type 'for' or 'if' then Tab,no,yes,no,yes,yes| JavaScript
Code suggestion,yes,yes | example,yes through esprima content assist plugin,no,[empty],yes|yesCitation needed|date=February 2009,[empty],no,yes| CSS  HTML  JavaScript)
Toggle syntax highlight on/off,yes,yes,no,[empty],[empty],yes|last example in demo,[empty],N/A,yes| textmode
Keyboard shortcuts,yes| All Common Shortcuts & Custom Keybindings,yes| fully configurable,yes,[empty],[empty],yes| some common used Ctrlf  Ctrlg Ctrlz Ctrly,[empty],yes,yes| All key combos (except F1 in IE7) can be bound to shortcuts 
Line numbers,yes,yes,yes,yes,yes,yes,yes,no,yes| supports mouse selection
Search & replace,yes| regex supported,yes| via API,yes,[empty],no,yes| toolbar button,[empty],[empty],no| has API for the studio
Spell checking,some| addon for context menu,no,no,yes|browserbased,no|none,yes|browserbased,no|none,yes|browserbased,no
Toolbar,no| But command line console,no,no,[empty],no,yes,no,yes,no
Visual styling,yes| Fully themeable,yes|CSSbased themes,yes,[empty],some| fonttype and fontsize,[empty],[empty],[empty],yes| 5 styles to choose from  having 2 fontsizes
Undo/Redo,yes,yes,yes,yes,[empty],yes,[empty],[empty],yes| Differential Undo
Multiple cursors / Block selection,yes| Multiple cursors,yes,yes,no,no,no,no,no,no
IndentGuides,yes,no,no,no,no,no,no,no,no
Inline widgets,yes,yes,no,no,no,no,no,no,no
Non US charset support,yes,yes,yes,[empty],[empty],[empty],[empty],[empty],no
