Model,USB,Gigabit Ethernet,AirPort Extreme,Bluetooth,Video interface,SD card slot,Keyboard and mouse,iSight/Facetime Camera,Remote IR receiver
Mac mini[1],yes|4,yes,yes,yes,HDMI and Thunderbolt 2,yes,no,no,yes
iMac 215 in[2],yes|4,yes,yes,yes,Thunderbolt 3,yes,yes,yes,no
iMac 215 in Retina Display[2],yes|4,yes,yes,yes,Thunderbolt 3,yes,yes,yes,no
iMac 27 in[2],yes|4,yes,yes,yes,Thunderbolt 3,yes,yes,yes,no
Mac Pro QuadCore[3],yes|4,yes|2,yes,yes,HDMI and Thunderbolt 2,no,no,no,no
Mac Pro 6Core[3],yes|4,yes|2,yes,yes,HDMI and Thunderbolt 2,no,no,no,no
MacBook Air[4],yes|2,no,yes,yes,Thunderbolt 2,yes,yes|Integrated,yes,no
MacBook Pro 13 in 20 GHz[5],yes|2 USBC,no,yes,yes,Thunderbolt 3,no,yes|Integrated,yes,no
MacBook Pro 13 in 29 GHz[5],yes|4 USBC,no,yes,yes,Thunderbolt 3,no,yes|Integrated,yes,no
MacBook Pro 15 in 26 GHz[5],yes|4 USBC,no,yes,yes,Thunderbolt 3,no,yes|Integrated,yes,no
MacBook Pro 15 in 27 GHz[5],yes|4 USBC,no,yes,yes,Thunderbolt 3,no,yes|Integrated,yes,no
MacBook Pro 13 in 27 GHz[5],yes|2,no,yes,yes,HDMI and Thunderbolt 2,yes,yes|Integrated,yes,no
MacBook Pro 15 in 22 GHz[5],yes|2,no,yes,yes,HDMI and Thunderbolt 2,yes,yes|Integrated,yes,no
