Discontinued
[empty]
[added]
[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
HDR PhotoStudio,HDR (High Dynamic Range Editor) with human vision imaging model,Unified Color,[empty],2.15.37,[empty],[empty],[added]
Helicon Filter,Advanced image editor with a simplified tabbed interface,Helicon Soft Ltd.,[empty],5.0.28,[empty],[empty],[added]
ImageJ,Image processing program developed at the National Institutes of Health.,Wayne Rasband (NIH),[empty],1.46m,[empty],[empty],[added]
ImageMagick,Command line software suite for displaying  converting  and editing raster image files,ImageMagick Studio LLC,[empty],6.7.7-7,[empty],[empty],[added]
iPhoto*,Image organizer and basic editor for macOS; replaced by Photos,Apple Inc.,[empty],9.6,[empty],[empty],[added]
IrfanView,Image and video viewer with basic editing functions,Irfan Skiljan,[empty],4.44<ref>IrfanView home page</ref>,December 20  2016,[empty],[empty]
Iridient Developer,Powerful raw image conversion application designed and optimized for macOS,Iridient Digital,[empty],3.0.3,[empty],[empty],[added]
Kolourpaint,[empty],KDE,[empty],1.2.2,[empty],[empty],[added]
Krita,Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.,KDE,[empty],4.2.2,[empty],[empty],[added]
LazPaint,Free multiplatform layered image editor,circular,[empty],6.2,[empty],[empty],[added]
LiveQuartz,Basic multi-layer photo editor,Romain Piveteau,[empty],2.8,December 1  2018,[empty],[added]
MacPaint*,Obsolete basic editor,Bill Atkinson,[empty],2.0,[empty],[empty],[added]
Microsoft Office Picture Manager*,Basic image editor,Microsoft,[empty],14.0,[empty],[empty],[added]
Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,[empty],6.1,[empty],[empty],[added]
Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,[empty],3.01,[empty],[empty],[added]
mtPaint,pixel art and photo editing application,Mark Tyler,[empty],3.40,[empty],free,[empty]
MyPaint,Digital painting application,Martin Renold,[empty],1.2.1,[empty],free,[empty]
OpenCanvas,[empty],Portalgraphics,[empty],4,[empty],[empty],[added]
paint.net,Freeware image editor and graphics creator based on the .Net framework,Rick Brewster  et al.,[empty],4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP),October 2  2017,<ref name="blog.getpaint.net">http://blog.getpaint.net/2009/11/06/a-new-license-for-paintnet-v35/</ref><ref name="getpaint.net">http://www.getpaint.net/license.html</ref>,[added]
Paint Tool SAI*,Simple and lightweight painting software,Systemax Software,[empty],1.2.5,[empty],[empty],[added]
PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,[empty],5,[empty],[empty],[added]
Pencil2D,2D graphical animation software.,Pascal Naidon,[empty],0.4.4,[empty],[empty],[added]
[added],[added],[added],[added],[added],[added],[added],[added]
Phatch,Editor for batch processing digital graphics and photographs.,Stani Michiels,[empty],0.2.7,[empty],[empty],[added]
Photogenics,Made to create 32-bit HDRs,Idruna Software Inc.,[empty],HDR 7.0,[empty],[empty],[added]
PhotoLine,Image editor with advanced features,Computerinsel (Germany),[empty],20.53,2018,€59,[empty]
PhotoPerfect*,Image editor with some advanced features,Arcadia Software AG  Joachim Koopmann Software,[empty],2.9,[empty],[empty],[added]
Photos,Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards,Apple Inc.,[empty],1.0,[empty],[empty],[added]
Photo Raster,Advanced online photo editor,David Levinsky,[empty],0.9,[empty],[empty],[added]
Picasa*,Efficient image organizer with basic editing tools  other image effects,Google,[empty],3.9.141.259,[empty],Discontinued,[empty]
PicMaster,Has 300 filter effects  slide show  poster printing  mosaics  true 3D  more,Alexander Sabov,[empty],4.03,[empty],[empty],[added]
Pinta,Mid-level Free and Open Source raster graphics editor  based on Paint.Net,Jonathan Pobst,[empty],1.5,[empty],[empty],[added]
PixBuilder Photo Editor,[empty],WnSoft Graphic Software,[empty],1.31,[empty],[empty],[added]
Pixelmator,Image editor and graphics creator for macOS,Pixelmator Team ltd.,[empty],3.0,[empty],[empty],[added]
Pixen,Pixel art and sprite editor for macOS,Open Sword Group,[empty],3.8,[empty],[empty],[added]
Pixia,Originally designed for Anime/Manga art.,Isao Maruoka,[empty],4.70d,[empty],[empty],[added]
PMview,Fast image viewer with basic editing functions,Peter Nielsen,[empty],3.80 (2017),[empty],[empty],[added]
Project Dogwaffle,Dan Ritchie retired but others continue active development<ref name="gi_3">According to an official message on the developer's home page  the author suspended development of Project Dogwaffle due to religious reasons. Except for the message and a link to the continued development  no download or documentation remain on the website. Third-party shareware developers and vendors online sell licensed actively developed versions of Project Dogwaffle software. Later versions are called PD Pro x (x=version number)</ref>,Dan Ritchie,[empty],2011 (7.0) (1.2 available as freeware),[empty],[empty],[added]
QFX,Mature and complete image editing package,Ron Scott,[empty],8,[empty],[empty],[added]
Rawstudio,Raw image processor.,Anders Brander & Anders Kvist,[empty],2.0,[empty],[empty],[added]
RawTherapee,Powerful free and cross-platform raw image editor  for developing raw photos from digital cameras.,Gabor Horvath,[empty],4.0.11,[empty],[empty],[added]
Seashore,Basic counterpart to GIMP  using its XCF format; full support for a few graphics formats,Mark Pazolli,[empty],2.4.0,[empty],[empty],[added]
Serif PhotoPlus,Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart  effects  public domain image library; made for easy use,Serif,[empty],X8,[empty],[empty],[added]
Shotwell,Image organizer for GNOME,Yorba Foundation,[empty],0.12.3,[empty],[empty],[added]
Tux Paint,Drawing program for young children.,Bill Kendrick,[empty],0.9.21,[empty],[empty],[added]
TVPaint,2D animation software,Herve ADAM,[empty],9.5.11,[empty],[empty],[added]
UFRaw,Raw image format processor,Udi Fuchs,[empty],0.22,[empty],[empty],[added]
Ulead PhotoImpact*,[empty],Ulead Systems,[empty],12,[empty],[empty],[added]
Ultimate Paint*,Basic graphics editor based on Deluxe Paint,Joseph Ladanyi  Daniel Szabo,[empty],2.88,[empty],[empty],[added]
WinImages,Animation-centric,Black Belt Systems,[empty],7.5,[empty],[empty],[added]
Xara Photo & Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,(Windows),9,[empty],[empty],[added]
XnView,Cross-platform image viewer used for converting  organising and editing graphical & video files.,Pierre-emmanuel Gougelet,(1.06),2.20 (Windows)/0.64 (Linux  macOS),[empty],[empty],[added]
XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets,David Koblas  Torsten Martinsen  Jean-Pierre Demailly,[empty],2.9.10.3,[empty],[empty],[added]
Zoner Photo Studio,All-in-one editor package,Zoner Inc.,[empty],11.0 build 8,[empty],[empty],[added]
[empty],Windows,macOS,Linux,iOS,BSD,Unix,AmigaOS,Other
Ability Photopaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ACD Canvas,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ACDSee,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Acorn Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Adobe Fireworks*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Adobe Photoshop,[empty],[empty],[empty],(iPad),[empty],[empty],[empty],[empty]
Adobe Photoshop Lightroom,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Affinity Photo,[empty],[empty],[empty],(iPad),[empty],[empty],[empty],[empty]
Aperture,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Autodesk SketchBook Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Artipic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ArtRage,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Artweaver,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bibble*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bloom Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Brush Strokes Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Capture One,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Chasys Draw IES,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CinePaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CodedColor PhotoStudio Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Corel PaintShop Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Corel Painter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Corel Photo-Paint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
darktable,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Deluxe Paint*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="os_1">Deluxe Paint runs on only AmigaOS  Atari ST  and DOS.</ref>
DigiKam,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Erdas Imagine,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fatpaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fotografix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
F-Spot,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
G'MIC,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GIMP,[empty],[empty],[empty],<ref>https://www.gimp.org/features/#supported-platforms</ref>,[empty],[empty],[empty],[empty]
GimPhoto,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GIMPshop,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GNU Paint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GrafX2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GraphicConverter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GraphicsMagick,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
gThumb,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HDR PhotoStudio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Helicon Filter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ImageJ,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ImageMagick,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iPhoto*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IrfanView,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Iridient Developer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Kolourpaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Krita,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LazPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LiveQuartz,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MacPaint*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="os_3">MacPaint was developed for the classic Mac OS.</ref>
Microsoft Office Picture Manager*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Paint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Photo Editor*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
mtPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MyPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OpenCanvas,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Paint.NET,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Paint Tool SAI,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PC Paintbrush*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="os_5">PC Paintbrush runs on only DOS.</ref>
Pencil2D,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
Phatch,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Photogenics,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PhotoLine,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PhotoPerfect*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Photos,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Photo Raster,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Picasa*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PicMaster,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pinta,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PixBuilder Photo Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pixelmator,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pixen,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pixia,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PMview,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Project Dogwaffle,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
QFX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Rawstudio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RawTherapee,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Seashore,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Serif PhotoPlus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Shotwell,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Tux Paint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
TVPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
UFRaw,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ulead PhotoImpact*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ultimate Paint*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WinImages,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xara Photo & Graphic Designer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XnView,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
XPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Zoner Photo Studio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[empty],Selection editing,Layers,Alpha Channel,Histogram,Scripting,HDR,Retouching,Resizing,Noise removal,Lens correction,Sized Printing,Sharpening,Color correction,Image library,Plug-in support<ref name="feat_1">External plug-ins may allow the program to perform some tasks  such as noise reduction or lens distortion  that could not otherwise be done.</ref>,Non-destructive editing
Ability Photopaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ACD Canvas,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ACDSee (Win),[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Acorn Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Adobe Fireworks*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Adobe Photoshop,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],(Through Mini Bridge),[empty],[empty]
Adobe Photoshop Lightroom,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Affinity Photo,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Aperture,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Autodesk SketchBook Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Artipic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ArtRage,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Artweaver,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bibble*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bloom Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Brush Strokes Image Editor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Capture One,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Chasys Draw IES,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CinePaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CodedColor PhotoStudio Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Corel PaintShop Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Corel Painter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Corel Photo-Paint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
darktable,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Deluxe Paint*,[empty],<ref name="feat_3">There are two: the main page and the swap page.</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DigiKam,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Erdas Imagine,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fatpaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Fotografix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GIMP,[empty],[empty],[empty],[empty],[empty],plug-in</ref>}},[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GIMPshop,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GraphicConverter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
HDR PhotoStudio,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Helicon Filter,[empty],<ref name="feat_4">Helicon Filter does not implement layers  but it can insert frames and editable text  and objects from one photo can be brushed into the main photo.</ref>,[empty],[empty],<ref name="feat_5">Although Helicon Filter does not support actual scripting  it is capable of storing and reusing sequences and settings of edits.</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iPhoto*,[empty],[empty],[empty],[empty],<ref name="iPhoto_script">iPhoto can be scripted using Automator and AppleScript.</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
IrfanView,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="IrfanView_retouching">IrfanView has basic retouching capabilities via the Paint plug-in that is bundled by default with the application.</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Iridient Developer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Kolourpaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Krita,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LiveQuartz,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MacPaint*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Office Picture Manager*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Paint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft Photo Editor*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
mtPaint,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OpenCanvas,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Paint.NET,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Paint Tool SAI,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PC Paintbrush*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Photogenics,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PhotoLine,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PhotoPerfect*,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
