[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Ability Photopaint,Graphics editor with some advanced features,Ability Software,dts|2001|03,4,[empty],[empty],proprietary
ACDSee,[empty],[empty],[empty],19,[empty],nonfree|$59,proprietary
ACDSee Pro,[empty],[empty],[empty],9,[empty],nonfree|$99,proprietary
ACDSee Ultimate,[empty],[empty],[empty],9,[empty],nonfree|$149,proprietary
Acorn Image Editor,Image editor and graphics creator for macOS,Flying Meat Inc,dts|2007|09|10,562,dts|2017|01|24,[empty],proprietary
Adobe Fireworks*,Alternative to Photoshop targeted at web designers  discontinued after CS6,Macromedia,dts|1998,CS6 / 120,dts|2012|05|07,Discontinued,proprietary
Adobe Photoshop,Professional image editor and graphics creation tool,Adobe Systems,dts|1990|02|19,CC 2019 / 2004260,dts|2019|03|06,nonfree|$999/month,proprietary
Adobe Photoshop Elements,Raster graphics editor for entrylevel photographers  image editors and hobbyists,[empty],[empty],140,dts|2015|09|24,nonfree|$99,proprietary
Adobe Photoshop Lightroom,Photo editor,Adobe Systems,dts|2007|02|19,82,dts|2019|02|07,nonfree|$999/month,proprietary
Affinity Photo,Professional image editor for Windows  macOS and iOS,Serif Europe,dts|2015|07|09,167,dts|2018|03|01,nonfree|$4999,proprietary
Autodesk SketchBook Pro,Paint and drawing toolset for use with digitized pen tablets & tablet computers,Autodesk,dts|2004,2016 (41),[empty],[empty],proprietary
Artipic,Image editor for Windows and macOS,Artipic AB,dts|2014,26,October 30  2017,[empty],proprietary
ArtRage,Digital paint program for tablet computers,Ambient Design,dts|2004,451,[empty],[empty],proprietary
Artweaver,Emulates physical painting experience on a computer,Boris Eyrich,dts|2002,30,[empty],[empty],nonfree|Freeware
Bibble*,Photo editor and organizer with camera raw file support,Bibble Labs,dts|2000,52,[empty],[empty],proprietary
Bloom Image Editor,Procedural nodebased image editor,Sad Cat Software,dts|2015,10181,[empty],[empty],proprietary
Brush Strokes Image Editor,Image editor like Windows Paint,Paul Bird,dts|2004,20,[empty],[empty],nonfree|Freeware
Capture One,Professional raw converter and image editor,Phase One,dts|2002,12,[empty],[empty],proprietary
Chasys Draw IES,Image Editor with layers  animation  icon edit  superres  batch and camera raw,John Paul Chacha,dts|2001,45601,November 12  2018,[empty],nonfree|Freeware
CinePaint,Moving picture  photo and graphics editor,Robin Rowe,dts|2002|07|04,2011 (10),[empty],[empty],free|GPL
CodedColor PhotoStudio Pro,An bitmap graphics editor and image organizer for Windows pc,1STEIN Corp,dts|2001,62,[empty],[empty],proprietary
Corel PaintShop Pro,Advanced image editor and graphics creator,Jasc Software,dts|1992,X7,[empty],[empty],proprietary
Corel Painter,Made to create naturallooking artistic images,Mark Zimmer  Tom Hedges  John Derry,dts|1991|08,1510740,dts|2016|01|12,[empty],proprietary
Corel PHOTOPAINT,Professional image editor and graphics creator with advanced features,Corel Corporation,dts|1992,X7/17,[empty],[empty],proprietary
darktable,Photography workflow application and raw developer,Johannes Hanika,dts|2009|04,20,[empty],[empty],free|GPL 3
Deluxe Paint*,Discontinued basic editor,Dan Silva,dts|1985,5,[empty],[empty],proprietary
Deneba Canvas,Graphics editor and creator supporting both raster graphics and vector graphicsIt also work on GIS data,Jorge Miranda  Joaquin de Soto  Manny Menendez,dts|1987|09,14,[empty],[empty],proprietary
DigiKam,Free photo organizer and image editor,Renchi Raju  Gilles Caulier,dts|2002,4100,[empty],[empty],free|GPL
Digital Photo Professional,Photo organizer and image editor from Canon,Canon Inc,[empty],4210,[empty],[empty],proprietary
Erdas Imagine,Advanced remote sensing and GIS ability; handles multispectral images,ERDAS  Inc,dts|1980,2016 (16),dts|2016|06|14,[empty],proprietary
Fatpaint,Full featured webbased graphic design and photo editing application,Mersica Inc,dts|2010,19955,[empty],[empty],nonfree|Freeware
Fotografix,Freeware  portable image editor,L Madhavan,dts|2009|04|14,15,[empty],[empty],nonfree|Freeware
FSpot,Image viewer and organizer for GNOME,Ettore Perazzoli,dts|2005,082,[empty],[empty],free|GPLv2
G'MIC,Free command line software for 2D or 3D image processing and visualization,David Tschumperlé,dts|2008|10,179,[empty],[empty],free|CeCILL
