Software,Developer,First public release,Latest stable date (version),Cost (USD),Open source,License,Linux,Mac OS X,Windows,Framework
7Zip,Igor Pavlov,19990719,20190221,free,yes,GNU LGPLv21 with unRAR restriction / LZMA SDK in the public domain,yes,yes,yes,C
AccuHash,Irnis Haliullin,dunno,20081106 (2018),no|$1995,no,proprietary,no,no,yes,dunno
BeaverSFV,KarlJohan Sj√∂gren,20080914,12,free,no,freeware,no,no,yes,NET
CDCheck,Mitja Perko,2003,20080410 (31140),various,no,proprietary,no,no,yes,VCL
Checksum Compare,Sanktu Aire,2012,20160210 (v142),free,no,freeware,no,no,yes,Qt
Checksums,Acera AS,20150512,20151201 (102),free,no,freeware,no,no,yes,C
cfv,Matthew Mueller,20000622,20090607 (1183),free,yes,GPL,yes,yes,yes,Python
CHK,Ilya Muravyov,2010,20190920 (v321),free,no,freeware,no,no,yes,VCL
cksum,various (POSIX),dunno,various,free,yes,various,yes,yes,dunno,C
CyoHash,Graham Bull,20090901,20191004 (240),free,yes,BSD,no,no,yes,C
Data Digester,Leisenfels,20130314,20150415 (1615),no|22Ç¨ to 69Ç¨,no,proprietary,yes,yes,yes,Java
DeepDigest,Nick Stone,20120324,20140616 (1327),free,yes,GPL,yes,dunno,dunno,Qt
Double Commander,Alexander Koblov and others,2007,20190216 (091),free,yes,GPL,yes,yes,yes,Object Pascal (Free Pascal/Lazarus)
DySFV,Johan Sonesson,2007,20130423 (1400),free,yes,GPL,no,no,yes,NET
ExactFile,Brandon Staggs,2009,20090223 (10015),free,no,freeware,no,no,yes,VCL
eXpress CheckSum Calculator,Irnis Haliullin,2002,20021227 (10),free,no,freeware,no,no,yes,dunno
FastSum,Kirill Zinov,2003,170403 GUI/190149 CLI,various,no,freeware/shareware,no,no,yes,dunno
FCIV,Microsoft,dunno,20040517,free,no,freeware,no,no,yes,dunno
Febooti Hash & CRC,Febooti Software,2006,20150925 (v37),free,no,freeware,no,no,yes,dunno
FileVerifier,Tom Bramer,2006,20100522 (0635830),free,yes,GPL,no,no,yes,dunno
FlashSFV,Charles DeWeese,2007,20070722 (26),free,no,freeware/donationware,no,no,yes,dunno
FSUM,SlavaSoft,dunno,20070303 (252),free,no,freeware,no,no,yes,dunno
Fsum Frontend,Thierry Micholt,2007,20080527 (1551),free,yes,GPL,dunno,dunno,yes,dunno
PowerShell (via GetFileHash),Microsoft,20120904 (30),20180110 (60),Free,Yes|Yes; since v60,MIT License,yes,yes,yes,NET Core  NET Framework
GtkHash[1],Tristan Heaven[2],20070629 (010),20181127 (12 ),free,yes,GPL,yes,dunno,no,GTK
HashCalc,SlavaSoft,dunno,20070303 (202),free,no,freeware,no,no,yes,dunno
HashCheck Shell Extension Gurnec version  SDL version,Kai Liu  various  gurnec (222240)  Software Development Laboratories (3031),20081129,20160907 (240),free,yes,BSD,no,no,yes,C
HashForm,Igor Gresovnik,2010,? (16),free,no,freeware,yes,dunno,yes,NET
