Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1],Interface
CrossFTP,CrossFTP Software,2006,1987,Proprietary,yes,GUI
Classic FTP,NCH Software,2007,252,Proprietary,yes,GUI
Fling FTP (free version contains adware),NCH Software,2007,107,Proprietary,yes,Windows Explorer shell extension
LeechFTP,Jan Debis,1998,13 (Discontinued),Proprietary,no,GUI
pbFtpClient,Level5Software,2007,61,Proprietary,dunno,Windows GUI
FTP Voyager,Rhino Software  Inc,1997 (January),16100 (Start date and age|2013|08|20),Proprietary,yes,GUI
