Company,Software,Ondemand scan,Onaccess scan,Firewall,AntiSpam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,License,Price,First release,Country of origin,Notes
Intego,VirusBarrier iOS,Yes,No,Yes ,No,No,No,No,No,No,Yes,Proprietary,Nonfree,1997,United States,Discontinued
Symantec,Norton Mobile Security,No,No,No,No,No,Yes,No,Yes,No,Yes,Proprietary,Nonfree,2011,United States,[empty]
Bitdefender,Bitdefender Mobile Security,No,No,No,No,No,Yes,No,No,No,No,Proprietary,Free  InApp Purchases for VPN,2018,Romania,[empty]
Seqrite,mSuite MDM,Yes,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary,Nonfree,1994,India,[empty]
Company,Software,Ondemand scan,Onaccess scan,Firewall,AntiSpam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,License,Price,First release,Country of origin,Notes
