Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1]
AbsoluteTelnet,Celestial Software,1996,949 Start date and age|2012|07|02,Proprietary,yes
Beyond Compare,Scooter Software,1996,433 Start date and age|2019|12|2,Proprietary,yes
Commander One,Eltima Software,2015,11 Start date and age|2015|09|29,Proprietary,yes
CrossFTP Pro,CrossFTP Software,2006,1987 Start date and age|2017|12|19,Proprietary,yes
CuteFTP,Alex Kunadze/Globalscape,1994,930 (Windows) Start date and age|2018|07|11 / 313 (Mac) Start date and age|2014|5|2,Proprietary,yes
Directory Opus,GPSoftware,1990,1110 Start date and age|2014|12|19,Proprietary,yes
FlashFXP,OpenSight Software  LLC,1999,5403970 Start date and age|2017|04|01,Proprietary,yes
FTP Client,Vicomsoft,1997,501,Proprietary,Yes
SmartFTP,SmartSoft Ltd,1998,6021550 Start date and age|2015|07|23,Proprietary,yes
Total Commander,Christian Ghisler,1993,921a Start date and age|2018|08|21,Proprietary,Yes
WebDrive,South River Technologies  Inc,1998,2017 Start date and age|2017|06|16,Proprietary,Yes
WS_FTP,Ipswitch  Inc,1996,127 Start date and age|2018|11|27,Proprietary,Yes
Yummy FTP,Yummy Software,2004,190 Start date and age|2018|05|10,Proprietary  Setapp,dunno
