Red,Green,Result
255,0,red (255  0  0)
255,128,orange (255  128  0)
255,255,yellow (255  255  0)
0,.25,.5,.75,1.0
(255  128  0),(192  96  0),(128  64  0),(64  32  0),(0  0  0)
