[empty],Flat,Threaded,User selectable themes,Unread message tracking,WYSIWYG Editor,Export  portability,Email / NNTP interface,Languages,SSO
bbPress,yes[26],[empty],[empty],[empty],[empty],no[27],partial|Plugin[28][29],yes[30],[empty]
Beehive Forum,yes[26],yes[26],partial[26],yes|Full[26],yes[26] (using TinyMCE),partial[31],[empty],[empty],[empty]
Discourse,yes,no[32],yes[33],yes|Full,partial|Realtime sidebyside preview,yes|Full[34],partial[35],yes[36][37],yes|OAuth2[38]  Custom[39]
Discuz!,[empty],[empty],yes[40],[empty],[empty],[empty],[empty],[empty],[added]
FluxBB,yes[26],no[26],partial[26],partial|Session[26],no[26],[empty],[empty],yes[41],[empty]
FUDforum,yes[26],yes[26],yes[26],yes|Full[26],yes[26],partial[42],yes[43],yes[44],[added]
Invision Power Board,yes[26],[empty],yes[26],yes|Full[26],yes[26],[empty],no[45],[empty],no[46]
MyBB[47],yes[26],yes[26],yes[26],yes|Full[26],yes[26],no[48],no[49][50],yes[51],[empty]
Phorum,yes[26],yes[26],yes[26],yes|Full[26],yes[26],partial|Plugin[52],[empty],no[53],[empty]
phpBB[54],yes[26],no[26],yes[26],yes|Full[26],no[26],no[55],no[56][57],yes[58],yes (LDAP  OAuth)[59]
PunBB[60],yes[26],[empty],yes[26],partial|Session[26],[empty],[empty],[empty],no[61][62],[empty]
Simple Machines Forum,yes[26],no[26],yes[26],yes|Full[26],yes[26],partial [63],no[64],yes[65],[empty]
Thredded,yes[19],no[19],yes[19],yes|Full[19],no[19],no[19],partial|Readonly[19],yes[19],yes|Custom[19]
Vanilla Forums,yes[26],[empty],yes[26],yes[26],partial|Plugin[26],partial|Plugin [66][67],[empty],yes[68],yes[69]
vBulletin[70],yes[26],yes[26],yes[26],yes|Full[26],yes[26],partial|Plugin[71][72],[empty],no[73],[empty]
XenForo,yes[26],[empty],yes[26],yes|Full[26],yes[26],yes[74],[empty],yes[75],yes[76]
