Model,Image processor,Sensor format,Megapixels,Min ISO,Max ISO,Autofocus points,Viewfinder magnification  coverage,Display size  dots (ratio),Touchscreen,Live view,Max FPS,Storage,Release date,Weight (kg),Dimensions  W×H×D (mm),Video,Main battery,Comms
500D<br>Rebel T1i,4 DIGIC 4,APS-C CMOS,15.1,100,12.800,9,0.87×  95%,3.0"  0920k,No,Yes,3.4,SDHC,2009Q1,0.48,129 × 98 × 62,1080p20  720p30,LP-E5,[added]
550D<br>Rebel T2i,4 DIGIC 4,APS-C CMOS,18,100,12.800,9,0.87×  95%,3.0"  1040k 3:2,No,Yes,3.7,SDXC,2010Q1,0.53,129 × 98 × 62,1080p25  720p50,LP-E8,[added]
600D<br>Rebel T3i,4 DIGIC 4,APS-C CMOS,18,100,12.800,9,0.85×  95%,3.0"  1040k 3:2,Articulated,Yes,3.7,SDXC,2011Q1,0.57,133 × 100 × 80,1080p30  720p60,LP-E8,[added]
650D<br>Rebel T4i,5 DIGIC 5,APS-C CMOS,18,100,25.600,9,0.85×  95%,3.0"  1040k 3:2,Articulated,Yes,5.0,SDXC (UHS-I),2012Q2,0.58,134 × 100 × 79,1080p30  720p60,LP-E8,[added]
700D<br>Rebel T5i,5 DIGIC 5,APS-C CMOS,18,100,25.600,9,0.85×  95%,3.0"  1040k 3:2,Articulated,Yes,5.0,SDXC (UHS-I),2013Q1,0.58,134 × 100 × 79,1080p30  720p60,LP-E8,[added]
750D<br>Rebel T6i,6 DIGIC 6,APS-C CMOS,24.2,100,25.600,19,0.82×  95%,3.0"  1040k 3:2,Articulated,Yes,5.0,SDXC (UHS-I),2015Q2,0.555,132 × 101 × 78,1080p30  720p60,LP-E17,[added]
760D<br>Rebel T6s,6 DIGIC 6,APS-C CMOS,24.2,100,25.600,19,0.82×  95%,3.0"  1040k 3:2,Articulated,Yes,5.0,SDXC (UHS-I),2015Q2,0.565,132 × 101 × 78,1080p30  720p60,LP-E17,[added]
800D<br>Rebel T7i,6 DIGIC 7,APS-C CMOS,24.2,100,25.600,45,0.82×  95%,3.0"  1040k 3:2,Articulated,Yes,6.0,SDXC (UHS-I),2017Q2,0.532,131 × 100 × 76,1080p60  720p60,LP-E17,[added]
1000D<br>Rebel XS,3 DIGIC III,APS-C CMOS,10.1,100,1600,7,0.81×  95%,2.5"  0230k,No,Yes,3,SDHC,2008Q3,0.45,126 × 98 × 62,via open source software to computer,LP-E5,[added]
1100D<br>Rebel T3,4 DIGIC 4,APS-C CMOS,12.1,100,6400,9,0.80×  95%,2.7"  0230k,No,Yes,3,SDXC,2011Q1,0.495,130 × 100 × 78,720p30,LP-E10,[added]
1200D<br>Rebel T5,4 DIGIC 4,APS-C CMOS,18,100,12.800,9,0.80×  95%,3.0"  0460k,No,Yes,3,SDXC,2014Q1,0.48,130 × 100 × 88,1080p30  720p60,LP-E10,[added]
1300D<br>Rebel T6,4 DIGIC 4+,APS-C CMOS,18,100,12.800,9,0.80×  95%,3.0"  0 920k,No,Yes,3,SDXC,2016Q2,0.48,130 × 101 × 88,1080p30  720p60,LP-E10,[added]
2000D<br>Rebel T7,4 DIGIC 4+,APS-C CMOS,24.1,100,12.800,9,0.80×  95%,3.0"  0 920k,No,Yes,3,SDXC,2018Q2,0.475,129 × 101.3 × 77.6,1080p30  720p60,LP-E10,[added]
4000D<br>Rebel T100,4 DIGIC 4+,APS-C CMOS,18,100,12.800,9,0.80×  95%,2.7"  0 230k,No,Yes,3,SDXC,2018Q2,0.436,129 × 101.6 × 77.1,1080p30  720p60,LP-E10,[added]
100D<br>Rebel SL1,5 DIGIC 5,APS-C CMOS,18,100,25.600,9,0.87×  95%,3.0"  1040k 3:2,Fixed,Yes,4.0,SDXC (UHS-I),2013Q1,0.41,117 × 91 × 69,1080p30  720p60,LP-E12,[added]
200D<br>Rebel SL2,7 DIGIC 7,APS-C CMOS,24.2,100,51.200,9,0.82×  95%,3.0"  1040k 3:2,Yes Articulated,Yes,5.0,SDXC (UHS-I),2017Q3,0.453,122.4 × 92.6 × 69.8,1080p60  720p60,LP-E17,[added]
250D<br>Rebel SL3,5 DIGIC 8,APS-C CMOS,24.1,100,51.200,9 Liveview 143,0.87×  95%,3.0"  1040k 3:2,Yes Articulated,Yes,5.0,SDXC (UHS-I),2019Q2,0.451,122.4 × 92.6 × 69.8,4K25  1080p60  720p120,LP-E17,[added]
R,5 DIGIC 8,Full-frame CMOS,30.3,50,102.400,[empty],electronic  3.69M pixels,3.15"  2100k 3:2,Articulated,Yes,8,SDXC (UHS-II),2018Q3,0.66,135.8 × 98.3 × 84.4,4K24  1080p60  720p120,LP-E6N,[added]
Ra,5 DIGIC 8,Full-frame CMOS,30.3,50,102.400,[empty],electronic  3.69M pixels,3.15"  2100k 3:2,Articulated,Yes,8,SDXC (UHS-II),2019Q4,0.66,135.8 × 98.3 × 84.4,4K30  1080p60  720p120,LP-E6N,[added]
RP,5 DIGIC 8,Full-frame CMOS,26.2,50,102.400,[empty],electronic  2.360k pixels,3.0"  1040k 3:2,Articulated,Yes,5,SDXC (UHS-II),2019Q1,0.485,132.5 × 85.0 × 70.0,4K24<ref>Requires update to Firmware v1.40</ref>  1080p60,LP-E17,USB 2 WiFi HDMI Bluetooth
M,5 DIGIC 5,APS-C CMOS,18,100,25.600,31 (Max),-,3.0"  1040k 3:2,Fixed,Yes (only),4.3,SDXC (UHS-I),2012Q3,0.262,108.6 × 66.5 × 32.3,1080p30  720p60,LP-E12,[added]
