Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
Ray class,yes|Europe,okay|Europe,okay|Pacific 1940,okay|Europe,okay|Europe 1940,[empty],[empty],[empty],[added]
S class,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Srednyaya class,[empty],[empty],[empty],yes|Europe 1940 Second Edition,yes|Europe 1940 Second Edition,[empty],[empty],[empty],[added]
HMS|Truculent|P315|2,[empty],yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
U class,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
Type VII,[empty],[empty],[empty],[empty],[empty],yes|Europe,okay|Anniversary,[empty],[added]
Cruiser,sclass|Admiral Hipper|cruiser|4,[empty],[empty],[empty],[empty],[empty],yes|Anniversary,okay|Anniversary,[empty]
Kent class,[empty],yes|Anniversary,yes|Pacific 1940,okay|Anniversary,[empty],[empty],[empty],[empty],[added]
sclass|Kirov|cruiser|4,[empty],[empty],[empty],yes|1942,yes|Europe 1940,[empty],[empty],[empty],[added]
sclass|Portland|cruiser|4,yes|Guadalcanal,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
sclass|Takao|cruiser|4,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Guadalcanal,[added]
sclass|Zara|cruiser (Italy)|4,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty],[added]
Carrier,ship|Japanese aircraft carrier|Akagi||2,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941
ship|Italian aircraft carrier|Aquila||2,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty],[added]
ship|German aircraft carrier|Graf Zeppelin||2,[empty],[empty],[empty],[empty],[empty],yes|Europe,okay|Anniversary,[empty],[added]
sclass|Illustrious|aircraft carrier|4,[empty],yes|Europe,okay|Pacific 1940,yes|Europe,yes|Europe 1940,[empty],[empty],[empty],[added]
sclass|Kostromitinova|aircraft carrier|4,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
Majestic class,[empty],[empty],yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
ship|Japanese aircraft carrier|Shinano||2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific,[added]
USS|Wasp|CV7|2,yes|Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Battleship,sclass|Bismarck|battleship|4,[empty],[empty],[empty],[empty],[empty],yes|Europe,okay|Anniversary,[empty]
sclass|Gangut|battleship|4,[empty],[empty],[empty],yes|1942,yes|Europe 1940,[empty],[empty],[empty],[added]
HMS|Hood|51|2,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
sclass|Iowa|battleship|4,yes|Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Kongo class,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941,[added]
sclass|Littorio|battleship|4,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty],[added]
Royal Oak class,[empty],yes|Europe,okay|Pacific 1940,okay|Europe,[empty],[empty],[empty],[empty],[added]
HMS|Warspite|03|2,[empty],[empty],yes|1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
sclass|Yamato|battleship|4,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific,[added]
Fighter,C202,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty]
CA12,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Fw 190,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941,[added]
Bf 109,[empty],[empty],[empty],[empty],[empty],yes|Anniversary,okay|Anniversary,[empty],[added]
