[empty],Creator,Latest stable version,Release date,Software license,Open source,Programming language,Plugin support,Runs on macOS Catalina
Alfred,Running with Crayons,401,May 30  2019,Proprietary,no,ObjectiveC,yes,yes
Butler,Peter Maurer,432,April 9  2019,Proprietary,no,ObjectiveC,yes,yes
DragThing,James Thomson,5911,November 16  2016,Proprietary,no,C,yes,no
LaunchBar,Objective Development,610,April 24  2019,Proprietary,no,ObjectiveC,yes,yes
Quicksilver,Blacktree Software,134,March 12  2018,Apache License,yes,ObjectiveC,yes,yes
