Format:,Sony media
Published as:,.lrf; .lrx
Format:,compressed images
Published as:,.cbr (RAR); .cbz (ZIP); .cb7 (7z); .cbt (TAR); .cba (ACE)
Format:,Microsoft Compiled HTML Help
Published as:,.chm
Format:,DAISY
Published as:,[empty]
Format:,DjVu
Published as:,.djvu
Format:,Microsoft Word
Published as:,.DOC
Format:,Microsoft Word (XML)
Published as:,.DOCX
Format:,Palm Media
Published as:,.pdb
Format:,FictionBook
Published as:,.fb2
Format:,Apabi Reader
Published as:,.xeb; .ceb
Format:,Hypertext
Published as:,.htm; .html and typically auxiliary images  js and css
Format:,iBook
Published as:,.ibooks
Format:,IEC 62448
Published as:,[empty]
