Name,Kernel,Kernel type,Architecture,Integrated firewall,SMP support,USB support,UDMA support,LFN support,Update management,APIs,DDIs,Safe Mode,DirectX
Windows 95,MSDOS 70 (Win95  Win95A)  MSDOS 71 (Win95B  Win95C),Monolithic kernel,x86  hybrid 16/32bit,No,No,Partial (OSR 21/25 only) [1],No,Yes,Yes|Windows Update,Win16  Win32,DOS DLL VxD  WDM(USBonly)  directaccess,Yes,n/a(RTM/OSR1) 20a(OSR2/21) 50(OSR25) 80a(optional)
Windows 98,MSDOS 71,Monolithic kernel,x86  hybrid 16/32bit,No,No,Yes,Yes,Yes,Yes|Windows Update,Win16  Win32,DOS DLL VxD  WDM(partial)  directaccess,Yes,52 90c(oct2006)(optional)
Windows 98 Second Edition,MSDOS 71,Monolithic kernel,x86  hybrid 16/32bit,No,No,Yes,Yes,Yes,Yes|Windows Update,Win16  Win32,DOS DLL VxD  WDM(partial)  directaccess,Yes,61a 90c(oct2006)(optional)
Windows Me,MSDOS 80,Monolithic kernel,x86  hybrid 16/32bit,No,No,Yes,Yes,Yes,Yes|Windows Update,Win16  Win32,DLL VxD  WDM(partial)  directaccess,Yes,71 90c(oct2006)(optional)
