Shell,Usual environment,Usually invoked,Introduced,Platformindependent,Default login shell in,Default script shell in,License,Source code availability,User interface,Mouse support,Unicode support,ISO 8601 support,Console redirection,Stream redirection,Configurability,Startup/shutdown scripts,Batch scripts,Logging,available as statically linked  independent single file executable
Windows CMDEXE[24],Win32,CMD,1993,no,Windows NT  2000  XP  Server 2003  Vista,Windows NT  2000  XP  Server 2003  Vista,proprietary|MSEULA[25],no,Textbased CLI,no,partial (CHCP 65001 for UTF8  but program arguments are still encoded in local codepage),no,no,yes,yes (via registry  startup parameters  and environment variables),yes (automatic via registry  or explicitly via /K startup option),yes (via CALL command or /C and /K startup options),no,yes
4DOS  NDOS,DOS  Windows 95  98  SE  ME,4DOS  NDOS,1989 (1986),no|No (not bound to a specific OS vendor or version),optional,optional,free|MIT License  with restrictions,yes,Textbased CLI with TUI extensions,yes (popups  help system  %_MOUSE internal variable  INKEY /M command),no,yes,yes (via CTTY con  except for DRAWBOX  DRAWLINE  DRAWVLINE  LIST  SCREEN  SCRPUT  SELECT  VSCRPUT commands and file / directory coloring),yes|Yes (stdin  stdout  stderr  stdoutstderr),yes (via 4DOSINI/NDOSINI file  startup parameters  environment variables  SETDOS command),yes (automatic \AUTOEXECBAT for primary shell and 4STARTBTM/4STARTBAT as well as 4EXITBTM/4EXITBAT for any shell  or explicitly via /P  /Pdir\filenameext or /K startup options),yes (via CALL command or /C and /K startup options),yes,yes
4OS2,OS/2,4OS2,1992,no|No (not bound to specific OS/2 versions),optional,optional,proprietary|Freeware,yes,Textbased CLI,no,no,no,no,yes|Yes (stdin  stdout  stderr  stdoutstderr),yes (via 4OS2INI file  startup parameters  environment variables  SETDOS command),yes (automatic via 4STARTCMD/4STARTBTM as well as 4EXITCMD/4EXITBTM files  or explicitly via /K startupcmd option),yes (via CALL command or /C and /K startup options),yes,dunno
TCC (formerly 4NT),Win32,TCC,1993,no|No (not bound to specific NT versions),optional,optional,proprietary|Shareware,no,Textbased CLI (Take Command GUI),yes (console mouse  popups  help system  %_XMOUSE  %_YMOUSE internal variables  INKEY /M command),yes,yes,no,yes|Yes (stdin  stdout  stderr  stdoutstderr),yes (via registry  TCMDINI/4NTINI file  startup parameters  environment variables  SETDOS command),yes (automatic via registry and TCSTART/4START as well as TCEXIT/4EXIT  or explicitly via /K startup option),yes (via CALL command or /C and /K startup options),yes,no
VMS DCL[26],OpenVMS,Automatically for login/interactive process,1977?,yes,VMS,VMS,Proprietary  bundled in VMS,no|by special license only,Textbased CLI,yes|with DECwindows/Motif,yes,yes|Yes  at least to 1988 standard,yes,yes|Yes (sys$input  sys$output assignment),yes|Yes (via symbols  logical names  and options),yes|Yes (SYS$MANAGERSYLOGINCOM and user defined LOGINCOM),yes,yes,no
PowerShell,NET,PowerShell,2006,yes,Windows Server 2008  7  Vista  XP[27],Windows Server 2008  7,free|MITstyle,yes,Graphical CLI,yes,yes,yes,no,yes,yes|Yes (via variables and options),yes|Yes (%USERPROFILE%\Documents \WindowsPowerShell\MicrosoftPowerShell_profileps1),yes|Yes (PowerShell feature),yes,no
rc,Plan 9  POSIX,rc,1989,yes,Plan 9  Version 10 Unix,Plan 9  Version 10 Unix,free|Lucent Public License,dunno,dunno,dunno,yes,dunno,dunno,yes,dunno,dunno,dunno,dunno,yes
BeanShell,Java,dunno,2005,yes,dunno,dunno,free|LGPL,dunno,dunno,dunno,yes,dunno,dunno,yes,dunno,dunno,dunno,dunno,no
fish,POSIX,fish,2005[28],yes,GhostBSD,dunno,free|GPL,yes,Textbased CLI,dunno,yes,dunno,dunno,yes|Yes (arbitrary fds),yes|Yes (through environment variables and via web interface through fish_config),yes|Yes (/etc/fish/configfish and ~/config/fish/configfish),yes|Yes (Unix feature),yes|Yes (~/config/fish/fish_history*),dunno
Ion,Redox  Linux,ion,2015[29],yes,Redox,Redox,free|MIT,yes,Textbased CLI,dunno,yes,yes,dunno,yes|Yes (arbitrary fds),yes|Yes (follows the XDG Base Directory spec),yes|Yes (~/config/ion/initrc),yes|Yes,yes|Yes (~/local/share/ion/history),partial (not distributed as a standalone executable  but it can be built as one)
Shell,Usual environment,Usually invoked,Introduced,Platformindependent,Default login shell in,Default script shell in,License,Source code availability,User interface,Mouse support,Unicode support,ISO 8601 support,Console redirection,Stream redirection,Configurability,Startup/shutdown scripts,Batch scripts,Logging,available as statically linked  independent single file executable
