| Client,Written in,License,Access API,High availability,Shards,Initial release year,Memory requirements (GB)
Alluxio (Virtual Distributed File System),Java,free|Apache License 20,HDFS  FUSE  HTTP/REST  S3,no|hot standby,no,2013,[empty]
Ceph,C,free|LGPL,librados (C  C  Python  Ruby)  S3  Swift  FUSE,yes,yes,2010,1 per TB of storage
GlusterFS,C,free|GPLv3,libglusterfs  FUSE  NFS  SMB  Swift  libgfapi,no|mirror,no,2005,[empty]
MooseFS,C,free|GPLv2,POSIX  FUSE,no|master,no,2008,[empty]
Quantcast File System,C,free|Apache License 20,C client  FUSE (C server MetaServer and ChunkServer are both in C),no|master,no,2012,[empty]
LizardFS,C,free|GPLv3,POSIX  FUSE  NFSGanesha  Ceph FSAL (via libcephfs),no|master,no,2013,[empty]
Lustre,C,free|GPLv2,POSIX  NFSGanesha  NFS  SMB,yes,yes,2003,[empty]
OpenAFS,C,free|IBM Public License,Virtual file system  Installable File System,[empty],[empty],2000 [1],[empty]
OpenIO[2],C,free|AGPLv3 / LGPLv3,Native (Python  C  Java)  HTTP/REST  S3  Swift  FUSE (POSIX  NFS  SMB  FTP),yes,[empty],2015,05
SeaweedFS,Go  Java,free|Apache License 20,HTTP (REST)  POSIX  FUSE  S3  HDFS,yes|transparent master failover,[empty],2015,[empty]
TahoeLAFS,Python,free|GNU GPL [3],HTTP (browser or CLI)  SFTP  FTP  FUSE via SSHFS  pyfilesystem,[empty],[empty],2007,[empty]
HDFS,Java,free|Apache License 20,Java and C client  HTTP,yes|transparent master failover,no,2005,[empty]
XtreemFS,Java  C,free|BSD License,libxtreemfs (Java  C)  FUSE,[empty],[empty],2009,[empty]
Ori[4],C  C,free|MIT,libori  FUSE,[empty],[empty],2012,[empty]
