Camera model,Camera line,Manufacturer,Introduced,Weight,MOS/Sync,Lens mount
7LTR (Super 16),Aaton LTR,Aaton,1974,[empty],Sync,Aaton universal
54LTR,Aaton LTR,Aaton,1982,[empty],Sync,Aaton universal
Arriflex 16HSR2 (Super 16),Arriflex 16SR,Arri,1982,convert|1102|lb|abbr=on  with empty magazine,Sync,Arri bayonet (Arri PL for some later models)
Arriflex 16SR2 (Super 16),Arriflex 16SR,Arri,1982,convert|1102|lb|abbr=on  with empty magazine,Sync,Arri bayonet (Arri PL for some later models)
Panaflex 16 ("The Elaine"),Panaflex 16,Panavision,June 27  1984[1],convert|166|lb|abbr=on  with eyepiece,Sync,PV mount
XTR,Aaton XTR,Aaton,1984,[empty],Sync,Aaton universal
Arriflex 16HSR3,Arriflex 16SR,Arri,1992,convert|145|lb|abbr=on,Sync,Arri PL
Arriflex 16SR3,Arriflex 16SR,Arri,1992,convert|145|lb|abbr=on,Sync,Arri PL
X0plus,Aaton XTR,Aaton,1992,[empty],Sync,Aaton universal
XTRplus,Aaton XTR,Aaton,1992,[empty],Sync,Aaton universal
XTRprod,Aaton XTR,Aaton,1994,convert|13|lb|abbr=on  with onboard battery and full magazine,Sync,Arri PL  Aaton universal  or PV mount
AMinima,AMinima,Aaton,2000,convert|5|lb|abbr=on  with onboard battery and full magazine,Sync,Arri PL and Nikon
Arriflex 416,Arriflex 416,Arri,2006,convert|121|lb|abbr=on  with full magazine,Sync,Arri PL
Arriflex 416 Plus,Arriflex 416,Arri,2006,convert|126|lb|abbr=on  with full magazine,Sync,Arri PL
Xtera,Aaton XTR,Aaton,2006,[empty],Sync,Arri PL  Aaton universal  or PV mount
