Country,Name,Initialisms/Acronym,Founded,Terminated,Capabilities of the space agency,Remarks
Astronauts,Operates Satellites,Sounding Rockets capable,Recoverable Biological Sounding Rockets capable,[added],[added],[added]
BAN,Space Research and Remote Sensing Organization,SPARRSO,1980,€”,No,No
PRC,China National Space Administration (Chinese å›½å®¶ˆªå¤©å±€),CNSA,22 April 1993,€”,Yes,Yes
IND,Indian Space Research Organisation (langhi|¤¤¾¤°¤¤€¤¯ ¤…¤‚¤¤¤°¤¿¤•?¤· ¤…¤¨?¤¸¤‚¤§¤¾¤¨ ¤¸¤‚¤—¤ ¤¨),ISRO ¤‡¤¸¤°‹,15 August 1969,€”,Yes,Yes
IDN,langid|Lembaga Antariksa dan Penerbangan Nasional (National Institute of Aeronautics and Space),LAPAN,27 November 1964,€”,Yes,Yes
IRN,Iranian Space Agency (langfa|Ø³Ø§Ø²…Ø§† ?Ø¶Ø§ŒŒ Ø§ŒØ±Ø§†),ISA,2003,€”,No,Yes
ISR,Israeli Space Agency (langhe|×¡×•×›× ×•×ª ×”×—×œ×œ ×”×™×©×¨×?×œ×™×ª),ISA ×¡×œ"×”,April 1983,€”,Yes,Yes
JPN,Japan Aerospace Exploration Agency (langja|å®‡å®™ˆª©º ”©¶–‹™ºæ©Ÿæ§‹),JAXA,1 October 2003,€”,Yes,Yes
MYS,Malaysian National Space Agency (langms|Agensi Angkasa Negara),ANGKASA,2002,€”,Yes,Yes
PRK,Korean Committee of Space Technology (langko|¡°„ š°£¼³°„¸°ˆ œ„›?šŒ),KCST,1980s,2013,No,Yes
PAK,Pakistan Space and Upper Atmosphere Research Commission (langur|¾Ø§©Ø³ØªØ§† Ø®„Ø§Ø¦Œ ˆ Ø¨Ø§„Ø§ ?Ø¶Ø§Ø¦Œ ØªØ‚Œ€?‚Ø§ØªŒ ©…ŒØ´†),SUPARCO Ø³¾Ø§Ø±©ˆ,16 September 1961,€”,No,Yes
PHL,Philippine Space Agency,PhilSA,8 August 2019,€”,No,Yes
KOR,Korea Aerospace Research Institute (langko|•œ•³š°£¼—°¬›?),KARI,10 October 1989,€”,Yes,Yes
ROC,National Space Organization (zh|c=åœ‹å®¶å¤ª©º¸å¿ƒ),NSPO,3 October 1991,€”,No,Yes
THA,GeoInformatics and Space Technology Development Agency (langth|¸ª¸³¸™¸±¸?¸‡¸²¸™¸ž¸±¸’¸™¸²¹€¸—¸„¹‚¸™¹‚¸¸¢¸¸¸§¸?¸²¸¨¹?¸¸°¸ ¸¹¸¡¸´¸ª¸²¸£¸ª¸™¹€¸—¸¨),GISTDA ¸ª¸—¸¸,3 November 2002,€”,No,Yes
