[empty],Protocol,Author  creator,First public release date,Latest stable version,Cost (USD),Software license,Programming language
BeeBEEP<ref></ref><ref></ref>,BeeBEEP Protocol,Marco Mastroddi,2010,5.8.2 (),[empty],[empty],C++ and Qt
BORGChat,[empty],Ionut Cioflan,2002,[empty],<ref></ref>,[empty],[empty]
Briar,Bramble Protocol,Briarproject.org,2018,1.1.5 (),[empty],[empty],Java
iChat,Bonjour IM Protocol,Apple Inc.,2003,5.0.3 (745)  (),, bundled with OS,[empty],Likely Objective-C
iptux<ref></ref>,Windows Messenger service,Jally  ManPT  others,2008,0.51 (),<ref></ref>,[empty],[empty]
Miranda IM,Windows Messenger service,Roland Rabien,2000,0.10.56 (),[empty],[empty],C/C++
MyChat,MyChat protocol,Alexey Pikurov,2004,7.7.0 (August 21  2019),Paid/Free,Proprietary software,Python
Pidgin<ref></ref>,Bonjour IM Protocol,Mark Spencer  others,1998,2.11.0 (),[empty],[empty],C
qTox,Tox Protocol,Tux3,?,1.16.1 (),[empty],[empty],C++ and Qt
