Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s)efn|name=VSL|At sea level if denoted SL  in vacuum otherwise,Thrust (N)efn|name=VSL,Mass (kg),Thrustzwspweight ratioefn|Weight is calculated at standard gravity,Chamber pressure (bar),Oxidiserzwspfuel ratio
Aeon 1,Flag|USA,Relativity Space,Terran 1,1st,CH4?/?LOX,nts|310,nts|86740 (SL)[1],[empty],[empty],[empty],[empty]
Aeon 1 Vacuum,Flag|USA,Relativity Space,Terran 1,2nd,CH4?/?LOX,nts|360,nts|100085 (SL)[2],[empty],[empty],[empty],[empty]
AJ60A,Flag|USA,Aerojet,Atlas V,Booster,Solid,nts|275,nts|1270000[3],[empty],[empty],[empty],[empty]
AR1,Flag|USA,Aerojet Rocketdyne,Beta (potential)[4],1st,RP1?/?LOX,[empty],nts|2200000 (SL)[5],[empty],[empty],[empty],272
BE3,Flag|USA,Blue Origin,New Shepard,1st,LH2?/?LOX,[empty],nts|490000[6],[empty],[empty],[empty],[empty]
BE3U,Flag|USA,Blue Origin,New Glenn,2nd,LH2?/?LOX,[empty],nts|710000[7],[empty],[empty],[empty],[empty]
BE4,Flag|USA,Blue Origin,New Glenn Vulcan,1st,CH4?/?LOX,[empty],nts|2400000[8][9],[empty],[empty],nts|134[10],[empty]
Boeing 601HPefn|First ever ion engine used as a main engine on an operational commercial satellite (PAS5),Flag|USA,Boeing,Boeing 601HP satellites,Vacuum,Xenon,nts|2568 @05 kW,nts|0018 @05 kW,[empty],[empty],[empty],[empty]
CE20,IND,LPSC,GSLV Mk III,Upper,LH2?/?LOX,nts|443,nts|200000,nts|588,nts|347,nts|6000,505
CE75,IND,LPSC,GSLV Mk II,Upper,LH2?/?LOX,nts|454[11],nts|73500 to nts|93100,nts|445,nts|1685,nts|58,[empty]
Engine2,Flag|USA,Launcher Space,Rocket1,1st,RP1 / LOX,327[12] 290 (SL),100000[12],[empty],[empty],[empty],262
Engine2 Vacuum,Flag|USA,Launcher Space,Rocket1,2nd,RP1 / LOX,365[12],100000[12],[empty],[empty],[empty],262
GEM 63,Flag|USA,Northrop Grumman,Atlas V,Booster,Solid,[empty],nts|373800[13],nts|49300,[empty],[empty],[empty]
GEM 63XL,Flag|USA,Northrop Grumman,Atlas V,Booster,Solid,[empty],nts|450000[14],nts|53400,[empty],[empty],[empty]
Hadley,Flag|USA,Ursa Major Technologies,GOLauncher 1[15],1st,RP1?/?LOX,[empty],nts|22241 (SL)[16],[empty],[empty],[empty],[empty]
HM7B,EUR,Snecma,Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA,Upper,LH2?/?LOX,nts|446[17] nts|310 (SL)[18],nts|64800[17] nts|43600 (SL)[18],nts|165[17],nts|4325,nts|37[17],5
LE5B,JPN,Mitsubishi JAXA,HIIA HIIB,Upper,LH2?/?LOX,nts|447[19],nts|137000,nts|269,nts|5193,nts|360,5
LE7A,JPN,Mitsubishi JAXA,HIIA HIIB,1st,LH2?/?LOX,nts|438[20] nts|338 (SL)[20],nts|1098000 nts|870000 (SL),nts|1800,nts|622,nts|121,59
Lightning 1[21],Flag|USA,Firefly Aerospace,Alpha,2nd,RP1?/?LOX,nts|322,nts|70100,[empty],[empty],[empty],[empty]
Merlin 1D FT,Flag|USA,SpaceX,Falcon 9 FT Falcon Heavy,1st,RP1?/?LOX,nts|311,nts|914000[22] nts|845000 (SL)[22],nts|470,nts|1945[22],[empty],[empty]
