Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx),Main dialect,Pronunciation guide
American Heritage College Dictionary,Houghton Mifflin Harcourt,2002,4th[2] (ISBN|0547247664),2010,formatnum1664,[empty],American,Diacritical
MerriamWebster's Collegiate Dictionary,MerriamWebster,1898,11th (ISBN|0877798095),2003,formatnum1664,formatnum165000,American,Diacritical
Webster's New World College Dictionary,Houghton Mifflin Harcourt,1953,5th,2014,formatnum1736,formatnum163000,American,Diacritical
