Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx.) ! Main dialect,Pronunciation guide
American Heritage Dictionary (AHD),Houghton Mifflin Harcourt,1969,5th (),2011,[empty],[empty],American
The Chambers Dictionary,Chambers Harrap,1872,13th (),2014,[empty],<ref></ref>,British
Collins English Dictionary,HarperCollins,1979,12th (),2014,[empty],[empty],British
Concise Oxford English Dictionary (COED),Oxford University Press,1911,12th (),2011,[empty],[empty],British
The Merriam-Webster Dictionary (MWD),Merriam-Webster,1828,18th (),2016,{{formatnum:720 (trade)  960 (mass-market)}},[empty],American
New Oxford American Dictionary (NOAD),Oxford University Press,2001,3rd (),2010,[empty],[empty],American
Oxford Dictionary of English,Oxford University Press,1998,3rd (),2010,[empty],[empty],British
Oxford English Dictionary (OED),Oxford University Press,1895,2nd (20 vols.  ),1989,[empty],[empty],British
Random House Webster's,Random House,1966,2nd (rev.  ),2002,[empty],[empty],American
Shorter Oxford English Dictionary (SOED),Oxford University Press,1933,6th (2 vol.  ),2007,[empty],[empty],British
Webster's Third New International Dictionary (W3),Merriam-Webster,1961,3rd (),2002,[empty],[empty],American
Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx.) ! Main dialect,Pronunciation guide
American Heritage College Dictionary,Houghton Mifflin Harcourt,2002,4th<ref>The 2010 "4th edition" of The American Heritage College Dictionary () is the second revision of the original "4th edition" published in 2002; it was originally derived from the 4th edition of The American Heritage Dictionary of the English Language  which was published in 2000.https://www.amazon.com/dp/0547247664</ref> (),2010,[empty],[empty],American
Merriam-Webster's Collegiate Dictionary,Merriam-Webster,1898,11th (),2003,[empty],[empty],American
Webster's New World College Dictionary,Houghton Mifflin Harcourt,1953,5th,2014,[empty],[empty],American
