Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
PacketTrap,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes|Viewing  Reporting,Yes,Yes,Unknown,SQL,nonfree|Commercial,Yes,Yes,Yes,[added],[added]
Pandora FMS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,Perl  PHP  C  JavaScript,MySQL  Oracle,YesNo|GPLv2  Commercial,Yes,Yes,Yes,201707,70 NG 707
PathSolutions TotalView,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Windows,SQLite,nonfree|Commercial,Yes,Yes,No,20180601,901
Performance CoPilot,No,Yes,Yes,No,Yes,Optional |Optional  Limited,Yes,Yes,Yes,Yes,No,Yes|Viewing,Yes,Yes,C Perl  Python  POSIX  MinGW,Flat file,free|GPL  LGPL,No,Yes,Yes,20161115,3116
PRTG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Windows,Flat file,YesNo|Limited free  Commercial,Yes,Yes,Yes,20190515,19250
ScienceLogic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,Python,MySQL,nonfree|Commercial,Yes,Yes,Yes,[added],[added]
SevOne,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,C  C  PHP,MySQL,nonfree|Commercial,Yes,Yes,Yes,201809,5724[6]
Shinken,optional|Via plugin,Yes,Yes,No,Yes,Yes,optional|Via plugin,optional|Via plugin,Yes,Yes,No,Yes|Viewing  Acknowledging  Reporting,Yes,optional|Via plugin,Python,Flat file  MySQL  Oracle  Graphite  Sqlite  MongoDB,free|AGPL,Yes,Yes,Yes,20160310,243
Solarwinds,Yes,Yes,Yes,Yes,Yes,Partial,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,NET,SQL,nonfree|Commercial,Yes,Yes,Yes,[empty],[added]
Spiceworks,dunno,Yes,dunno,dunno,Yes,Yes,dunno,dunno,Yes,Yes,dunno,dunno,dunno,Yes,PHP,Sqlite,dunno,Yes,dunno,dunno,20180321,7500107
CA Spectrum,Yes,Yes,optional|Perf AddOn,optional|Perf AddOn,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,C  JavaScript,SleepycatQSL  MySQL,YesNo| Commercial  per Device,Yes,Yes,Yes,201803,102
Xymon/Hobbit,Yes,Yes,Yes,No,optional|Via plugin,optional|Via plugin,optional|Via plugin,No,Yes,Yes,No,Yes|Viewing  Acknowledging  Reporting,Yes,optional|Via plugin,C  Shell,Flat file  RRDTool  MySQL via plugin,GPLlic,optional|Via plugin,Partial|Apache ACL,No,20170118,4328
Vigilo NMS,Yes (NMS and NOC editions),Yes,Yes,Yes via integration,Yes via integration,Yes,Yes,Yes via Prelude SIEM,Yes,Yes,No,Yes|Viewing  Acknowledging  Reporting,Yes (NMS and NOC editions),Yes via GLPI,Python  Perl,PostgreSQL  RRDtool,YesNo|Free (GPLv2) OSS edition  Commercial NOC/NMS editions,Yes (NMS and NOC editions),Yes (NMS and NOC editions),optional|Via plugin,20170914,410
Zabbix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,C  PHP,Oracle  MySQL  PostgreSQL  IBM DB2  SQLite,GPLlic,Yes,Yes,Yes,20190329,42
Zenoss Core,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes|Full Control,Yes,Yes,Python  Java,ZODB  MariaDB  Apache HBase,YesNo|Free Core GPL  Commercial Enterprise,Yes,Yes,Yes,20180109,610
Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
