Name,Lexer algorithm,Output languages,Grammar  code,Development platform,License
Lime,LALR(1),?,PHP,[empty],external,[empty],[empty],, GNU GPL
LISA,LR(?)  LL(?)  LALR(?)  SLR(?),?,Java,[empty],generated,[empty],[empty],, public domain
LLgen,LL(1),?,C,[empty],external,[empty],[empty],, BSD
LLnextgen,LL(1),?,C,[empty],external,[empty],[empty],, GNU GPL
LLLPG,LL(k) + syntactic and semantic predicates,ANTLR-like,C#,[empty],generated (?),[empty],[empty],, GNU LGPL
LPG,Backtracking LALR(k),?,Java,[empty],generated,[empty],[empty],, EPL
LRSTAR,LALR(1)  LR(1)  LR(*),EBNF  Yacc-like,C++,[empty],generated,[empty],[empty],, BSD
Menhir,LR(1),?,OCaml,[empty],generated,[empty],[empty],, QPL
ML-Yacc,LALR(1),?,ML,[empty],external,[empty],[empty],?
Monkey,LR(1),?,Java,[empty],generated,[empty],[empty],, GNU GPL
Msta,LALR(k)  LR(k),YACC  EBNF,C  C++,[empty],external or generated,[empty],[empty],, GNU GPL
MTP (More Than Parsing),LL(1),?,Java,[empty],generated,[empty],[empty],, GNU GPL
MyParser,LL(*),Markdown,C++11,[empty],internal,[empty],[empty],, MIT
NLT,GLR,C#/BNF-like,C#,[empty],mixed,[empty],[empty],, MIT
ocamlyacc,LALR(1),?,OCaml,[empty],external,[empty],[empty],, QPL
olex,LL(1),?,C++,[empty],generated,[empty],[empty],, GNU GPL
parglare,Scannerless LALR(1)/SLR(1)/GLR,BNF-like  Python,N/A (state machine is runtime generated),[empty],none,[empty],[empty],, MIT
Parsec,LL  backtracking,Haskell,Haskell,[empty],none,[empty],[empty],, BSD
Parse::Yapp,LALR(1),?,Perl,[empty],external,[empty],[empty],, GNU GPL
Parser Objects,LL(k),?,Java,[empty],?,[empty],[empty],, zlib
PCCTS,LL,?,C  C++,?,?,[empty],[empty],?
PLY,LALR(1),BNF,Python,[empty],generated,[empty],[empty],, MIT
PlyPlus,LALR(1),EBNF,Python,[empty],generated,[empty],[empty],, MIT
PRECC,LL(k),?,C,[empty],generated,[empty],[empty],, GNU GPL
QLALR,LALR(1),?,C++,[empty],external,[empty],[empty],, GNU GPL
RPATK,Recursive descent  backtracking,BNF,C (no generation  library),[empty],none,[empty],[empty],, GNU GPL
SableCC,LALR(1),?,C  C++  C#  Java  OCaml  Python,[empty],generated,[empty],[empty],, GNU LGPL
SLK,LL(k) LR(k) LALR(k),EBNF,C  C++  C#  Java  JavaScript,[empty],external,[empty],[empty],SLK<ref>http://www.slkpg2.com/license.txt</ref>
SP (Simple Parser),Recursive descent,Python,Python,[empty],generated,[empty],[empty],, GNU LGPL
Spirit,Recursive descent,?,C++,[empty],internal,[empty],[empty],, Boost
Sprache,LL  backtracking,C#,interpreted,[empty],internal,[empty],[empty],, MIT
Styx,LALR(1),?,C  C++,[empty],generated,[empty],[empty],, GNU LGPL
Sweet Parser,LALR(1),?,C++,[empty],generated,[empty],[empty],, zlib
Tap,LL(1),?,C++,[empty],generated,[empty],[empty],, GNU GPL
TextTransformer,LL(k),?,C++,[empty],generated,[empty],[empty],[added]
TinyPG,LL(1),?,C#  Visual Basic,?,?,[empty],[empty],, CPOL 1.0
Toy Parser Generator,Recursive descent,?,Python,[empty],generated,[empty],[empty],, GNU LGPL
TP Yacc,LALR(1),?,Turbo Pascal,[empty],external,[empty],[empty],, GNU GPL
UltraGram,LALR(1)  LR(1)  GLR,BNF,C++  Java  C#  Visual Basic .NET,[empty],external,[empty],[empty],, public domain
UniCC,LALR(1),EBNF,C  C++  Python  JavaScript  JSON  XML,[empty],generated,[empty],[empty],, BSD
UrchinCC,LL(1),?,Java,?,generated,[empty],[empty],?
Whale,LR(?)  some conjunctive stuff  see Whale Calf,?,C++,[empty],external,[empty],[empty],[added]
wisent,LALR(1),?,C++  Java,[empty],external,[empty],[empty],, GNU GPL
Yacc AT&T/Sun,LALR(1),Yacc,C,[empty],external,[empty],[empty],, CPL & CDDL
Yacc++,LR(1)  LALR(1),Yacc,C++  C#,[empty],generated or external,[empty],[empty],[added]
Yapps,LL(1),?,Python,[empty],generated,[empty],[empty],, MIT
yecc,LALR(1),?,Erlang,[empty],generated,[empty],[empty],, Apache 2.0
Visual BNF,LR(1)  LALR(1),?,C#,[empty],generated,[empty],[empty],[added]
YooParse,LR(1)  LALR(1),?,C++,[empty],external,[empty],[empty],, MIT
Parse,LR(1),BNF in C++ types,?,?,none,[empty],[empty],, MIT
GGLL,LL(1),Graph,Java,[empty],generated,[empty],[empty],, MIT
Product,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
Name,Parsing algorithm,Output languages,Grammar  code,Development platform,License
Arpeggio,PEG parser interpreter  Packrat,Python (no generation  interpreted),[empty],[empty],, MIT
AustenX,Packrat (modified),Java,[empty],[empty],, BSD
Aurochs,Packrat,C  OCaml  Java,[empty],[empty],, GNU GPL
BNFlite,Recursive descent,C++,[empty],[empty],, MIT
Canopy,Packrat,Java  JavaScript  Python  Ruby,[empty],[empty],, GNU GPL
CL-peg,Packrat,Common Lisp,[empty],[empty],, MIT
Drat!,Packrat,D,[empty],[empty],, GNU GPL
Frisby,Packrat,Haskell,[empty],[empty],, BSD
grammar::peg,Packrat,Tcl,[empty],[empty],, BSD
Grako,Packrat + Cut + Left Recursion,Python  C++ (beta),[empty],[empty],, BSD
IronMeta,Packrat,C#,[empty],[empty],, BSD
Katahdin,Packrat (modified)  mutating interpreter,C#,[empty],[empty],, public domain
Laja,2-phase scannerless top-down backtracking + runtime support,Java,[empty],[empty],, GNU GPL
lars::Parser,Packrat (supporting left-recursion and grammar ambiguity),C++,Identical,[empty],, BSD
LPeg,Parsing machine,Lua,[empty],[empty],, MIT
lug,Parsing machine,C++17,[empty],[empty],, MIT
Mouse,Recursive descent,Java,[empty],[empty],, Apache 2.0
Narwhal,Packrat,C,[empty],[empty],, BSD
Nearley,Earley,JavaScript,[empty],[empty],, MIT
Nemerle.Peg,Recursive descent + Pratt,Nemerle,[empty],[empty],, BSD
neotoma,Packrat,Erlang,[empty],[empty],, MIT
NPEG,Recursive descent,C#,[empty],[empty],, MIT
OMeta,Packrat (modified  partial memoization),JavaScript  Squeak  Python,[empty],[empty],, MIT
PackCC,Packrat (modified),C,[empty],[empty],, MIT
Packrat,Packrat,Scheme,[empty],[empty],, MIT
Pappy,Packrat,Haskell,[empty],[empty],, BSD
parboiled,Recursive descent,Java  Scala,[empty],[empty],, Apache 2.0
Lambda PEG,Recursive descent,Java,[empty],[empty],, Apache 2.0
parsepp,Recursive descent,C++,[empty],[empty],, public domain
Parsnip,Packrat,C++,[empty],[empty],, GNU GPL
peg,Recursive descent,C,[empty],[empty],, MIT
PEG.js,Packrat (partial memoization),JavaScript,[empty],[empty],, MIT
peg-parser,PEG parser interpreter,Dylan,[empty],[empty],?
Pegasus,Recursive descent  Packrat (selectively),C#,[empty],[empty],, MIT
pegc,Recursive descent,C,[empty],[empty],, public domain
pest,Recursive descent,Rust,[empty],[empty],, MPL
PetitParser,Packrat,Smalltalk  Java  Dart,[empty],[empty],, MIT
PEGTL,Recursive descent,C++11,[empty],[empty],, MIT
Parser Grammar Engine (PGE),Hybrid recursive descent / operator precedence<ref></ref>,Parrot bytecode,[empty],[empty],, Artistic 2.0
PyPy rlib,Packrat,Python,[empty],[empty],, MIT
pyPEG,PEG parser interpreter  Packrat,Python,[empty],[empty],, GNU GPL
Rats!,Packrat,Java,[empty],[empty],, GNU LGPL
Spirit2,Recursive descent,C++,[empty],[empty],, Boost
textX,PEG parser interpreter  Packrat,Python (no generation  interpreted),[empty],[empty],, MIT
Treetop,Recursive descent,Ruby,[empty],[empty],, MIT
Yard,Recursive descent,C++,[empty],[empty],, MIT or public domain
Waxeye,Parsing machine,C  Java  JavaScript  Python  Racket  Ruby,[empty],[empty],, MIT
PHP PEG,PEG Parser?,PHP,[empty],[empty],, BSD
