+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
Bolton Valley https://www.boltonvalley.com/,Waterbury,Vermont,3.150,2.100,1.704,300,71,6,312,$69,October 17  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Cooper https://www.skicooper.com/,Leadville,Colorado,11.700,10.500,1.200,400,41,4,260,$62,September 19  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Grand Targhee Resort https://www.grandtarghee.com/,Alta,Wyoming,10.121,7.851,2.270,2.602,99,5,500,$98,September 19  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Stratton Mountain Resort https://www.stratton.com/,Winhall,Vermont,3.875,1.872,2.003,670,99,11,171,$125,September 9  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Mt. Rose Ski Tahoe,Reno,Nevada,9.700,8.260,1.800,1200,60,8,396,$135,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Soldier Mountain,Fairfield,Idaho,7.177,5.756,1.400,1.180,36,2,[empty],$45,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Pomerelle Mountain Resort,Albion,Idaho,9.000,8.000,1.000,500,24,2,500,$45,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Schweitzer,Sandpoint,Idaho,6.400,4.000,2.400,2.900,92,7,300,$86,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Brundage Mountain,McCall,Idaho,7.803,5.882,1.921,1.920,46,5,320,$73,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Bogus Basin,Boise,Idaho,7.582,5.800,1.800,2.600,78,7,200,$64,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sun Valley,Sun Valley,Idaho,9.150,5.750,3.400,2.154,121,18,220<ref></ref>,$133,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Panorama Mountain Resort,Invermere,British Columbia,7.792,3.773,4.019,2.847,120,10,196,$92,website=panoramaresort.com|access-date=2016-10-14}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Whitefish Mountain Resort,Kalispell,Montana,6.817,4.464,2.353,3.000,105,14,300,$83,November 7  2019<ref></ref><ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Arizona Snowbowl,Flagstaff,Arizona,11.500,9.200,2.300,777,40,7,260,$99,website=arizonasnowbowl.com|access-date=2016-10-15}}</ref><ref> Arizona Snowbowl|website=arizonasnowbowl.com|access-date=2016-10-15}}</ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Telluride Ski Resort,Telluride,Colorado,13.150,8.725,4.425,2.000,147,18,309,$86,October  2016<ref></ref><ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Arapahoe Basin,Keystone,Colorado,13.050,10.520,2.530,1.428,147,9,350,$109,November 5  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Pajarito Mountain Ski Area https://www.pajarito.ski/,Los Alamos,New Mexico,10.440,9.000,1.440,750,44,5,163,$49,September 9  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Taos Ski Valley https://www.skitaos.com/,Taos,New Mexico,12.481,9.200,3.281,1.294,110,14,300,$110,September 9  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Ski Santa Fe https://skisantafe.com/,Santa Fe,New Mexico,12.075,10.350,1.725,660,83,7,225,$84,September 9  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Big Sky Resort,Bozeman,Montana,11.166,6.800,4.350,5.800,317,36,400,$119,October  2016<ref></ref>,[added]
