IDE,Developer,Latest stable release,Platform,License
Eclipse EPIC,EPIC Project Team,0644 / April 18  2012,Windows  Linux  macOS  FreeBSD  JVM  Solaris,yes|CPL
Geany,Team,127 / March 13  2016,Windows  Linux  macOS  FreeBSD  AIX  OpenBSD  Solaris  other Unix,yes|GPL
Komodo IDE / Edit,ActiveState,901 / April 19  2015,Crossplatform,proprietary
NetBeans,Sun Microsystems / Oracle,90 / Start date and age|2018|07|29[35],Crossplatform,yes|CDDL  GPL
Padre,Padre Team,10 / November 8  2013,Crossplatform,yes|Perl
JetBrains IDEs (via plugin)[36],Alexandr Evstigneev,201913 / May 25  2019,Crossplatform,yes|Apache 20
SlickEdit,SlickEdit,October 2016,Windows  Linux  macOS  AIX  Solaris  HPUX,Proprietary
