Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
Argus - The all seeing,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl,Flat file  Berkeley DB,[empty],[empty],[empty],[empty],2013-02,3.7
Avaya VPFM,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],MySQL,[empty],[empty],[empty],[empty],[added],[added]
Cacti,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PHP,RRDtool  MySQL,[empty],[empty],[empty],[empty],2019-06-07,1.2.4
Check MK,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  Python,RRDtool,[empty],[empty],[empty],[empty],2019-02-17,1.5.0p12
collectd,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C,RRDtool,[empty],[empty],[empty],[empty],2018-10-24,5.8.1
Cruz,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Java  C++  .NET,MySQL  Oracle,[empty],[empty],[empty],[empty],2019-02,8.0.0
Entuity,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  C++  Java,MariaDB,[empty],[empty],[empty],[empty],2017-12-22,16.5 P3
FreeNATS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PHP,MySQL,[empty],[empty],[empty],[empty],2011-07-09,1.13.3b
Ganglia,[empty],[empty],[empty],[empty],Via gmond check in,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  PHP,RRDtool,[empty],[empty],[empty],[empty],2016-06-14,3.7.2
Hinemos,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Java,PostgreSQL,[empty],[empty],[empty],[empty],2017-06-09,6.0.1
HPE Openview Network Node Manager (NNMi),[empty],[empty],[empty],[empty],[empty],[empty],[empty],Via integration,[empty],[empty],[empty],[empty],[empty],[empty],C++  Java  Perl,PostgreSQL  Oracle Database,[empty],[empty],[empty],[empty],2016-08,10.20
Icinga,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C<ref>https://wiki.icinga.org/display/icinga2/Intro</ref>,MySQL  PostgreSQL  Oracle Database,[empty],[empty],[empty],[empty],2019-03-19,2.10.4
InterMapper,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Windows  Linux & Mac OS,PostgreSQL,[empty],[empty],[empty],[empty],2017-07,6.1.5
isyVmon,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PHP,RRDtool  MySQL,[empty],[empty],[empty],[empty],[added],[added]
Kaseya Network Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],FirebirdSQL,[empty],[empty],[empty],[empty],[added],[added]
Munin,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl,RRDtool,[empty],[empty],[empty],[empty],2016-09-19,2.0.26
Nagios,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C,Flat file  SQL (via ndoutils)  MySql (Via Nconf),[empty],[empty],[empty],<ref name=nagiosipv6></ref>,2019-07-29,4.4.4<ref name=nagiosversion></ref>
NeDi,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  PHP,Pg  MySQL  RRDTool  MariaDB,[empty],[empty],[empty],[empty],2016-04,1.6<ref name=NeDi></ref>
Netdisco,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl,PostgreSQL,[empty],[empty],[empty],[empty],2017-10,2.036011<ref name=Netdisco></ref>
NeuralStar,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],MS SQL,[empty],[empty],[empty],[empty],[added],[added]
CA UIM fka Nimsoft Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],SQLServer  Oracle  MySQL,[empty],[empty],[empty],[empty],2013-06-30,1.8.6
Octopussy,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  ASP,MySQL,[empty],[empty],[empty],[empty],2017-06-03,1.0.16
op5 Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  PHP,Flat file  SQL,[empty],[empty],[empty],[empty],Monthly,7.3.0
OpenKBM,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added]
OpenNMS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Java,JRobin / RRDTool / Apache Cassandra  PostgreSQL,[empty],[empty],[empty],[empty],2019-09-26,25.0.0
Opmantek NMIS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl,MongoDB  RRDtool,[empty],[empty],[empty],[empty],2015-10,8.5.10G
OPNET's AppResponse Xpert,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added],[added]
Opsview,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  C  ExtJS,SQL,[empty],[empty],[empty],[empty],2019-08-07,6.2
OSI NetExpert,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Java  C++,Oracle,[empty],[empty],[empty],[empty],2013-04,10.0
PA Server Monitor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C++,SQLite  Microsoft SQL Server,[empty],[empty],[empty],[empty],2014-07,5.5
PacketTrap,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],SQL,[empty],[empty],[empty],[empty],[added],[added]
Pandora FMS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Perl  PHP  C++  JavaScript,MySQL  Oracle,[empty],[empty],[empty],[empty],2017-07,7.0 NG 707
PathSolutions TotalView,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Windows,SQLite,[empty],[empty],[empty],[empty],2018-06-01,9.01
Performance Co-Pilot,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C Perl  Python  POSIX  MinGW,Flat file,[empty],[empty],[empty],[empty],2016-11-15,3.11.6
PRTG,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Windows,Flat file,[empty],[empty],[empty],[empty],2019-05-15,19.2.50
ScienceLogic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Python,MySQL,[empty],[empty],[empty],[empty],[added],[added]
SevOne,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  C++  PHP,MySQL,[empty],[empty],[empty],[empty],2018-09,5.7.2.4<ref></ref>
Shinken,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Python,Flat file  MySQL  Oracle  Graphite  Sqlite  MongoDB,[empty],[empty],[empty],[empty],2016-03-10,2.4.3
Solarwinds,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],.NET,SQL,[empty],[empty],[empty],[empty],[empty],[added]
Spiceworks,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PHP,Sqlite,[empty],[empty],[empty],[empty],2018-03-21,7.5.00107
CA Spectrum,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C++  JavaScript,Sleepycat-QSL  MySQL,[empty],[empty],[empty],[empty],2018-03,10.2
Xymon/Hobbit,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  Shell,Flat file  RRDTool  MySQL via plugin,[empty],[empty],[empty],[empty],2017-01-18,4.3.28
Vigilo NMS,(NMS and NOC editions),[empty],[empty],via integration,via integration,[empty],[empty],via Prelude SIEM,[empty],[empty],[empty],[empty],(NMS and NOC editions),via GLPI,Python  Perl,PostgreSQL  RRDtool,[empty],(NMS and NOC editions),(NMS and NOC editions),[empty],2017-09-14,4.1.0
Zabbix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],C  PHP,Oracle  MySQL  PostgreSQL  IBM DB2  SQLite,[empty],[empty],[empty],[empty],2019-03-29,4.2
Zenoss Core,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Python  Java,ZODB  MariaDB  Apache HBase,[empty],[empty],[empty],[empty],2018-01-09,6.1.0
Name,IP SLA Reports,Logical Grouping,Trending,Trend Prediction,Auto Discovery,Agentless,SNMP,Syslog,Plugins,Triggers / Alerts,MIB Compiler,WebApp,Distributed Monitoring,Inventory,Platform,Data Storage Method,License,Maps,Access Control,IPv6,Latest release date,Latest release version
