Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
IBM Sametime,Linux  macOS  Windows  mobile,proprietary,dunno,SIPSIMPLE  T120,H323,Yes|TLS,Unk,IM  File transfer  Voice  Presence  Server stored contact list  HTTP tunneling  plugins  embedable in Lotus Notes[8],852; Start date and age|2011|05|08
iCall,Linux  macOS  Windows  iOS  Android,proprietary,free,SIP  AIM  ICQ  XMPP,Speex  CELT  WebM,Yes|TLS  ZRTP,No limit,Video  file transfer  PC to phone  phone to PC  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  Voicemail,71522
Jami by Savoirfaire Linux,Android  FreeBSD  iOS  iPhone  Linux  Microsoft Windows  OS X[9],free|GPL3,free,SIP  RTP  STUN per account  SRV  DHT  P2P,Audio Opus  Speex  G722  G711  GSM  VP8  G729  iLBC Video H264  H263  VP8  MPEG4,Yes|Voice encryption (SRTP with SDES or ZRTP) and signaling encryption (TLS)  multiple realms authentication mechanism ,No limit,Blockchain IDmanagement  GnomeKDE client  address book  multiple accounts  unlimited call number  call transfer  call holdunhold  call recording  multiway conferencing,Latest_stable_software_release/Ring_(software)
Jitsi,Linux  macOS  Windows (all java supported) Experimental Android builds are also available[10],free|Apache,free,SIPSIMPLE  XMPPJingle STUN ICE  TURN,SILK  G722  Speex  Opus  G711 (PCMU/PCMA)  iLBC  GSM  G729  H264  H263  VP8,Yes|ZRTP  SRTP  OTR  TLS,Unk,Text messaging  audiovideo telephony  IPv6 (often broken [11] P2P not supported[12])  call recording  64bit,Latest stable software release/Jitsi
KPhone,Linux (KDE),free|GPL,free,SIP  STUN  NAPTRSRV,Unk,Yes|SRTP,Unk,Video  voice  IM  external Sessions  IPv6 support for UDP,12 (November 2008)
Librestream Onsight Connect,Windows  Android  iOS,proprietary,dunno,SIP  RTP  STUN,G711  H264  MPEG  and others,Yes|TLS  SRTP,Unk,Voice  video  conferencing  image sharing  incoming call/IM push notifications,Start date and age|2018|02|27
Linphone,Linux  Windows  macOS  Android  iPhone  BlackBerry,free|GPL,free,SIP,Speex  Opus  G711  GSM  G722  VP8 (WebM)  H263  MPEG4  Theora and H264 (plugin),Yes|TLS  SRTP  ZRTP,Unk,Video  IM  STUN  IPv6 (disables IPv4 support when enabled  P2P supported only by version 3512),3111; Start date and age|2017|03|10
Messages,macOS,proprietary,free  only macOS and iOS,SIP AIM ICQ XMPP,H263  H264,Unk,Unk,Integrated  PBX independent,70; Start date and age|2012|07|25
MicroSIP,Windows,free|GPL,free,SIP  STUN  ICE  SIMPLE,Speex  iLBC  GSM  G711  G722  G729  SILK  Linear PCM,Yes|TLS  SRTP,Unk,Video  voice  IM and Presence,31915 Start date and age|2019|05
Mirial Softphone (Mirial surl),Windows 2000XP2003Vista7 (including 64bit versions)  macOS (x86),proprietary,not free,SIP  RTSP,H323,Yes|DTLSSRTP,Unk,H264 FullHD 1080p video rx/tx  Two independent lines supporting Call Control and 3Party videoconference in Continuous Presence  G7221/C wideband audio  Call recording/export  DV/HDMI/Component capture  Presentation (H239  RFC4796)  Encryption  Far End Camera Control  GPU accel (D3D and OpenGL),7024; Start date and age|2010|05|26  discontinued
