Kernel name,Programming language,Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below),Multitasking,Virtualization,Security,Profiling/Debugging,Soft realtime support,Hard realtime support,Can keep RTC in UT[2]
OS/2 kernel,[empty],OS/2 version 2 and above,IBM,LX,hybrid,no,yes,no PowerPC version developed but never officially released,yes,no,yes,yes,yes,no,dunno
Plan 9 kernel,[empty],Plan 9 from Bell Labs,Bell Labs,dunno,hybrid,yes|ipmux,yes,yes,yes,dunno,dunno,dunno,dunno,dunno,dunno
ReactOS kernel,[empty],ReactOS,ReactOS Foundation,PE  others?,hybrid,dunno,dunno,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno
Rockbox kernel,[empty],Rockbox,The Rockbox Project,dunno,dunno,dunno,dunno,yes,dunno,dunno,dunno,dunno,dunno,dunno,dunno
SunOS kernel,[empty],SunOS,Sun Microsystems,aout,monolithic,dunno,yes,yes,yes,dunno,yes|Unix permissions,dunno,dunno,dunno,dunno
Solaris kernel,[empty],Solaris  OpenSolaris  GNU/kOpenSolaris (Nexenta OS),Sun Microsystems,ELF (32bit only until Solaris 7 in 1998),monolithic,yes|IPFilter,yes,yes,yes,yes|Zones  chroot,yes|Unix permissions  ACL  RBAC  Auditing  Privileges  Zones  Trusted Extensions,yes|DTrace  CPU profiling  microstate accounting  perf counters  kernel lock stats  kstats  mdb  kmdb,yes|Realtime scheduler,dunno,dunno
Trix kernel,[empty],Trix,Massachusetts Institute of Technology,aout,monolithic,dunno,yes,no,yes,dunno,dunno,dunno,dunno,dunno,dunno
Windows NT kernel [10],[empty],Windows NT  2000  XP  2003  Vista  Windows 7  Windows 8  Windows Phone 8  Windows Phone 81  Windows 10,Microsoft,PE  others?,hybrid,yes,yes,yes,yes,yes|HyperV,yes|ACL,yes|Event Tracing[10],yes|Multimedia Class Scheduler Service,no,unofficial[11]
XNU (Darwin kernel) [11],C  C,Mac OS X  iOS  iPadOS  tvOS  watchOS  OpenDarwin  PureDarwin GNU/Darwin,Apple Inc,MachO,hybrid,yes|Ipfirewall  PF (starting in Lion),yes,yes,yes,yes|chroot,yes|Unix permissions  NT/NFSv4 ACLs  TrustedBSD MAC  OpenBSM,yes|KDB  DDB  DTrace,yes,no,yes
SPARTAN kernel [12],[empty],HelenOS,Jakub Jermar,ELF,microkernel,dunno,yes,yes,yes,dunno,dunno,dunno,dunno,dunno,dunno
Kernel name,! Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below),Multitasking,Virtualization,Security,Profiling/Debugging,Soft realtime support,Hard realtime support,Can keep RTC in UT,[added]
