Name,Creator,Initial public release,Predecessor,Current stable version,Release date,Cost  availability,Preferred license[1],Target system type
OS/390,IBM,1995,MVS,OS/390 Version 2 R10,2000  September 29,Nonfree|Bundled with hardware,Proprietary,IBM mainframe
OS 2200,Unisys,1967 as Exec 8e,Exec 8  OS 1100,CP OS 16 (Exec 492),2015  February 27,Nonfree|Bundled with hardware,Proprietary,Server
OS/2,IBM and Microsoft,1987,MSDOS,452,2001,Nonfree|Discontinued (see eComStation successor); Was US$|300|2001 ,Proprietary,Personal computer  server
Plan 9,Bell Labs,1993,Unix,Fourth Edition,2003 (except for minor later updates),Free,Free|LPL,Workstation  server  embedded  HPC
QNX,QNX Software Systems,1982,Unix  POSIX,700,2017  March,Nonfree|Bundled with BlackBerry 10 and PlayBook devices Commercial; an academic version exists that needs authorization code before installing,Proprietary,Automotive  medical  smartphones  consumer  industrial  embedded  safety
Solaris,Sun (now Oracle Corporation),1992,SunOS,114,2018  August 28,Free|Commercial; (but free/nocost perpetual license when used "for the purpose of developing  testing  prototyping and demonstrating your applications"[8]),Free|CDDL,Server  workstation
Symbian,Symbian Ltd,1998,EPOC32,95,2009,Nonfree|Discontinued; Commercial,Proprietary,Phones
Symbian platform,Symbian Foundation,2010 (initially 1998 as Symbian),Symbian,304,2010,Free,Free|EPL,embedded
Windows Server (NT family),Microsoft,1993,OS/2  Windows 3x and MSDOS,Windows Server 2019 (Version 10017763),2018  October 2,Nonfree|US$1050 5 CALs server; other editions dependent on number of CALs purchased,Proprietary; Sourceavailable,Server  NAS  embedded
Windows (NT family),Microsoft,1993,OS/2  Windows 9x and MSDOS,Windows 10 (Version 1903),2019  May 21,Nonfree|Windows 10 Home US$119  Windows 10 Pro US$199[9],Proprietary; Sourceavailable,Workstation  personal computer  media center  Tablet PC  embedded
Windows (classic 9x family),Microsoft,1995,MSDOS  Windows NT 35,Windows Me (Win 4903000),2000,Nonfree|Discontinued,Proprietary,Personal computer  media center
RISC iX,Acorn Computers,1988,BSD 43,121c,1993,Nonfree|Discontinued; Was bundled with hardware,Proprietary,Workstation
RISC OS,Acorn Computers,1987,Arthur  also the BBC Master OS,371,1997,Nonfree|Discontinued; Was bundled with hardware,Proprietary,Education  personal computer
RISC OS 4,RISCOS Ltd  Pace plc,1999,RISC OS,439,2004,Nonfree|Bundled with hardware  then sold separately at £70 (US$127),Proprietary,Education  personal computer
RISC OS 5,Castle Technology  RISC OS Open,2002,RISC OS 4,524[10],2018,Free,Free|Apache License,Education  personal computer
RISC OS 6,RISCOS Ltd,2006,RISC OS 4,620,2009,Nonfree|Bundled with hardware  then sold separately at £70 (US$127),Proprietary,Education  personal computer
ZETA,yellowTAB,2005,BeOS R5,15,2007,Nonfree|Discontinued,Proprietary,Personal computer  media center  workstation
STOP 6  XTS400,BAE Systems,2003,STOP 5  XTS300,65,2008  August,US$|60000|2008; bundled with XTS hardware and OEM licensed,Proprietary,Server  workstation
ReactOS,ReactOS development team,1996,Windows NT,0410,2018  November 6,Free,Free|GNU GPL  GNU LGPL,Workstation  personal computer
TrueOS,PCBSD Software,2006,FreeBSD[11],101[12],2014  November 16,Free,Free|BSD,Personal computer  workstation  server
VxWorks,Wind River Systems,1987,VRTX,7,2014 March,Nonfree|Paid,Proprietary,Embedded Realtime systems
z/OS,IBM,2000,OS/390,Version 23 (V2R3),2017  September 29,Nonfree|Monthly license fee  about US$130 and up,Proprietary,IBM mainframe
z/VSE,IBM,2007,VSE/ESA,62,2017  December 1,Nonfree|Monthly license fee,Proprietary,IBM mainframe
z/VM,IBM,2000,VM,64,2016  November 11,Nonfree|Monthly license fee,Proprietary,IBM mainframe
HP NonStop,HP (now Hewlett Packard Enterprise),1974,Guardian,H0624/J0613,2012,Nonfree,Proprietary,HP Nonstop Servers
Name,Creator,Initial public release,Predecessor,Current stable version,Release date,Cost  availability,Preferred license[1],Target system type
