Company,Software,Ondemand scan,Onaccess scan,Boottime scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,Live Update,Support,Settings Import/ Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
FRISK Software,FPROT Antivirus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary,some|Trialware,1989,Iceland,Friðrik Skúlason (second engine also with Dr Vesselin Bontchev),[empty]
Fortinet,FortiClient,Yes,Yes,Yes,No,No,Yes,No,No,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Free,2004,United States,[empty],[empty]
G Data Software,G DATA AntiVirus,Yes,Yes,Yes,Yes,No,No,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary,Nonfree,1987,Germany,Andreas Lüning and Kai Figge,Thirdparty antivirus engine (Bitdefender)
G Data Software,G DATA InternetSecurity,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Nonfree,2004,Germany,Andreas Lüning and Kai Figge,Thirdparty antivirus engine (Bitdefender)
Kaspersky Lab,Kaspersky AntiVirus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,Yes,No,Yes,Yes,?,?,Proprietary,Nonfree,1997,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
Kaspersky Lab,Kaspersky Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Nonfree,2007,Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
Kaspersky Lab,Kaspersky Total Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary,Nonfree,[empty],Russia,Eugene Kaspersky and Natalia Kaspersky,Banned by USG
McAfee,McAfee Antivirus,Yes,Yes,Yes,Yes,No,No,No,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary,Nonfree,1987,United States,John McAfee,John McAfee "uninstall video" scandal
McAfee,McAfee Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Nonfree,2006,United States,John McAfee,John McAfee "uninstall video" scandal
Microsoft,Windows Defender,Yes,Yes,No,No Only Windows 10,No,No excepting Windows Firewall[6],No,No,?,No,No,No,No,Yes,Yes,No,?,Proprietary,Free,2012,United States,[empty],[empty]
NANO Security Ltd,NANO Antivirus,Yes,Yes,No,Yes,No,No,No,No,?,Yes,No,Yes,No,Yes,Yes,No,?,Proprietary,free,2009,Russia,[empty],[empty]
Panda Security,Panda Antivirus Pro,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,No,Yes,No,Yes,Yes,Yes,?,?,Proprietary,Nonfree,1990,Spain,Mikel Urizarbarrena,[empty]
Panda Security,Panda Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Nonfree,2002,Spain,Mikel Urizarbarrena,[empty]
Panda Security,Panda Antivirus Free,Yes,Yes,Yes,Yes,Yes,Yes,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary,some|Trialware,2009,Spain,[empty],[empty]
Qihoo 360,360 Total Security,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,No,Yes,Yes,Yes,Yes,?,?,Proprietary,Free,2006,China,[empty],[empty]
Quick Heal,Quick Heal Total Security,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes*,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Proprietary,Nonfree,1995,India,[empty],Browser Sandbox only
Sophos,Sophos AntiVirus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,Yes,No,No,Yes,Yes,Yes,?,?,Proprietary,Nonfree,1988,United Kingdom,Jan Hruska and Peter Lammer,[empty]
Sophos,Sophos EndUser Protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Nonfree,2000,United Kingdom,Jan Hruska and Peter Lammer,[empty]
Symantec,Norton Internet Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,Yes,?,?,Proprietary,Nonfree,2000,United States,[empty],Whitelists FBI backdoor scandal[7][8]
Symantec (originally PC Tools),Spyware Doctor with AntiVirus,Yes,Yes,No,No,No,No,No,No,?,No,No,Yes,No,Yes,No,?,?,Proprietary,Nonfree,2003,United States,[empty],[empty]
Trend Micro,Titanium Antivirus Plus,Yes,Yes,Yes,Yes,No,No,No,No,?,No,Yes,No,No,Yes,Yes,?,?,Proprietary,Nonfree,1990,Japan,[empty],[empty]
Trend Micro,Titanium Internet Security,Yes,Yes,Yes,Yes,Yes,No,No,No,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Nonfree,2008,Japan,[empty],[empty]
TrustPort,TrustPort Antivirus,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary,some|Trialware,2008,Czech Republic,[empty],Thirdparty antivirus engine (?)
TrustPort,TrustPort Internet Security,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary,some|Trialware,2008,Czech Republic,[empty],Thirdparty antivirus engine (?)
TrustPort,TrustPort Total Protection,Yes,Yes,No,Yes,No,Yes,No,No,?,Yes,Yes,Yes,No,Yes,Yes,?,?,Proprietary,some|Trialware,2008,Czech Republic,[empty],Thirdparty antivirus engine (?)
VirusBlokAda,Vba32 AntiVirus,Yes,Yes,No,No,No,No,No,No,?,No,No,No,No,No,No,?,?,Proprietary,Nonfree,2010,Belarus,[empty],[empty]
Webroot,SecureAnywhere AntiVirus,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,some|Trialware,2011,United States,[empty],[empty]
Webroot,SecureAnywhere Internet Security Plus and Complete,Yes,Yes,No,Yes,Yes,Yes,No,Yes,?,No,No,Yes,No,Yes,Yes,?,?,Proprietary,Nonfree,2011,United States,[empty],[empty]
Company,Software,Ondemand scan,Onaccess scan,Boottime scans,Heuristics,CloudAV,Firewall,IDS,IPS,Sandbox,Email Security,AntiSpam,Web protection,Macro protection,LiveUpdate,Support,Settings Import/Export,installer/ updater MIMA safe,License,Price,First release,Country of origin,Original author/s,Notes
