ZEN X-Fi,Creative,2008-07-10,Micro,PMP,0032 8/16/32,Flash,SD,[empty],[empty],[empty],1.03.01<ref></ref>
ZEN Vision W,Creative,2006-08-30,Mid,PMP,0060 30/60,HDD,CF,[empty],[empty],[empty],1.10.01<ref></ref>
Zune 30,Microsoft,2006-11-14,Mid,PMP,0030 30,HDD,[empty],[empty],[empty],[empty],3.3<ref name="Zune Firmware" />
Zune 4/8,Microsoft,2007-11-13<ref name="Zune Launch"></ref>,Micro,PMP,0008 4/8,Flash,[empty],[empty],[empty],[empty],3.3<ref name="Zune Firmware" />
Zune 16,Microsoft,2008-09-16,Micro,PMP,0016 16,Flash,[empty],[empty],[empty],[empty],3.3<ref name="Zune Firmware" />
Zune 80,Microsoft,2007-11-13<ref name="Zune Launch" />,Mid,PMP,0080 80,HDD,[empty],[empty],[empty],[empty],3.3<ref name="Zune Firmware"></ref>
Zune 120,Microsoft,2008-09-16,Mid,PMP,0120 120,HDD,[empty],[empty],[empty],[empty],3.3<ref name="Zune Firmware"/>
Zune HD,Microsoft,2009-09-15,Mini,PMP,0064 16/32/64,Flash,[empty],[empty],[empty],[empty],4.5
Zvue 260,Zvue,2007-07-17<ref></ref>,[empty],DAP,0000 None,HDD,SDHC<ref name="MMC" />,[empty],[empty],[empty],2.80 I_071012<ref></ref>
Name,Manufacturer,Release,Size,Type,Capacity (GB)<ref name="ReferenceC"/>,Storage,External,Dimensions (mm × mm),Depth (mm),Weight (g),Firmware
Name,Navigation,Audio out,Speaker,Screen size (in),Screen type,Resolution (px),Frame rate (Hz),Color depth (bpp),Video out,Video battery life (hr),Audio battery life (hr)
Archos 105<ref></ref>,D-pad  7 buttons,Headphone jack,[empty],1.8,OLED,160 × 128,[empty],18,[empty],[empty],18
Archos 405<ref></ref><ref></ref>,D-pad  6 two-way buttons,Headphone jack  dock connector,[empty],3.5,TFT LCD,320 × 240,[empty],[empty],[empty],5,16
Archos 5<ref></ref>,Touchscreen,Headphone jack,[empty],4.8,TFT LCD,800 × 480,[empty],[empty],[empty],7,22
Archos 605 WiFi/GPS<ref></ref><ref></ref>,D-pad/touchscreen  6 two-way buttons,Headphone jack,[empty],4.3,TFT LCD,800 × 480,[empty],[empty],[empty],5.5,15
Archos 705 WiFi<ref></ref>,D-pad/touchscreen  6 two-way buttons,Headphone jack,[empty],7,TFT LCD,800 × 480,[empty],18,[empty],5.5,15
Cowon A3<ref></ref>,D-pad  4 buttons,Headphone jack,[empty],4,TFT LCD,800 × 480,[empty],[empty],[empty],[empty],18
Cowon D2<ref></ref>,Touchscreen  3 buttons,Headphone jack,[empty],2.5,TFT LCD,320 × 240,[empty],[empty],[empty],[empty],[empty]
Cowon Q5W<ref></ref>,Touchscreen,Headphone jack,[empty],5,TFT LCD,800 × 480,[empty],[empty],[empty],7,13
Gigabeat T-Series<ref></ref>,D-pad  4 buttons,Headphone jack,[empty],2.4,TFT LCD,320 × 240,[empty],18,[empty],5,16
GP2X F-200<ref></ref>,8-way d-pad/touchscreen  9 buttons,Headphone jack,[empty],3.5,TFT LCD,320 × 240,[empty],16,[empty],3.5,6
iPod classic<ref></ref>,Click wheel  1 center  4 embedded buttons,Headphone jack  dock connector,Clicker only,2.5,TFT LCD,320 × 240,[empty],16,[empty],6,36
iPod nano 5G<ref name="Apple Inc"></ref>,Click wheel  1 center  4 embedded buttons,Headphone jack  dock connector,[empty],2.25,TFT LCD,320 × 240,[empty],16,[empty],4,24
iPod nano 6G<ref name="Apple Inc"/>,Multi-touch screen,Headphone jack  dock connector,[empty],1.54,TFT LCD,240 × 240,[empty],[empty],[empty],No video support,24
iPod touch<ref></ref>,Multi-touch screen  3 buttons,Headphone jack  dock connector,(ex. 1st and 2nd gen.),3.5,TFT LCD,480 × 320 (4th gen. 960 × 640),[empty],[empty],[empty],6,40 (4th gen)  30 (3rd gen)  36 (2nd gen)  24 (1st gen)
iriver clix 2G<ref></ref>,D-pad  4 embedded buttons,Headphone jack,[empty],2.2,AMOLED,320 × 240,[empty],18,[empty],5,25
PSP Slim/Lite<ref></ref>,Analog stick/d-pad  15 buttons,Headphone jack  dock connector,[empty],4.3,TFT LCD,480 × 272,[empty],[empty],[empty],4,10
Samsung Galaxy Player 4.0 & 5.0<ref name="Samsung1"></ref>,Touchscreen  3 buttons,Headphone jack,[empty],4.0/5.0,TFT LCD,800 × 480,[empty],[empty],[empty],5 (4.0)  8 (5.0),36 (4.0)  60 (5.0)
