Manufacturer,Module,Transceiver Chip,Antenna,Sleep,TX,RX,TX Power,Sensitivity,PCB Size,Released,Interfacing,Protocol stacks
FlexiPanel Ltd,EasyBee summary datasheet,Texas Instruments CC2420 datasheet errata,integral,[empty],18 mA,20 mA,0 dBm,[empty],26 mm Ã— 20 mm,Mar  2008,?,ZigBee stack
Embit,EMBTRX169PA  169 MHz webpage,CC1120 datasheet,UFL connector,<1 ¼A,400 mA @ 27 dBm,27 mA (full sens),27 dBm,122 dBm,16 mm Ã— 26 mm,2013,UART  SPI  JTAG,Wireless MBus stack
Microchip Technology,MRF24J40MA datasheet,MRF24J40 datasheet,PCB trace,2 ¼A,23 mA,19 mA,0 dBm,€“94 dBm,178 mm Ã— 279 mm,Jun  2008,SPI,Microchip ZigBee MiWi MiWi P2P
