Free and opensource software,Proprietary software,Online w/ App
Freeware,Commercial,[added]
CinePaint Darktable DigiKam FSpot G'MIC GIMP GimPhoto GIMPshop GNU Paint GrafX2 GraphicsMagick gThumb Hugin ImageJ ImageMagick Inkscape KolourPaint Krita LazPaint LightZone mtPaint MyPaint Panorama Tools Pencil2D Phatch Pinta Rawstudio RawTherapee Seashore Shotwell Tile Studio Tux Paint UFRaw,Brush Strokes Image Editor Chasys Draw IES FastStone Image Viewer Fatpaint Fotografix IrfanView Moai[1] PaintNET PhotoScape PixBuilder Photo Editor Pixia Project Dogwaffle 12 Free Version XnView,colbegin
