+
Product
Adminer
DaDaBIK
Database Deployment Manager
DatabaseSpy
Database Workbench
DataGrip
[added]
DBeaver
DBEdit
Epictetus
HeidiSQL
Maatkit
Microsoft SQL Server Management Studio
ModelRight
MySQL Workbench
Navicat
Navicat Data Modeler
Oracle Enterprise Manager
Oracle SQL Developer
Orbada
pgAdmin III
phpLiteAdmin
phpMyAdmin
SQL Database Studio
SQLyog
SQuirreL SQL
Toad
Toad Data Modeler
TOra
Tools,User Interface,Create & Alter wizard,Browse,Auto Completion,Syntax colored,Multi server support,Monitoring server
Database,Table,Procedure,Trigger,Database,Table,Procedure,Trigger
Adminer,Browser-based,[empty],[empty],[empty],[empty],[empty],[empty]
Altova DatabaseSpy,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
DaDaBIK,Browser-based,[empty],[empty],[empty],[empty],[empty],[empty]
Database Deployment Manager,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Database Workbench,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
DataGrip,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
DBeaver,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added]
DBEdit,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Epictetus,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Microsoft SQL Server Management Studio,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
ModelRight,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
MySQL Workbench,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Navicat,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Navicat Data Modeler,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Oracle Enterprise Manager,Browser-based,[empty],[empty],[empty],[empty],[empty],[empty]
Oracle SQL Developer,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Orbada,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
pgAdmin III,TDI,[empty],[empty],[empty],[empty],[empty],[empty]
phpLiteAdmin,Browser-based,[empty],[empty],[empty],[empty],[empty],[empty]
phpMyAdmin,Browser-based,[empty],[empty],[empty],[empty],[empty],[empty]
SQL Database Studio,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
SQLyog,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
SQuirreL SQL,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Toad,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
Toad Data Modeler,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
TOra,desktop,[empty],[empty],[empty],[empty],[empty],[empty]
[empty],user manager,Plugin,Compare,Import,Export,Debugger,Source control,Spatial Visualization
Adminer,[empty],[empty],[empty],SQL script  CSV  <abbr title="Tab Separated Values">TSV</abbr> or the above in zip (as a plugin); imports of server-site file in SQL or SQL in zip  gzip or bzip2,SQL script  CSV  <abbr title="Tab Separated Values">TSV</abbr> or the above in zip  gzip  bzip2; XML (as a plugin),[empty],Git,[added]
Altova DatabaseSpy,[empty],[empty],[empty],CSV  XML,XML  XML Structure  CSV  HTML  MS Excel,[empty],[empty],[added]
DaDaBIK,<ref>can manage its own users  which override the DBMS users</ref>,[empty],[empty],[empty],CSV,[empty],[empty],[added]
Database Workbench,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
DataGrip,[empty],[empty],[empty],[empty],TXT  CSV  HTML  XML  DBF  SQL script  RTF  MS Word  MS Excel  MS Access  MS Windows Clipboard  Paradox file  WK1  WQ1  SLK  DIF  LDIF,[empty],[empty],[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
DBeaver,[empty],[empty],[empty],[empty],[empty],[empty],With Eclipse plugins,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added]
DBEdit,[empty],[empty],[empty],[empty],MS Excel  PDF  Text  SQL script,[empty],[empty],[added]
Epictetus,[empty],[empty],[empty],[empty],Excel,[empty],[empty],[added]
ModelRight,[empty],[empty],[empty],- from supported databases using native interfaces  or from any ODBC source,SQL; XML; DTD; Diagram as BMP  JPEG,[empty],[empty],[added]
Navicat,[empty],[empty],[empty],- TXT  CSV  DBF  HTML  MS Excel  MS Access  Paradox file  WK1  WQ1  XML  or from any ODBC source (See link for limitations<ref name="Navicat features">title= Navicat feature matrix</ref>),- TXT  CSV  HTML  XML  DBF  SQL script  RTF  MS Word  MS Excel  MS Access  MS Windows Clipboard  Paradox file  WK1  WQ1  SLK  DIF  LDIF (See link for limitations<ref name="Navicat features"/>),[empty],[empty],[added]
Navicat Data Modeler,[empty],[empty],[empty],- Import Database from server/ODBC,- Export SQL,[empty],[empty],[added]
MySQL Workbench,[empty],[empty],[empty],- CSV  HTML  JSON  MS Excel  SQL INSERTS  Tab-separated  XML,- CSV  HTML  JSON  MS Excel  SQL INSERTS  Tab-separated  XML,[empty],[empty],[added]
Oracle SQL Developer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Orbada,[empty],[empty],[empty],SQL script,SQL script  CSV  XML  HTML  PDF  Excel  DBF  DataText,[empty],[empty],[empty]
pgAdmin III,[empty],[empty],[empty],CSV  Text  or binary,CSV  text  HTML  XML,[empty],[empty],[added]
phpMyAdmin,[empty],[empty],[empty],- CSV  SQL  XML  Excel  ODS,- CSV  LaTeX  Excel  Word  ODS  ODT  XML  SQL  YAML  Texy!  JSON  NHibernate  PHP  PDF  MediaWiki,[empty],Git,[added]
SQL Database Studio,[empty],[empty],[empty],CSV  XML  MS Excel,CSV  HTML  MS Excel  SQL INSERTS  Tab-separated  XML,[empty],[empty],[added]
SQLyog,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
SQL Server Management Studio,[empty],[empty],[empty],[empty],[empty],[empty],<ref>https://blogs.technet.microsoft.com/dataplatforminsider/2016/11/21/source-control-in-sql-server-management-studio-ssms/</ref>,[empty]
SQuirreL SQL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Toad,[empty],[empty],[empty],[empty],[empty],[empty],SVN  CVS  TFS  VSS,[added]
Toad Data Modeler,[empty],[empty],[empty],Toad for Oracle ERD  ERWin 7.1(XML) via plugin,SQL; meta data in XML; report in HTML/RTF/CSV; diagram as BMP  JPEG  PNG,[empty],[empty],[added]
TOra,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
[empty],Visual query builder,Visual schema/model/E-R diagram design,Reverse engineering,Forward engineering,ER diagram groupboxes
Adminer,[empty],[empty],[empty],[empty],[empty]
Altova DatabaseSpy,[empty],[empty],[empty],[empty],[empty]
Database Deployment Manager,[empty],[empty],[empty],[empty],[empty]
Database Workbench,[empty],[empty],[empty],[empty],[empty]
DBeaver,[empty],[empty],[empty],[empty],[empty]
DBEdit,[empty],[empty],[empty],[empty],[empty]
ModelRight,[empty],[empty],[empty],[empty],[empty]
Navicat,[empty],[empty],[empty],[empty],[empty]
Navicat Data Modeler,[empty],[empty],[empty],[empty],[empty]
MySQL Workbench,[empty],[empty],[empty],[empty],[empty]
Oracle SQL Developer,[empty],[empty],[empty],[empty],[empty]
Orbada,[empty],[empty],[empty],[empty],[empty]
pgAdmin III,[empty],[empty],[empty],[empty],[empty]
phpMyAdmin,[empty],[empty],[empty],[empty],[empty]
SQL Database Studio,[empty],[empty],[empty],[empty],[empty]
SQL Server Management Studio,[empty],[empty],[empty],[empty],[empty]
SQLyog,<ref>SQLYog query builder</ref>,<ref>SQLYog schema designer</ref>,[empty],[empty],[empty]
SQuirreL SQL,[empty],[empty],[empty],[empty],[empty]
Toad,[empty],[empty],[empty],[empty],[empty]
Toad Data Modeler,[empty],[empty],[empty],[empty],[empty]
