+Key,[empty],This indicates the Ballon d'Or winning player also won the FIFA World Player of the Year or The Best FIFA Men's Player award in the same year (available from 1991 – 2009 and 2016 – present)
Year,Rank,Player,Team,[empty]
1989,1st,Marco van Basten,Milan,129
2nd,Franco Baresi,Milan,80,[added]
3rd,Frank Rijkaard,Milan,43,[added]
[empty],[added],[added],[added],[added]
1990,1st,Lothar Matthäus,Internazionale,137
2nd,Salvatore Schillaci,Juventus,84,[added]
3rd,Andreas Brehme,Internazionale,68,[added]
[empty],[added],[added],[added],[added]
1991,1st,Jean-Pierre Papin,Marseille,141
2nd,Dejan Savićević,Red Star Belgrade,42,[added]
Darko Pan�?ev,Red Star Belgrade,[added],[added],[added]
Lothar Matthäus,Internazionale,[added],[added],[added]
[empty],[added],[added],[added],[added]
1992,1st,Marco van Basten }},Milan,98
2nd,Hristo Stoichkov,Barcelona,80,[added]
3rd,Dennis Bergkamp,Ajax,53,[added]
[empty],[added],[added],[added],[added]
1993,1st,Roberto Baggio }},Juventus,142
2nd,Dennis Bergkamp,Internazionale,83,[added]
3rd,Eric Cantona,Manchester United,34,[added]
[empty],[added],[added],[added],[added]
1994,1st,Hristo Stoichkov,Barcelona,210
2nd,Roberto Baggio,Juventus,136,[added]
3rd,Paolo Maldini,Milan,109,[added]
[empty],[added],[added],[added],[added]
1995,1st,George Weah }},Milan,144
2nd,Jürgen Klinsmann,Bayern Munich,108,[added]
3rd,Jari Litmanen,Ajax,67,[added]
[empty],[added],[added],[added],[added]
1996,1st,Matthias Sammer,Borussia Dortmund,144
2nd,Ronaldo,Barcelona,143,[added]
3rd,Alan Shearer,Newcastle United,107,[added]
[empty],[added],[added],[added],[added]
1997,1st,Ronaldo }},Internazionale,222
2nd,Predrag Mijatović,Real Madrid,68,[added]
3rd,Zinedine Zidane,Juventus,63,[added]
[empty],[added],[added],[added],[added]
1998,1st,Zinedine Zidane }},Juventus,244
2nd,Davor � uker,Real Madrid,68,[added]
3rd,Ronaldo,Internazionale,66,[added]
[empty],[added],[added],[added],[added]
1999,1st,Rivaldo }},Barcelona,219
2nd,David Beckham,Manchester United,154,[added]
3rd,Andriy Shevchenko,Milan,64,[added]
[empty],[added],[added],[added],[added]
2000,1st,Lu�s Figo,Real Madrid,197
2nd,Zinedine Zidane,Juventus,181,[added]
3rd,Andriy Shevchenko,Milan,85,[added]
[empty],[added],[added],[added],[added]
2001,1st,Michael Owen,Liverpool,176
2nd,Raúl,Real Madrid,140,[added]
3rd,Oliver Kahn,Bayern Munich,114,[added]
[empty],[added],[added],[added],[added]
2002,1st,Ronaldo }},Real Madrid,169
2nd,Roberto Carlos,Real Madrid,145,[added]
3rd,Oliver Kahn,Bayern Munich,110,[added]
[empty],[added],[added],[added],[added]
2003,1st,Pavel Nedvěd,Juventus,190
2nd,Thierry Henry,Arsenal,128,[added]
3rd,Paolo Maldini,Milan,123,[added]
[empty],[added],[added],[added],[added]
2004,1st,Andriy Shevchenko,Milan,175
2nd,Deco,Barcelona,139,[added]
3rd,Ronaldinho,Barcelona,133,[added]
[empty],[added],[added],[added],[added]
2005,1st,Ronaldinho }},Barcelona,225
2nd,Frank Lampard,Chelsea,148,[added]
3rd,Steven Gerrard,Liverpool,142,[added]
[empty],[added],[added],[added],[added]
2006,1st,Fabio Cannavaro }},Real Madrid,173
2nd,Gianluigi Buffon,Juventus,124,[added]
3rd,Thierry Henry,Arsenal,121,[added]
[empty],[added],[added],[added],[added]
2007,1st,Kaká }},Milan,444
2nd,Cristiano Ronaldo,Manchester United,277,[added]
3rd,Lionel Messi,Barcelona,255,[added]
[empty],[added],[added],[added],[added]
2008,1st,Cristiano Ronaldo }},Manchester United,446
2nd,Lionel Messi,Barcelona,281,[added]
3rd,Fernando Torres,Liverpool,179,[added]
[empty],[added],[added],[added],[added]
2009,1st,Lionel Messi }},Barcelona,473
2nd,Cristiano Ronaldo,Real Madrid,233,[added]
3rd,Xavi,Barcelona,170,[added]
FIFA Ballon d'Or (2010 – 2015),[added],[added],[added],[added]
2010,1st,Lionel Messi,Barcelona,22.65%
2nd,Andrés Iniesta,Barcelona,17.36%,[added]
3rd,Xavi,Barcelona,16.48%,[added]
[empty],[added],[added],[added],[added]
2011,1st,Lionel Messi,Barcelona,47.88%
2nd,Cristiano Ronaldo,Real Madrid,21.60%,[added]
3rd,Xavi,Barcelona,9.23%,[added]
[empty],[added],[added],[added],[added]
2012,1st,Lionel Messi,Barcelona,41.60%
2nd,Cristiano Ronaldo,Real Madrid,23.68%,[added]
3rd,Andrés Iniesta,Barcelona,10.91%,[added]
[empty],[added],[added],[added],[added]
2013,1st,Cristiano Ronaldo,Real Madrid,27.99%
2nd,Lionel Messi,Barcelona,24.72%,[added]
3rd,Franck Ribéry,Bayern Munich,23.36%,[added]
[empty],[added],[added],[added],[added]
2014,1st,Cristiano Ronaldo,Real Madrid,37.66%
2nd,Lionel Messi,Barcelona,15.76%,[added]
3rd,Manuel Neuer,Bayern Munich,15.72%,[added]
[empty],[added],[added],[added],[added]
2015,1st,Lionel Messi,Barcelona,41.33%
2nd,Cristiano Ronaldo,Real Madrid,27.76%,[added]
3rd,Neymar,Barcelona,7.86%,[added]
Ballon d'Or (2016 – present),[added],[added],[added],[added]
2016,1st,Cristiano Ronaldo }},Real Madrid,745
2nd,Lionel Messi,Barcelona,316,[added]
3rd,Antoine Griezmann,Atlético Madrid,198,[added]
[empty],[added],[added],[added],[added]
2017,1st,Cristiano Ronaldo }},Real Madrid,946
2nd,Lionel Messi,Barcelona,670,[added]
3rd,Neymar,Paris Saint-Germain,361,[added]
[empty],[added],[added],[added],[added]
2018,1st,Luka Modrić }},Real Madrid,753
2nd,Cristiano Ronaldo,Juventus,476,[added]
3rd,Antoine Griezmann,Atlético Madrid,414,[added]
[empty],[added],[added],[added],[added]
2019,1st,Lionel Messi }},Barcelona,686
2nd,Virgil van Dijk,Liverpool,679,[added]
3rd,Cristiano Ronaldo,Juventus,476,[added]
