Software,Developed by,Latest stable release,Cost (USD),Contract support offered,Community website support,Open source,Multilingual,Programming language,User Interface,Notes
Connectbeam,Connectbeam,Spotlight 3.1 (2008-6),per instance,[empty],[empty],[empty],[empty],binary only,browser,none
Dogear,IBM Corporation,2.0.1 (2009-3),per instance,[empty],[empty],[empty],[empty],binary only,browser,does not run on mySQL  requires IBM DB2 9.1 FP5  Oracle Database 10g 10.2.0.3  Microsoft SQL Server 2005 Enterprise Edition
Jumper 2.0,Jumper Networks,2.0.1.7 (2010-7),[empty],[empty],[empty],- GPL,[empty],JavaScript & PHP,browser,runs on mySQL database for storing tag profiles. Can also be configured to run on Oracle Database 10g or Microsoft SQL Server 2005 Enterprise Edition
Knowledge Plaza,Knowledge Plaza,2.3.18,free trial  starts at €35/month/instance,[empty],[empty],[empty],[empty],JavaScript and Python (programming language),browser,Software-as-a-Service
Scuttle,Scuttle,0.9.0 (2013-04),[empty],[empty],[empty],- GPL,[empty],JavaScript & PHP,browser,still in alpha stage
Software,Web pages,Documents,Images,Video,Emails,Contacts,Book references,Discussions,Wiki pages,Database tables,Flat-files,Notes
Connectbeam,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
Dogear,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
Jumper 2.0,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
Knowledge Plaza,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
Scuttle,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
Software,Keywords,Descriptions,Custom Tag Fields,Metadata,Knowledge Tags,Notes
Connectbeam,[empty],[empty],[empty],[empty],[empty],none
Dogear,[empty],[empty],[empty],[empty],[empty],none
Jumper 2.0,[empty],[empty],[empty],[empty],[empty],none
Knowledge Plaza,[empty],[empty],[empty],[empty],[empty],none
Scuttle,[empty],[empty],[empty],[empty],[empty],none
Software,Faceted classification,Restricted facets,Mandatory facets,Predefined tags,Related/synonym tags,Notes
Connectbeam,[empty],[empty],[empty],[empty],[empty],none
Dogear,[empty],[empty],[empty],[empty],[empty],none
Jumper 2.0,[empty],[empty],[empty],[empty],[empty],none
Knowledge Plaza,[empty],[empty],[empty],[empty],[empty],none
Scuttle,[empty],[empty],[empty],[empty],[empty],none
Software,Hosted Platform,On-Premises Platform,Encryption level,Multi-user support,Access permissions,LDAP integration,Information-level permissions,Workspace-level permissions,Role-level permissions,Notes
Connectbeam,[empty],[empty],?,[empty],[empty],[empty],?,?,?,none
Dogear,[empty],[empty],?,[empty],[empty],[empty],?,?,?,The Lotus Connection Suite with Dogear runs on the AIX (Unix) operating system
Jumper 2.0,[empty],[empty],HTTPS optionally available,[empty],[empty],[empty],[empty],[empty],[empty],LDAP integration is available
Knowledge Plaza,[empty],[empty],HTTPS with high-grade 256-bit AES,[empty],[empty],[empty],[empty],[empty],[empty],none
Scuttle,[empty],[empty],HTTPS optionally available <ref>Scuttle with server certificate without registration</ref>,[empty],[empty],[empty],[empty],?,[empty],none
Software,Windows,Mac OS X,Linux,BSD,Unix,IIS,Apache,Notes
Connectbeam,[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
Dogear,[empty],[empty],[empty],[empty],[empty],[empty],[empty],requires IBM WebSphere Application Server 6.1.0.13 for the web server
Jumper 2.0,[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
Knowledge Plaza,[empty],[empty],[empty],[empty],[empty],[empty],[empty],No OS management required. Infrastructure-as-a-Service for on-premises installation.
Scuttle,[empty],[empty],[empty],[empty],[empty],[empty],[empty],none
[added],[added],[added],[added],[added],[added],[added],[added],[added]
