[empty],English,Esperanto,Novial
Infinitive,(to) get absorbed,esti absorbata(j) (absorbi?i),bli absorba
Simple present,get(s) absorbed,estas absorbata(j) (absorbi?as),bli absorba
Future,will (shall) get absorbed,estos absorbata(j) (absorbi?os),sal bli absorba
Simple past,got absorbed,estis absorbata(j) (absorbi?is),blid absorba
Past perfect,have (has) got absorbed,estas absorbita(j) (estas absorbi?anta(j)),ha bli absorba
Pluperfect,had got absorbed,estis absorbita(j) (estis absorbi?anta(j)),had bli absorba
Future perfect,will (shall) have got absorbed,estos absorbita(j) (estos absorbi?anta(j)),sal ha bli absorba
Future in the past,was going to (would  should) get absorbed,estis absorbota(j) (estis absorbi?onta(j)),saled bli absorba
Conditional,would (should) get absorbed,estus absorbata(j) (absorbi?us),vud bli absorba
Conditional perfect,would (should) have got absorbed,estus absorbita(j) (estus absorbi?anta(j)),vud ha bli absorba
First imperative,let us get absorbed!,ni estu absorbataj! (ni absorbi?u!),let nus bli absorba!
Second imperative,get absorbed!,estu absorbata(j)! (absorbi?u!),bli absorba!
Third imperative,let him get absorbed!,li estu absorbata! (li absorbi?u),let lo bli absorba!
Present continuous,is (am  are) getting absorbed,estas absorbata(j) (estas absorbi?anta(j)),es blint absorba
Future continuous,shall (will) be getting absorbed,estos absorbata(j) (estos absorbi?anta(j)),sal es blint absorba
Past continuous,was (were) getting absorbed,estis absorbata(j) (estis absorbi?anta(j)),did es (esed) blint absorba
