Model,Level,Image processor,Sensor format,Sensor type,Sensor manufacturer,Megapixels,Focus points,Metering pixels,Viewfinder coverage,Viewfinder magnification,ISO min (expanded),ISO min,ISO max,ISO max (expanded),Display size  pixels,Touch screen,Storage media,Live view,Movie mode,Max FPS,Shutter Rating,Weight (g),Dimensions (mm),Video,Release Date,WiFi/Bluetooth,GPS
D3X,Professional,EXPEED,Fullframe,CMOS,Sony,245,51,1005,100%,07x,50,100,1600,6400,30" 921k,[empty],CF  MicroDrive (×2),Yes,No,5,300000,1220,160 × 157 × 88,[empty],2008 4Q,WT4,GP1(A)
D2Xs,Professional,,APSC,CMOS,Sony,124,11,1005,100%,086x,100,100,800,3200,25" 230k,[empty],CF  MicroDrive,No,No,5,[empty],1070,158 × 150 × 86,[empty],2006 2Q,WT1 / WT2,GP1(A)
D2X,Professional,,APSC,CMOS,Sony,124,11,1005,100%,086x,100,100,800,800,25" 235k,[empty],CF  MicroDrive,No,No,5,[empty],1070,158 × 150 × 86,[empty],2004 3Q,WT1 / WT2,GP1(A)
D1X,Professional,,APSC,CCD,Sony,53,5,1005,96%,08x,125,125,800,800,20" 130k,[empty],CF  MicroDrive,No,No,3,[empty],1100,157 × 153 × 85,[empty],2001 1Q,,GP1(A)
D1,Professional,,APSC,CCD,Sony,266,5,1005,96%,08x,200,200,1600,1600,20" 114k,[empty],CF,No,No,45,[empty],1100,157 × 153 × 86,[empty],1999 2Q,,GP1(A)
D5,Professional,EXPEED 5,Fullframe,CMOS,Nikon,208,153refn|group=a|name="153 AF"|55 userselectable points,180000,100%,072x,50,100,102400,3280000,32" 2539k,Fixed,CF (×2) or XQD (×2),Yes,Yes,12,400000,1235,160 x 1585 x 92,4K30 1080p60,2016 1Q,WT5 / WT6,GP1(A)
D4S,Professional,EXPEED 4,Fullframe,CMOS,Nikon,162,51,91000,100%,07x,50,100,12800,409600,32" 921k,[empty],CF  XQD,Yes,Yes,11,400000,1180,160 × 157 × 91,1080p60,2014 1Q,WT5,GP1(A)
D4,Professional,EXPEED 3,Fullframe,CMOS,Nikon,162,51,91000,100%,07x,50,100,12800,204800,32" 921k,[empty],CF  XQD,Yes,Yes,10,400000,1180,160 × 157 × 91,1080p30,2012 1Q,WT5,GP1(A)
D3S,Professional,EXPEED,Fullframe,CMOS,Nikon,121,51,1005,100%,07x,100,200,12800,102400,30" 921k,[empty],CF (×2),Yes,Yes,9,300000,1240,160 × 157 × 88,720p24,2009 4Q,WT4,GP1(A)
D3,Professional,EXPEED,Fullframe,CMOS,Nikon,121,51,1005,100%,07x,100,200,6400,25600,30" 921k,[empty],CF  MicroDrive (×2),Yes,No,9,300000,1240,160 × 157 × 88,[empty],2007 3Q,WT4,GP1(A)
D2Hs,Professional,,APSC,JFETLBCAST,Nikon,41,11,1005,100%,086x,200,200,1600,6400,25" 232k,[empty],CF  MicroDrive,No,No,8,[empty],1070,158 × 150 × 86,[empty],2005 1Q,WT1 / WT2,GP1(A)
D2H,Professional,,APSC,JFETLBCAST,Nikon,41,11,1005,100%,086x,200,200,1600,6400,25" 211k,[empty],CF  MicroDrive,No,No,9,[empty],1070,158 × 150 × 86,[empty],2003 3Q,WT1 / WT2,
