Name,Creator,First public version (date),Latest stable version (date  number),Cost,Software license
Ranger,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ROX-Filer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Thunar,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Total Commander,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Volkov Commander,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xandros File Manager,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xfe,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xfm,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZTreeWin,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
File manager,DOS,OS/2 & eCS,Windows,Mac OS X,Linux,BSD,Unix,AmigaOS,OpenVMS
