+
Web host
Amazon Drive<ref name="Muchmore"></ref>
Amazon S3<ref></ref>
Baidu Cloud
Box<ref></ref><ref></ref>
CloudMe<ref></ref>
Dropbox<ref></ref>
Google Drive<ref></ref><ref></ref>
IBM Connections Files Cloud
Apple iCloud<ref></ref>
Jumpshare
MediaFire<ref></ref>
Mega<ref></ref>
OneDrive<ref></ref>
SecureSafe<ref name="mikel backup"></ref>
SugarSync<ref></ref>
Tencent Weiyun<ref></ref>
TitanFile
Tresorit<ref></ref>
Yandex Disk
Web host
Copy.com<ref>Barracuda Closes Copy.com  CudaDrive Services  May Be Looking To Sell Itself</ref> Drop.io Fileserve Hotfile Humyo iDisk IFile.it Megaupload Pogoplug<ref></ref> RapidShare SteekR Ubuntu One Wuala MobileMe Xdrive Yahoo! Briefcase ZumoDrive
