Title,Publisher,First published,Latest edition,Year,Pages,Entries (approx),Main dialect,Pronunciation guide
American Heritage Dictionary (AHD),Houghton Mifflin Harcourt,1969,5th (ISBN|0547041012),2011,formatnum2074,formatnum70000,American,Diacritical
The Chambers Dictionary,Chambers Harrap,1872,13th (ISBN|9781473602250),2014,formatnum1920,formatnum62500[1],British,Diacritical
Collins English Dictionary,HarperCollins,1979,12th (ISBN|9780007522743),2014,formatnum2340,formatnum100000,British,IPA
Concise Oxford English Dictionary (COED),Oxford University Press,1911,12th (ISBN|9780199601080),2011,formatnum1728,formatnum240000,British,IPA
The MerriamWebster Dictionary (MWD),MerriamWebster,1828,18th (ISBN|9780877796688),2016,formatnum720 (trade)  960 (massmarket),formatnum75000,American,Diacritical
New Oxford American Dictionary (NOAD),Oxford University Press,2001,3rd (ISBN|0195392884),2010,formatnum2096,formatnum350000,American,Diacritical
Oxford Dictionary of English,Oxford University Press,1998,3rd (ISBN|0199571120),2010,formatnum2112,formatnum355000,British,IPA
Oxford English Dictionary (OED),Oxford University Press,1895,2nd (20 vols  ISBN|0198611862),1989,formatnum21730,formatnum291500,British,IPA
Random House Webster's,Random House,1966,2nd (rev  ISBN|9780375425998),2002,formatnum2256,formatnum315000,American,Diacritical
Shorter Oxford English Dictionary (SOED),Oxford University Press,1933,6th (2 vol  ISBN|9780199206872),2007,formatnum3804,formatnum125000,British,IPA
Webster's Third New International Dictionary (W3),MerriamWebster,1961,3rd (ISBN|0877792011),2002,formatnum2783,formatnum263000,American,Diacritical
